"FUNCTION 2: ELECTRICAL, ELECTRONIC AND CONTROL ENGINEERING AT THE ENGINE MANAGEMENT LEVEL",,,,,,
No.,Questions,Choice A,Choice B,Choice C,Choice D,Answer
163,What will happen to the alternator frequency if the load is removed from a turbo charger whose governor a 3 percent speed drop?,it will remain unchanged,it will decrease approximately 3 percent,it will become variable,it will increase,D
164,"When a flourescent lamp has reached the end of its useful life, it should be replaced immediately, or the resultant flashing may",Conventional,"explode, causing glass to fly in all directions",short circuit the ballast transformer,damage the starter and the ballast,D
165,"When a transformer is used to step down voltage, the low voltage winding is __________.",part of the core,the primary coil,not insulated,the secondary coil,D
166,"When an alternator governor control switch is move to raise, this will__________.",raise the no load speed setting of the governor,raise the percentage of speed drop,lower the no load speed setting of the governor,lower the percentage of speed drop,D
167,"When checking the specific gravity of the battery electrolyte with a hydrometer, you should be aware that __________.",the battery is fully charged when the float sinks deepest into the electrolyte,the battery is discharged when the float is highest in the  electrolyte,a hydrometer reading is accurate if taken immediately after water is added to the cell,warm temperatures will lower the specific gravity of the electrolyte,D
168,"When disassembling electric motors for maintenance or overhaul, __________.",punch mark frame and end bells for proper assembly,wrap bearings in lint free cloths if they are to be reused,tag and store small parts in a box,all of the above,D
169,"When mixing electrolyte for a lead-acid storage battery, you should pour the __________.",distilled water into the acid in a zinc-plated container,distilled water into the acid in a glass container,acid into the distilled water in a zinc-plated container,acid into distilled water in a glass container,D
170,"When portable cords are connected to devices such as portable tools, you must eliminate direct tension on the joints or terminal screws.  Coast Guard Regulations (46 CFR), allow this to be done by __________.",knotting the cords together at the plugs,taping the plugs together,installing a special fitting to eliminate plug separation,all of the above,D
171,"When replacing a power transistor fitted with a heat sink in a circuit, a coating of silicone grease is applied between  the transistor case and the heat sink.  This is done to __________.",lubricate the transistor,lubricate the heat sink,aid in the removal of the heat sink,provide maximum heat transfer,D
172,"When securing an AC generator, you should first____________.",trip the voltage regulator to manual,switch the voltage regulator to manual,decrease the field excitation to minimum,reduced the load of the unit,D
173,"When shipboard electrical distribution circuits are connected in parallel, additional parallel circuits will cause the total circuit resistance to __________.","increase, causing a drop in the line current","increase, causing a decrease in the line voltage","decrease, causing an increase in the line voltage","decrease, causing an increase in the line current",D
174,"When testing for blown fuses in a three-phase supply circuit to a motor, you should first __________.",apply the megger across the tops of the line fuses,apply an ammeter diagonally across the top of the first line fuse and the bottom of the third line fuse,apply the voltage tester across the bottoms of the line fuses,"ensure the circuit is de-energized, and then use a  continuity tester",D
175,"When troubleshooting a console circuit card suspected of being faulty, the last step would be to __________.",check the fuses and voltage levels of all power supplies in the console,clean dust and debris from the card and burnish the sliding connections,make sure all connections are tight including wire wrappings and push-on types,substitute a new or repaired spare card and check the operation of the circuit,D
176,"When you are mixing electrolyte for lead-acid battery,___________________.",stirring should be avoided,a lead container should be used,add water to the acid,always pour the acid into water,D
177,Which is protected from motorizing by a reverse power relay?,Amplidynes,exciters,wave guides,alternators,D
178,Which of the electrical properties listed will always be the same across each component in a parallel circuit?,Impedance,Current,Resistance,Voltage,D
179,Which of the following components are use to assemble a fluorescent lightning system?, lamp, starter, ballast, all of these choices,D
180,Which of the following conditions indicates that a lead-acid battery is being charged too rapidly?,excessive operation at low load,Unusually high electrolyte specific gravity.,Low plate potentials being developed.,Excessively high temperatures and gassing rates.,D
181,Which of the following expression correctly states ohm's law?, volts equal amperes times resistance, amperes equals volts divided by resistance,resisamperes, all of these choices,D
182,Which of the following instruments is used to test capacitors?,voltmeter,megger ,watt meter,ohmmeter,D
183,Which of the following logic gates is/are considered to be a BASIC building block (basic logic gate) used in logic diagrams?,OR,NAND,NOR,all of the above,D
184,Which of the following statements concerning parallel resistance circuit is correct?,the total voltage equals the sum of the individual voltages,the total resistance equals the sum of the individual currents,the total current equals the sum of the individual resistances,the voltage drop across each resistor is the same,D
