FUNCTION 3: MAINTENANCE AND REPAIR AT THE ENGINE MANAGEMENT LEVEL,,,,,,
No.,Questions,Choice A,Choice B,Choice C,Choice D,Answer
90,If the jacket water temperature in a diesel engine cooling system is below normal you should check for _____.,air binding of the engine cooling system,cracked water cooled exhaust manifold,a clogged heat exchanger,faulty thermostat operation,D
91,"If the sea fee temperature is 150oF and the salt content of the distillate is 0/35 grains per gallon, for proper oepration in a flash type evaporator, the three way solenoid trip value should direct the distillate to the _____________.",freshwater tanks,reserve feed tank,distilled water tank,bilge,D
92,"If water is found in the crankcase of a diesel engine, the  cause may be due to __________.",a cracked cylinder head,a leaky cylinder head gasket,a cracked cylinder liner,all of the above,D
93,"If you change from a low pour point lubricant to a high pour point lubricant in a refrigeration system, __________.",compressor lubrication will be improved,oil will not leave the crankcase,compressor valves will be damaged,oil may congeal in the evaporator,D
94,"If you have a duplex double acting reciprocating pump making 110 strokes/minute, with a 5"" diameter cylinder, a 10"" stroke and operating with 91% volumetric efficiency, what is the capacity of this pump?",47 gpm,94 gpm,125 gpm,170 gpm,D
95,"If you have a duplex double acting reciprocating pump making 140 strokes/minute, with a 5"" diameter cylinder, a 6"" stroke and operating with 79% volumetric efficiency, what is the capacity of this pump?",59 gpm,71 gpm,30 gpm,113 gpm,D
96,"If you have a duplex double acting reciprocating pump making 150 strokes/minute, with a 7"" diameter cylinder, a 9"" stroke and operating with 95% volumetric efficiency, what is the capacity of this pump?",214 gpm,275 gpm,107 gpm,427 gpm,D
97,"If you have a duplex double acting reciprocating pump making 180 strokes/minute, with a 6"" diameter cylinder, a 11"" stroke and operating with 85% volumetric efficiency, what is the capacity of this pump?",206 gpm,378 gpm,103 gpm,412 gpm,D
98,"If you have a duplex double acting reciprocating pump making 230 strokes/minute with 4"" diameter cylinder, and a 7"" stroke with 78% volumetric efficiency, what is the capacity of this pump?",68 gpm,120 gpm,34 gpm,137 gpm,D
99,"If you have a duplex single acting reciprocating pump making 100 strokes/minute, with a 6"" diameter cylinder, a 5"" stroke and operating with 90% volumetric efficiency, what is the capacity of this pump?",28 gpm,110 gpm,38 gpm,55 gpm,D
100,"If you have a duplex single acting reciprocating pump making 120 strokes/minute, with a 4-inch diameter cylinder, a 12"" stroke and operating with 92% volumetric efficiency, what is the capacity of this pump?",216 gpm,36 gpm,144 gpm,72 gpm,D
101,"If you have a duplex single acting reciprocating pump making 140 strokes/minute, with a 4"" diameter cylinder, a 7"" stroke and operating with 85% volumetric efficiency, what is the capacity of this pump?",79 gpm,23 gpm,91 gpm,45 gpm,D
102,"If you have a duplex single acting reciprocating pump making 150 strokes/minute, with a 6"" diameter cylinder, a 4"" stroke and operating with 95% volumetric efficiency, what is the capacity of this pump?",47 gpm,35 gpm,140 gpm,70 gpm,D
103,"If you have a duplex single acting reciprocating pump making 160 strokes/minute, with a 4"" diameter cylinder, a 10"" stroke and operating with 75% volumetric efficiency, what is the capacity of this pump?",163 gpm,33 gpm,131 gpm,65 gpm,D
104,"If you have a duplex single acting reciprocating pump making 190 strokes/minute, with a 5"" diameter cylinder, a 11"" stroke and operating with 90% volumetric efficiency, what is the capacity of this pump?",352 gpm,80 gpm,320 gpm,160 gpm,D
105,"If you have a simplex single acting reciprocating pump making 120 strokes/minute with 3"" diameter cylinder, and a  4"" stroke with 95% volumetric efficiency, what is the capacity of this pump?",14 gpm,28 gpm,19 gpm,7 gpm,D
106,"If you have a simplex single acting reciprocating pump making 120 strokes/minute, with a 6 diameter cylinder, a 14"" stroke and operating with 92% volumetric efficiency, what is the capacity of this pump?",378 gpm,189 gpm,441 gpm,95 gpm,D
107,"If you have a simplex single acting reciprocating pump making 130 strokes/minute with a 3"" diameter cylinder, a 10"" stroke and operating with 93% volumetric efficiency, what is the capacity of this pump?",74 gpm,37 gpm,123 gpm,18 gpm,D
108,"If you have a simplex single acting reciprocating pump making 160 strokes/minute, with a 5"" diameter cylinder, a 7"" stroke and operating with 96% volumetric efficiency, what is the capacity of this pump?",183 gpm,91 gpm,128 gpm,46 gpm,D
109,"If you have a simplex single acting reciprocating pump making 180 strokes/minute, with a 4"" diameter cylinder, a 13"" stroke and operating with 85% volumetric efficiency, what is the capacity of this pump?",216 gpm,108 gpm,352 gpm,54 gpm,D
110,"If you have to jump into the water when abandoning a VESSEL,  your legs should be __________.",spread apart as far as possible,held as tightly against your chest as possible,in a kneeling position,extended straight down and crossed at the ankles,D
111,"If your vessel burns 8 tons of fuel per hour at 15 knots, how many tons per hour will it burn at 22 knots?",11.7 tons,17.2 tons,14.2 tons,25.2 tons,D
112,"In a fixed displacement axial piston hydraulic motor, the speed is varied by __________.",regulating the ratio between torque and speed via the torque limiter at the motor,directing the motor output flow through a bypass line,maintaining a constant flow and pressure input,controlling the input flow rate,D
113,"In a multiple-stage flash evaporator, excess feed supplied to the first-stage passes ___________.",directly overboard through the brine eductor,directly to the second stage feed heater,back through the sea water feed heater,automatically into the second-stage,D
114,In a pressurized fuel system the function of the heater is to             .,increase the ignition point of fuel oil,increase the fire point of fuel oil,reduce the specific gravity of fuel oil for better combustion,reduce viscosity of fuel oil for proper atomization,D
115,"In a refrigeration system equipped with a reciprocating compressor and a water cooled condensing unit, leaking compressor discharge valves will result in __________.",refrigerant flooding of the compressor,low suction pressure,noisy compressor operation,low head pressure,D
116,"In a refrigeration system, the amount of superheat absorbed by the refrigerant is adjusted at the __________.",compressor,condenser,evaporator coil,expansion valve,D
117,"In a shell-and-tube type heat exchanger, the most common cause of decreased performance is __________.",loose tube bundle baffle plates,failure of the baffle plate,rupture of the tube bundle,fouling on the seawater side,D
118,"In a two-stage flash evaporator, the sea water feed temperature is increased by passing through the;",first stage condenser,second stage condenser,feed heater,All of the above,D
119,"In a vapor compression type refrigeration cycle, the refrigerant temperature decreases the most when passing through the __________.",evaporator,condenser receiver,compressor,expansion valve,D
120,"In accordance with Coast Guard Regulations (46 CFR), a steam propelled cargo vessel over 25 gross tons may have a Certificate of Inspection issued for __________.",one voyage only,a specific period of time to cover a described situation,a time period not exceeding 2 years,"all of the above, depending upon the pertinent circumstances",D
121,"In addition to a pressure gage and a relief valve, an air receiver should be fitted with a __________.",sight glass and manhole,thermometer and sight glass,thermometer and manhole,drain connection,D
122,"In addition to the main outermost scale on the low side compound gage fitted to the portable service manifold, there are often one or more other scales on the face of the gage. These are __________.",pressure scales for different refrigerants,pressure scales for varying ambient temperatures,temperature scales for varying ambient pressures,temperature scales for different refrigerants,D
123,"In an operating, water-cooled, multi-box refrigeration system, both low discharge and high suction pressures are being simultaneously experienced.  The probable cause for this condition is a/an __________.",overcharge of refrigerant in the system,fouled shell-and-tube condenser,improper superheat adjustment on the low side,discharge relief valve leaking back to the suction side,D
124,"In machine shop practice, a center gage is used for checking the angle of __________.",drill points,screw threads,screw thread pitch,60° thread cutting tools,D
125,"In order to achieve greater dehumidification, you would adjust the air conditioning system by __________.

I. reducing the chill water flow through the cooling coil
II. increasing the preheater temperature",I only,II only,Both I and II,Neither I nor II,D
126,"In order to minimize distortion in a weldment due to shrinkage, you should __________.",use intermittent welds rather than continuous welds wherever possible,make fewer passes with larger electrodes as opposed to a great number of passes with small electrodes,"use restraining forces such as clamps, jigs, and fixtures",all of the above,D
127,"In order to tighten the bolts of a crankpin bearing to the  exact tension specified by the engine manufacturer, you should use a/an __________.",hook spanner,dial wrench,offset box end,torque wrench,D
128,"In ship construction, the shell plating is arranged in strakes and assigned letter designations.  If the strakes were lettered ""A"" through ""K"", the ""K"" strake will be __________.",at the turn of the bilge,the keel strake,the drop strake,the sheer strake,D
129,"In terms of metric pressure conversion, approximately what value of ""psi"" equals one ""bar""?",1.5,4.5,10.5,14.5,D
130,"In the contineous machinery survey, how many year/s interval is needed so that all machineries and equipment will be surveyed and manitained properly?",1,2,4,5,D
131,"In the production of freshwater from seawater through a process of heating and cooling, the cooling phase of production is usually called __________.",evaporation,distillation,dehydration,condensation,D
132,In which of the listed hydraulic system components could an O-ring seal be satisfactorily used in providing a seal?,High pressure pump shaft casing,Low pressure pump shaft casing,Linear actuator without nylon insert,Relief valve spool,D
133,Increasing the moisture content of conditioned air is known as __________.,moisturizing,dehumidification,dampening,humidification,D
134,"Industrial process and commercial CFC type refrigeration equipment with annual leak rates of 35% or more, require leak repair of the system if it contains a refrigerant charge of more than __________.",15 pounds (6.8 kg),25 pounds (11.4 kg),40 pounds (18.1 kg),50 pounds (22.6 kg),D
135,It is necessary between the inner face of the cylinder cover and the top of the piston when the position is at top of its stroke to avoid contact and this is measured as the minimum distance between those two parts:,Mechanical efficiency,Mechanical frequency,Mechanical clearance,Mechanical gage,D
136,It is scavenge system in a four stroke diesel engine where the intake and exhaust systems are controlled by intake and exhaust valve attached at the cylinder head ___.,Uniflow,Cross flow,Forced flow,Loop flow,D
137,Latent heat of evaporation of water is,100 BTU per lb,212 BTU per lb,100 calories per,970 BTU per lb.,D
138,"Leaking valves in a low pressure, reciprocating, air compressor can result from __________.",excessive compressor discharge pressure,operating the compressor at excessive speed,uneven piston stroke in the compressor,abrasion by dust and dirt,D
139,Machinery operating features are designed to help conserve energy.  Which of the following results will not contribute to energy conservation?,Reduction of friction.,Insulation of hot surfaces.,Lubrication of moving parts.,Elevation of heat exchanger overboard outlet temperatures.,D
140,Machinery with ball bearings designed to be filled with grease should have the relief plug temporarily removed while grease is being added.  This plug should remain out until the machinery has been operated and sufficiently warmed up  to ensure that _____,a path for expansion is provided for the grease,the grease is properly distributed within the bearing,contaminated grease is flushed from the bearing housing,all of the above,D
141,Most fire explosion occurs in a fuel tank:,when the underway as the fuel is moved by wave action,during fuelin when the fuel strikes the fuel already in tank,during fueling when the fuel first strikes the tank bottom,shortly after fueling when the fuel vapors are released and accumulated,D
142,"Newly developed refrigerants, used to reduce stratospheric ozone depletion, are sometimes refered to as azeotropic. This means that the resulting liquid_________.",will condense at a temperature lower than the boiling point of the componant withthe lowest boiling point,boils at a temperature equal to the boiling point of the component with the lowest boiling point,will condense at a temperature equal to the highest condensation point of the component with a condensation point equal to any one of the components,boils at a temperature independent of any individual components in the mixture,D
143,Oils are usually graded by their service classification and __________.,fire point,flash point,neutralization number,viscosity,D
144,"On all mobile offshore drilling units, the deckhead of each accommodation space must be located above __________.",the operating draft,the survival draft,the transit draft,the deepest load line,D
145,"On cold weather condition, an air-started engine over too slowly and fails to start. The possible cause why this failure occurred is _____.",low compression pressure,faulty air starting valve,low fuel oil temperature ,high lube oil viscosity,D
146,"On vessels using reach rods to manually control the tank valves, one turn of the handwheel on deck will produce how many turns of the value stem at the valve?",One-fourth of a turn,One-halfth of a turn,Three-fourths of a turn,One turn,D
147,One disadvantage of proportional-position action is that __________.,corrective action is only proportional to offset,exact correction can be made only when there is no change in load,the controlled variable is stabilized,the corrective action is only proportional to the deviation,D
148,One function of the model checklists provided for the conduct of a practical demonstration is to promote __________.,repeatability in observing the assessment of the task to be demonstrated,a consistent standard in the assessment of the task to be demonstrated,a methodology by which elements of the missed practical demonstration can pointed out to the trainee,all of the above,D
149,One revolution at the handwheel of a reach rod operated valve will cause the valve stem to rotate __________.,one-fourth of a turn,one-half of a turn,three-fourths of a turn,one turn,D
150,Packing extremely soft grease into a roller bearing will cause:,high temp. to develop as result of churning,Emulsification of the thickener additives,Excessive channeling of the grease,Gelling of the base oil,D
151,Percentage contraction of area of a mild steel boiler plates is:,0.25,0.35,0.3,0.2,D
152,Reciprocating air compressor bearing failure may result from ____________.,a misaligned crankshaft,overtightened drive belts,contaminated sump oil,All of the above,D
153,Reheating a hardened component to a temperature lower than the hardening temperature and then cooling it is known as __________,low temperature hardening,case hardening,annealing,tempering,D
154,Sacrificial zinc anodes are used on the saltwater side of  heat exchangers to __________.,keep heat transfer surfaces shiny and clean,prevent rapid accumulation of marine growth,provide a protective coating on heat exchanger surfaces,reduce electrolytic action on heat exchanger metals,D
155,Scale accumulations on evaporator heating surfaces will cause _______.,immediate loss of vacuum,increased distillate quality,immediate tube failure,reduced evaporator capacity,D
156,Screwdrivers designed for electrical use should have __________.,longer than normal shanks,larger than normal shanks,shorter than normal shanks,insulated handles,D
157,Some heavy duty screwdrivers are made with a square shank to __________.,allow it to be used as a pry bar,prevent the shank from bending,permit striking with a hammer,allow turning with a wrench,D
158,Some of the hazards of working with electric power tools may be avoided if the operator insures that __________.,they are properly grounded,eye shields and gloves are worn,loose clothing and jewelry are not worn,all of the above,D
159,Sounding tubes and access openings for fuel oil tanks on VESSELs  are permitted by Coast Guard Regulations (46 CFR) to be located in which of the listed spaces?,Washrooms,Laundries,crew lounge,none of the above,D
160,Tapping threads into a blind hole should be finished by using a __________.,short tap,taper tap,plug tap,bottoming tap,D
161,"The ""general energy equation"" expresses energy in which of the following forms?",thermal,potential,kinetic,All of the above,D
162,The ability of a material to permanently deform without rupture under tensile load is called,Plasticity,Elasticity,Harness,Ductility,D
163,The air compressor for a P-tank unit should be operated for several minutes with its discharge valves open to the atmosphere to __________.,assist in unloading the compressor during its start up,remove bulk material dust from the discharge lines,check the pilot unloader operation,assit in delivering moisture free air,D
164,The ash content of a fuel oil is significant to the operating engineer because it __________.,indicates the quanity of energy released by burning a unit amount of fuel,is useful for determining proper atomization temperatures,reflects the overall thermal efficiency of the fuel oil service systems,is an indication of the amount of noncombustble material present in the oil,D
165,The BTU content of fuel oil is determined by a/an                        . ,open cup test,hydrometer,viscosimeter,calorimeter,D
166,"The capacity of a rotary pump, delivering a constant viscosity fluid, will decrease when the discharge pressure  is increased, due to __________.",decreased suction pressure,increased suction pressure,reduced slippage,increased slippage,D
