FUNTION 4: CONTROLLING OF OPERATION OF THE SHIP AND CARE FOR PERSONS ON BOARD AT THE ENGINE  MANAGEMENT LEVEL,,,,,,
No.,Questions,Choice A,Choice B,Choice C,Choice D,Answer
25,A fire hose has a:,female coupling at the nozzle end and a male coupling at the hydrant end,male coupling at both ends,female coupling at both ends,male coupling at the nozzle end and a female coupling at the hydrant end,D
26,A fire in a ballast pumproom can be brought under control with minimal impact on stability by:,flooding the compartment with salt water,cooling the outside bulkheads with water,closing the sea chest,shutting all sources of air into the compartment,D
27,A fire is discovered in the forepeak of a vessel at sea. The wind is from ahead at 35 knots. You should:,remain on course but slack the speed,remain on course and hold speed,change course to put the wind on either beam and increase speed,change course and put the stern to the wind,D
28,A fire main system must have enough fire hydrants so that each accessible space may be sprayed with:,a low velocity spray applicator,a water spray or solid stream,at least 25 psi delivered pressure,at least two spray patterns of water,D
29,A fire may be spread by which of the following means?,Conduction of heat to adjacent surfaces,Direct radiation,Convection,All of the above,D
30,A fire must be ventilated:,if compressed gas cylinders are stowed in the compartment on fire,when using an indirect attack on the fire such as flooding  with water,to minimize heat buildup in adjacent compartments,to prevent the gases of combustion from surrounding the firefighters,D
31,A fire of escaping liquefied flammable gas is best  extinguished by:,interrupting the chain reaction,cutting off the supply of oxygen,cooling the gas below the ignition point,stopping the flow of gas,D
32,A flame screen:,permits vapors to exit but not enter a tank,prevents the passage of flammable vapors,prevents inert gas from leaving a tank,permits the passage of vapor but not of flame,D
33,A fracture of the skull or head injury should receive immediate attention to prevent damage to the brain.  Bleeding can be controlled by direct pressure on the:,veins near the neck,wrist on the left arm which is nearer to the heart,capillaries on the left shoulder,temporal or carotid arteries,D
34,A fuel tank is considered to be gas free when the tank is __________.,inerted with carbon dioxide for 24 hours,free of most flammable gas concentrations,thoroughly ventilated for at least 24 hours,free of all dangerous concentrations of flammable or toxic gases,D
35,A good approach to personnel safety is to assume that all tanks and pump rooms are potentially dangerous.  You should  immediately leave an area whenever __________.,"you have irritation of the eyes, nose, or throat",you smell an unusual odor,you experience an abnormal bodily sensation,any of the above conditions occur,D
36,A health hazard term listed on a Material Safety Data Sheet (MSDS) that indicates allergic-like reaction in some people after repeated exposure is:,sensing hazard,oxidizer,skin irritant,sensitizer,D
37,A high velocity fog nozzle will produce the most effective  spray pattern when the water pressure is not less than __________.,35 psi (241.3 kPa),60 psi (413.6 kPa),75 psi (517.0 kPa),100 psi (689.4 kPa),D
38,A high-velocity fog stream can be used in fire fighting situations to drive heat and smoke ahead of the fire fighters in a passageway. This technique should only be used when:,The fire is totally contained by the ship’s structure,At least two fog streams can be used,Using a 2 ½ inch hose,There is an outlet for the smoke and heat,D
39,A hole in the hull above the waterline may be temporarily patched with __________.,pillows,blankets,mattresses,All of the above.,D
40,A large fire has developed in the main space of your vessel and you are assigned to the hose team and have suited up in a firefighter's ensemble suit.  What will determine the time allowed to combat the fire before you should be relieved?,Atmospheric conditions.,Intensity of the fire.,Available air supply.,All of the above.,D
41,A life line must be connected to the life raft __________.,at the bow,at the stern,in the middle,all around,D
42,A lifeline must be connected to the life raft __________.,at the bow,at the stern,in the middle,all around,D
43,"A liquid, as listed on a Material Safety Data Sheet (MSDS), having a flash point below 100°F (37.78°C) is called a/an __________.",viscous liquid,explosive liquid,combustible liquid,flammable liquid,D
44,A load line is assigned to a vessel to insure adequate stability and:,lifesaving equipment,mooring tension,riser tension,structural strength,D
45,A magnesium fire would be classified as a __________.,class A,class B,class C,class D,D
46,"A man aboard a vessel, signaling by raising and lowering his outstretched arms to each side, is indicating:","danger, stay away","all is clear, it is safe to pass","all is clear, it is safe to approach",a distress signal,D
47,A man has suffered a burn on the arm.  There is a reddening of the skin but no other apparent damage.  This is an example of what kind of burn?,Minor burn,Superficial burn,Extremity burn,First degree burn,D
48,A man has suffered a burn on the arm.  There is extensive damage to the skin with charring present.  How is this injury classified using standard medical terminology?,Dermal burn,first degree burn,second degree burn,Third-degree burn,D
49,A man has suffered a burn on the arm.  There is reddening of the skin blistering and swelling.  How would this injury be classified using standard medical terminology?,blister burn,major burn,secondary burn,second-degree burn,D
50,"A marker pole, with a horseshoe buoy and a sea anchor attached, should be used to __________.",mark the position of a lost mooring,determine your vessel's sideslip underway,determine your speed through the water,indicate location of a man overboard,D
51,A patient with a severe head injury should be:,Given morphine at once to prevent pain,Returned to work as soon as possible to determine if any brain damage has occurred,Watched carefully but his state of consciousness may be ignored because it may be misleading,Put to bed. Relieve his pain with an ice bag and radio for advice,D
52,A person being treated for shock should be wrapped in warm  coverings to:,increase body heat,protect the person from injury during transportation,avoid self-inflicted wounds caused by spastic movement,preserve body heat,D
53,"A person is exhibiting signs of hypothermia and starts to shiver, what does this indicate?",the body is in the final stages of severe hypothermia,the body requires a rapid increase in core temperature,the body is dilating blood vessels to conserve heat,the body is trying to generate more heat,D
54,A person referring to the stern sheets of a lifeboat is speaking of:,a canvas awning,the emergency rudder,the line attached to the tack of the lugsail,the aftermost seating,D
55,A person slowly feel more sleepy and thirsty. The skin become very dry and there is a sweet taste of the breath. The glucose reaction shows positive. What kind of medicine will the person need  as soon as possible?               ,Nothing at all,"Sugar lump, sugar drink or something sweet",A glass of cold milk,Insulin,D
56,A point that temperature to which a combustible liquid must be heated for it to give off a vapour that will momentarily flash in presence of a naked light.,Dew point,Firing Point,Flush point,Flash point,D
57,A precaution you should take before bunkering is to:,close the lids on the vents,plug the vents,plug the sounding pipes,plug the scuppers,D
58,A right-handed propeller will cause the survival craft to:,right itself if capsized,run faster than a left-handed propeller,walk the stern to starboard in reverse,walk the stern to port in reverse,D
59,A rigid lifesaving device designed for a group of survivors to hold on to while in the water is defined as a:,Liferaft,life cushion,life preserver,buoyant apparatus,D
60,A role behavior of a leader which refers to a person’s knowledge of proficiency in any type of process of technique is called.,human skill,organizing skill,conceptual skill,technical skill,D
61,A safety feature provided on all inflatable liferafts is:,overhead safety straps,built in seats,internal releasing hooks,water stabilizing pockets,D
62,A safety outlet is provided on the CO2 discharge piping to prevent:,flooding of a space where personnel are present,rupture of cylinder due to temperature increase,over pressurization of the space being flooded,over pressurization of the CO2 discharge piping,D
63,A seaman may have all or part of his wages deposited by allotment to a bank or savings institution. Which of the following is NOT a requirement for this type of allotment?,All of the above are requirements.,The account must be opened by the seaman and maintained in the seaman s name.,The institution must be insured by the FSLIC or FDIC.,The account must be either a checking or savings account.,D
64,A shipmate suffers a heart attack and stops breathing.  You must __________.,"immediately give a stimulant, by force if necessary",make the victim comfortable in a bunk,administer oxygen,immediately start CPR,D
65,A side girder in the fore and aft line sited either side of the keel:,bulkhead,center girder,longitudinal,intercoastal side girders,D
66,A slow and easy motion of a vessel in a seaway indicates:,a small GZ,a large GZ,a low center of gravity,a high center of gravity,D
67,"A SOLAS approved buoyant smoke signals shall emit smoke of highly visible color at uniform rate, when floating in calm water, for a period of not less than:",4 minutes,2 minutes,1 minute,3 minutes,D
68,A solid stream of water is produced by an all-purpose firefighting nozzle when the handle is __________.,pushed all the way forward,pushed forward one notch,pulled halfway back,pulled all the way back,D
69,A strongback  refers to a:,deep beam,centerline vertical bulkhead,spanner stay,bar securing a cargo port,D
70,A tank which carries liquid is dangerous to the stability of a vessel when it is:,completely empty,low in the vessel,completely full,slack,D
71,A tank which has been sealed for a long time can be dangerous for human entry because:,tank coating gives off toxic fumes,sealed tank usually form a vacuum,moisture displaces oxygen,steel surfaces consumes oxygen by rusting,D
72,A tourniquet should be used to control bleeding ONLY:,when the victim is unconscious,with puncture wounds,to prevent bleeding from minor wounds,when all other means have failed,D
73,"A training on fire fighting procedures is being conducted. What type of fire is characterized by the burning of flammable liquids, greases, etc., where a blanketing effect is essential? ",Type A,Type C,Type D,Type B,D
74,A tubular type of device designed to prevent the passage of flames into an enclosed space is commonly called a __________.,'flame relief valve','flame stopper','safety valve','flame arrester',D
75,"A vessel arrives in a foreign port and the Master is informed that the vessel is being sold to foreign interests. The new owners request that the crew remain on board to complete the voyage.  Under these circumstances, the crew:",must remain aboard until the vessel is delivered to the new owners at a mutually agreed upon port,must remain on board,must comply with the decision made by the Master,has the right to an immediate discharge and transportation to original port of engagement,D
76,A vessel in an international voyage arrives from a foreign port. What is issued to the vessel before port authorities and agents can board?,Bill of compliance,Entry clearance,Bill of lading,Free pratique,D
77,A vessel s stability is greatly reduced by liquid free surface. Which of the listed conditions would develop the greatest adverse effect:,Tanks which have been pressed up to full capacity.,Tanks which have been completely emptied.,Tanks which are 95% full.,Tanks which are 40% full.,D
78,A vessel s stability normally increases when tanks are ballasted because the vessels:,center of buoyancy is lowered,reserve buoyancy is increased,freeboard is increased,center of gravity is lowered,D
79,A vessel with a large metacentric height will:,tend to ship water on deck in heavy weather,have small amplitude of roll in heavy weather,be less likely to have cargo shift,be subject to severe racking stresses,D
80,A vessel would be referred to as tender when the weight of the cargo is:,evenly distributed vertically and the double bottoms are full,concentrated low and the double bottoms are empty,concentrated low and the double bottoms are full,concentrated high and the double bottoms are empty,D
81,A vessel’s stability is greatly reduced by liquid free surface. Which of the listed conditions would develop the greatest adverse effect?,Tanks which are 95% full.,Tanks which have been pressed up to full capacity.,Tanks which have been completely emptied.,Tanks which are 40% full.,D
82,"Aboard a survival craft, ether can be used to:",aid in helping personnel breathe,prime the air supply,prime the sprinkler system,start the engine in cold weather,D
83,About the proof test applied to cargo gear which statement is not correct?,The cargo boom must be not more than 15° from the vertical,The proof load is in excess of the safe working load,The test must be conducted at least once every 5 years,The load can be applied by using a scale,D
84,"According to 33 CFR, records of garbage disposal are required to be maintained:",until each quadrennial Coast Guard inspection,until the end of each voyage,for a minimum of one year,for a minimum of two years,D
85,According to the Chemical Data Guide which extinguishing agent should be used on a petrolatum fire in an open area?,Monoxide powders,CO2,Dry chemical,Foam,D
86,"Activities undertaken to detect, isolate, and rectify a fault so that the failed equipment, machine, or system can be restored to its required function:",Predictive maintenance,Reactive maintenance,Preventive maintenance,Corrective maintenance,D
87,Adverse effects due to free surface will become apparent when:,the vessel is trimmed by the stern,the vessel's draft is decreased exposing more surface area  to the wind and current,"the vessel's draft is increased, thus increasing the vessel's wetted surface area",a portion of liquid is removed from a full tank,D
88,"After abandoning a vessel, lookouts should be posted aboard the liferafts and look for ________.",land,ships in the vicinity,food and water,survivors in the water,D
89,"After an IOPP Certificate is issued to an inspected vessel, how many other surveys of the vessel's pollution prevention equipment are conducted during the period of validity of the certificate?",Two,None,One,Three,D
90,"After taking on fuel oil, the hoses should be disconnected  and __________.",draped over the fantail to dry out,drained over the side and washed out,drained into the bilges and washed out,drained into buckets or fuel tanks,D
91,"After using a C02 portable extinguisher, it should be __________.",put back in service if some C02 remains,hydrostatically tested,retagged,recharged,D
92,"After using a portable Halon fire extinguisher, it should be __________.",put back in service if more than 50% of the charge remains,repainted,hydrostatically tested before reuse,discarded,D
93,All life jackets carried on board small passenger vessels are required to be marked:,with the maximum serviceable life of the life preserver,with the vessel's official number,with the maximum weight to be held by the life preserver,with the vessel's name,D
94,Ammonia is lighter than air and if a leak should occur its  concentration will be __________.,lower near the top of an enclosed space,dependent upon available free hydrogen ions,of minimum importance during venting procedures,lower near the deck of an enclosed space,D
95,An advantage of a dry chemical over a carbon dioxide fire extinguisher is ,"it offers lasting, effective protection against burn back",the multipurpose extinguishing ability,its greater range,All of the above,D
96,An effective method for lifting and carrying patients with spinal injuries is known as the ,pack-strap carry,two man extremities carry,fireman's drag,four man log roll,D
97,"An example of class ""A"" fire is a/an __________.",electrical fire in the engine room,oil fire in the engine room bilges,"oil fire involving a grade ""A"" petroleum product",mattress fire in a stateroom,D
98,An inclined semisubmersible with a very short rolling period about a constant angle of list is likely to have:,An LCG greater than level vessel LCB,A negative GM,Excessive free surfaces,An off-center TCG,D
99,"An inert gas system incorporating a separately fired inert  gas generator shall be provided with visual and audible alarms to indicate failure of the power supply to the generator, the automatic control system, and __________.",cooling water flow,combustion air temp too low,high sea water temperature,insufficient fuel supply,D
100,An inert gas system is designed to reduce the possibility of tank explosions by __________.,eliminating sparks and fire in the vicinity of cargo tanks,removing all hydrocarbon gases from the cargo tanks,blanketing cargo tanks with inert foam,reducing the oxygen concentration below levels necessary for combustion,D
101,"An instrument used to detect explosive gas/air mixtures, usually measures the concentration in terms of the lower explosive limit, and is known as a __________.",toxic vapor meter,flame safety lamp,gas absorption detector,combustible gas indicator,D
102,An LNG carrier has an approved type of gas detecting system to detect methane leaks in the __________.,barrier spaces,cargo handling rooms,boiler burner supply piping,all of the above,D
103,An unconscious person should NOT be ____,examine for breathing and heart action,start heart compression at once,lay casually on hard surface,given something to drink,D
104,"An uncontrolled flow of gas, oil, or other well fluids into the atmosphere is called a __________.",flow,breakout,kick,blowout,D
105,Any organic compound which evaporates readily to the atmosphere and it has a flashing point of below 60oC. ,Volatile Compound,Organic Compound,Organic Volatile Compound,Volatile Organic Compound,D
106,Artificial respiration may be necessary in cases of __________.,drowning,electrocution,poisoning,All of the above,D
107,"At all angles of inclination, the true measure of a vessels stability is the:",Metacentric Height,Displacement,Inclining Moment,Righting Moment,D
108,At night while the ship is tied up to the dock  a fire breaks out in a cargo hatch. After sounding the alarm  what should the person on watch do:,Begin fighting the fire immediately.,Let go the lines to let the vessel drift to an anchorage.,Await further orders from the Master.,Send a person to summon the shore  authorities.,D
109,At what interval must a foam fire extinguisher be recharged if the vessel's Certificate of Inspection is issued for a period of two years?,Quarterly,Semiannually,Biennially,Annually,D
110,At which of the listed tank locations should you obtain oxygen content readings prior to tank washing?,At the hatch coaming and tank bottom.,At the hatch coaming and middle of the tank.,At the middle and bottom of the tank.,At the center of the ullage and one meter below deck.,D
111,"Before entering a fuel tank that has been cleaned, it should be checked with an oxygen indicator and a/an __________.",Orsat apparatus,flame safety lamp,Halide torch,combustible gas indicator,D
112,"Before inserting a low velocity fog applicator into an all-purpose combination nozzle, you must __________.",tighten the high velocity fog tip,put the control handle in the solid steam position,put the control handle in the fog position,remove the high velocity fog tip,D
113,"Before using a fixed CO2 system to fight an engine room fire, you must __________.",secure the engine room ventilation,secure the machinery in the engine room,evacuate all engine room personnel,All of the above,D
114,"Bunker ""C"" is classified as a grade __________.",A liquid,B liquid,D liquid,E liquid,D
115,"Bunker ""C"", a grade ""E"" combustible liquid, will __________.",give off flammable vapors below 80°F (26.7°C),have a Reid vapor pressure of 14 psi (96.5 kPa) or more,self-ignite at temperatures below 150°F (65.5°C),have a flash point of 150°F (65.5°C) or more,D
116,Bunker C a grade  E combustible liquid  will:,give off flammable vapors below 80F (26.7C),have a Reid vapor pressure of 14 psi (96.5 kPa) or more,self-ignite at temperatures below 150F (65.5C),have a flash point of 150F (65.5C) or more,D
117,Burning electrical insulation is best extinguished by __________.,soda acid,foam,water fog,carbon dioxide,D
118,Burning magnesium is considered to be which of the listed classes of fire?,Class A,Class B,Class C,Class D,D
119,Cargoes reference within the IMDG Code may be anticipated to be:,of a high flash point,a spontaneous combustion risk,needing under deck stowage,of a hazardous nature,D
120,Class C fires may be combated using a __________.,dry chemical extinguisher,carbon dioxide extinguisher,halon extinguisher,all of the above,D
121,"Combustible gas indicators are used to detect flammable gases or vapors in the atmosphere.  As a safety feature, they are equipped with __________.",an audible signaling device,an inflatable bag,a pressure relieving device,flame arrestors,D
122,Combustible gas indicators detect flammable gases  or vapors present in the atmosphere by an intricate system which includes:,weighing the vapor,burning the vapors,metering the vapors,measuring the vapor volume,D
123,Combustible material stored in a compartment adjacent to a compartment where there is a fire  may be ignited due to __________.,heat convection through the adjacent bulkheads,combustion gases carried through the ventilation system,direct convection of the heat emitted by the adjacent fire,heat radiated from the deck or bulkhead by the adjacent fire,D
124,"Combustible material which is stored adjacent to a compartment where there is a fire, may also be ignited.  This ignition can occur by __________.",heat convection through the bulkheads,heat conduction of combustion gases,direct radiation emitted by the adjacent fire,heat radiated from the bulkhead by the adjacent fire,D
125,Damage stability is the stability:,which exists when the wind speed is less than 50 knots,at the maximum load,before collision,after flooding,D
126,Diesel fuel is relatively safe to handle due to its low volatility  but the fumes will self-ignite and continue to burn steadily if the fuel is heated to the:,upper explosive limit,flash point,volatility point,ignition point,D
127,Diesel fuel vapors __________.,can not be ignited by a spark unless the vapor is in a confined space,are nontoxic in all concentrations,can not be ignited by a spark unless they are at their auto ignition temperature,are heavier than air,D
128,Dry chemical extinguishers extinguish class B fires to the greatest extent by,cooling,smothering,oxygen dillution,breaking the chain reaction,D
129,Dry chemical extinguishers extinguish class B fires to the greatest extent by:,cooling,smothering,oxygen dilution,breaking the chain reaction,D
130,"During an abandonment or drill, the first person to arrive at the survival craft should __________.",pass out food and water to personnel,open the doors and start the sprinkler system,activate the emergency release handle,open the doors and prepare the craft for boarding,D
131,"During fueling operations, which of the listed precautions  should be taken when topping off fuel tanks?",Reduce the pumping rate by closing the deck filling valve.,Close all overflow valves.,Place 5 gallon containers under all flange connections in the fuel line.,Reduce the pumping rate and sound tanks frequently,D
132,Each completed page of the Oil Record Book must be signed by the __________.,engineer on watch,Chief Engineer,Chief Mate,Master,D
133,Each hand portable fire extinguisher carried on a VESSEL must be marked with __________.,the name of the unit on which it is located,the date that it was installed on the unit,the names of the individuals qualified to use it,an identification number different from other extinguishers on the unit,D
134,Each open lifeboat carried on a vessel on an international voyage must have __________.,a motor,a mast and a sail,hand-propelling gear,a davit span with at least 2 lifelines,D
135,Each person on the rig has a designated area to proceed to  in the event of a fire.  This assignment is shown clearly on the rig's __________.,firefighting plan,shipping articles,Certificate of Inspection,"Muster List (""Station Bill"")",D
136,Effective leaders periodically take stock of their personal strengths and shortcomings. What trait of leadership is this?,Inner strength,Thinker,Visionary,Self-assessment,D
137,Efficiency is the ability to_____:,get results to the maximum,work orderly with good output,work without regard to outside forces,get things done right,D
138,Engines for lifeboats are required to have sufficient fuel to operate for how many hours?,6 hours,12 hours,18 hours,24 hours,D
139,Fighting a fire in the ballast pumproom with hoses would adversely affect the stability of a vessel most by:,a reduced KG caused by water filling the compartment,reduction of drill water from the storage tanks,increasing the permeability of the pumproom,a list caused by water filling the compartment,D
140,Fighting a fire in the galley poses the additional threat of:,contaminating food with extinguishing agent,spreading through the engineering space,loss of stability,a grease fire in the ventilation system,D
141,Fire and abandon ship stations and duties may be found on the __________.,crewman's duty list,Certificate of Inspection,shipping articles,muster list,D
142,Fire detecting systems on merchant vessels may be arranged  to sense __________.,smoke,rate of temperature rise,ionized particles,all of the above,D
143,"For a MODU with longitudinal inclination, an increase in ‘GML’ causes:",list to stabilize at an angle of loll,trim to stabilize at an angle of loll,trim to increase,trim to decrease,D
144,"For a vessel inclined by the wind, multiplying the buoyant force by the horizontal distance between the lines of action of the buoyant and gravity forces gives the:",Transverse moment,Longitudinal moment,Vertical moment,Righting moment,D
145,For carbon dioxide fire- fighting systems for machinery spaces the fixed piping system shall be such that:,70% of the gas can be discharged into the space within one minute,100% of the gas can be discharged into the space within three minutes,100% of the gas can be discharged into the space within two minutes,85% of the gas can be discharged into the space within two minutes,D
146,"For each person it is certified to carry, a lifeboat on an oceangoing passenger vessel must be provided with all of the following EXCEPT __________.",3 liters of water,1 seasickness kit,1 unit of provisions,1 life preserver,D
147,"For small angles of inclination, if the KG were equal to the KM, then the vessel would have:",Maximum stability,Negative stability,Positive stability,Neutral stability,D
148,Free communication will adversely affect transverse stability only when the flooded space is:,on the centerline,completely flooded,open to the sea above and below the waterline,off-center,D
149,GM cannot be used as an indicator of stability at all angles of inclination because:,G is not fixed at large angles,There is no G at large angles,There is no M at large angles,M is not fixed at large angles,D
150,How long must the records of tests and inspections of fire fighting equipment on board a vessel be retained on board? ,6 months,1 year,3 years,Until the next inspection for certification,D
151,How many years is the expiration of Shipboard Oil Pollution and Prevention Plan?,4 years,2 years,3 years,5 years,D
152,How often is a drill on the use of the line throwing appliance required to be held on a vessel:,Once a week,Once a year,Once a month,Once every three months,D
153,Human memory is affected by all of the following EXCEPT:,vividness of an event ,recency of an event,frequency of an event,irrationality of an event,D
154,Hydrostatic data is being used to find the KM of the vessel and then:,GG,LCG,KB,KG,D
155,"If a vessel rolls to the starboard side and there are no movable or moving weights on board, the center of gravity will:",move directly down,move to starboard,move to port,stay in the same position,D
156,If during helicopter refueling operations  fuel is spilled on clothing  the person should first:,see the medic immediately,spray himself with foam or CO2,complete his task and then see the medic,remove the clothing and wash,D
157,"If the result of loading a vessel is an increase in the height of the center of gravity, there will always be an increase in the:",metacentric height,righting arm,righting moment,vertical moments,D
158,"If water is rising in the bilge of a lifeboat, you should FIRST:",abandon the survival craft,check for cracks in the hull,shift all personnel to the stern,check the bilge drain plug,D
159,"In a longitudinally framed vessel, the longitudinal frames are held in place in a place and supported by athwartship members called:",Margin plates,Web frames,Stringers,Floors,D
160,"In accordance to SOLAS II, Regulation 43, an emergency source of power can support one of the fire pumps for a period of:",6 hrs,24 hrs,12 hrs,18 hrs,D
161,"In case each hydrant is not fitted with hose and nozzles, what is the requirement:",Complete interchangeability  of hose couplings and nozzles,Hoses and nozzles for each hydrant to be available at the fire stations,"At each fire station, sufficient number of hoses with nozzles for the hydrants in the area shall be available",Hoses with fixed nozzles to be kept ready for use in conspicuous positions near the hydrants,D
162,In general  how often are sanitary inspections of passenger and crew quarters made aboard passenger vessels in river service:,Once each month,Once each trip,Once each day,Once each week,D
163,In general on what does the position of the center of buoyancy depends:,Freeboard,Depth,Length,Draft,D
164,"In ship construction, the shell plating is arranged in strakes and assigned letter designations. If the strakes were lettered “A” through “K”, the “K” strake will be:",at the turn of the bilge,the keel strake,the drop strake,the sheer strake,D
165,"In SOLAS, any ratification, acceptance, approval or accession deposited after the date on which the present Convention enters into force shall take effect _______ after the date of deposit.",12 months,6 months,9 months,3 months,D
166,"In the Oil record Book, each operation specifies in the regulation must be noted by the:",the entries match operations completed after which is signed by the Port Authorities,the entries match operations completed after which is signed by the Master,officer or OIC of the operation and each completed page will be signed by the Port Authorities,officer or OIC of the operation and each completed page will be signed by the master,D
167,"In weighing CO2 cylinders, they must be recharged if weight loss exceeds:",10% of weight of full bottle,15% of weight of full bottle,20% of weight of charge,10% of weight of charge,D
168,Inflatable liferafts are provided with:,a portable radio,an oil lantern,canned milk,a towing bridle,D
169,It contribute responsibly and enthusiastically to the tasks at hand and lend support to one another in achieving pre-set objectives.,Challenge and response,Motivation,Rapport,Teamwork,D
170,"It is a system which involve planning, organizing and controlling the efforts of a group towards achieving a goal.",Leadership,Managers,Management level,Personnel management,D
171,"It is the ability to see or visualize the organization as a whole, and it helps the manager identify the causes of the problems and not the symptoms.",Administrative Skills,Problem Solving Skills,Technical Skills,Conceptual Skills,D
172,Lifeboats for ocean-going vessels shall carry in excess of the required regulation by:,50% of persons on board,75% of persons on board,100% of persons on board,25% of persons on board,D
173,Line throwing equipment should NOT be operated __________.,near a liferaft canister,during a rain storm,by other than credentialed officers,in an explosive atmosphere,D
174,Litmus paste is used in order to determine:,ullage,the tanks datum point,innage,thievage,D
175,Manage emergencies to maintain the safety and security of the ship’s crew and passengers include which statement below?,On-board personnel are given information and instructions clearly and accurately during actual emergencies onboard,Procedures are implemented to combat emergency and to protect persons ashore,Injured persons are provided with assistance as soon as it reaches the hospital,Communications are established with others to facilitate the emergency response process ,D
176,Managerial performance is based upon accomplishment of _____________.,responsibilities   ,duties,choices  ,objectives,D
177,Motivation is ________.,that special desire to excel,"efforts at keeping employees ""cheered up"" at all times",managerial strategies to inspire the working force,"factor that cause, channel and sustain people's behavior",D
178,Motor-propelled lifeboats are required to have sufficient fuel to operate continuously at 6 knots for how many hours?,6,12,18,24,D
179,Normally  potable water systems are connected directly to the:,freshwater sanitary system,feed-water system,fire-main system,domestic water tank,D
180,"On all mobile offshore drilling units, the deck head of each accommodation space must be located above:",the operating draft,the survival draft,the transit draft,the deepest load line,D
