Table 1
FUNCTION 1: NAVIGATION AT THE DECK OPERATIONAL LEVEL,,,,,,,
No.,Questions,Questions,Choice B,Choice C,Choice D,Answer,
79,A Safety Message is used when circumstances are discovered which may constitute a danger to shipping. What is the telegraphy and telephony urgency message like?,T T T (Telegraphy) / SECURITE (Telephony),S O S (Telegraphy)  /   MAYDAY  (Telephony),T T T (Telegraphy) / MAYDAY (Telephony),S O S (Telegraphy)  /  SECURITE  (Telephony),A,
80,A sailing chart could have a scale of:,"1:700,000","not more than 1:25,000","1:35,000","1:100,000",A,
81,A sailing vessel must keep course and speed when:,being overtaken,to windward of another sailing vessel,to leeward of another sailing vessel,crossing a vessel engaged in fishing,A,
82,A sailing vessel with the wind coming from 020° relative would be:,coming about,close hauled on the port tack,running before the wind,on a broad reach on the starboard tack,A,
83,A sailing vessel with the wind coming from 050° relative would be:,close hauled on the starboard tack,reaching on a starboard tack,on a broad reach on a port tack,running before the wind,A,
84,A sailing vessel with the wind coming from 290° relative would be:,on a close reach on a port tack,close hauled on a starboard tack,on a broad reach on a port tack,on a beam reach on a starboard tack,A,
85,"A SART must, when the vessel sinks:",be taken by the crew to the rescue-boat and turned on manually,automatically released and then automatically activated,should be left sinking with the ship,should be far from the person to prevent radiation illness,A,
86,A seaman is reported missing in the morning and was last seen after coming off the mid-watch.  Which type of turn would you use to return to the track-line steamed during the night?,Williamson Turn,Racetrack,Scharnow turn,Anderson turn,A,
87,A self-propelled dredge not engaged in dredging but proceeding to a dredging location at night would:,be required to show the lights of a power-driven vessel underway,not be required to show any lights,be required to show the lights characteristic of a dredge,be required to show the lights of a stationary dredge,A,
88,A set of code flags on a vessel totals:,40 pieces,36 pieces,26 pieces,60 pieces,A,
89,"A sextant having an index error that is ""off the arc"" has a:",positive correction,dip error,negative correction,semidiameter error,A,
90,A ship from Latitude 03deg. 36' S sailed on course 000deg. (T) at a distance of 282 miles. Calculate the Arrival Latitude.,Lat. 01deg. 06' N,Lat. 01deg. 06' S,Lat. 08deg. 18' S,Lat. 08deg. 18' N,A,
91,"A ship in distress should transmit the appropriate alarm signal followed by the distress call and message on one or all of the international distress frequencies. Which of the frequencies are in accordance with the present recommendations? I. 500 kHz, 2182 kHz and 156.8 MHz  II. 550 kHz, 2182 kHz and 121.5 MHz",I only                       ,II only                  ,I and II are correct,Neither I nor II,A,
92,A ship is heading 350° per gyro compass and 358.5° per standard compass. The gyro error is 1.5°E and the variation is 6°W. Find the deviation.,1.0°W,2.0°W,1.0°E,2.0°E,A,
93,"A ship is turning around a point called the ""pivot point"". What is the position of this invisible point when the ship is ""dead"" in the water?",About same position as the center of gravity,Outside of the center line,Near the bow,Near the stern of the ship,A,
94,A ship turns around a point called the 'pivot point'.  What is the usual position of this point when the ship is at full sea speed?,At about 1/4 of the ship's from the bow,Amidships,At about 1/4 of he ship's length from the stern,At the stern,A,
95,"A signal of one prolonged, one short, one prolonged, and one short blast, in that order is given by a vessel:",being overtaken in a narrow channel,engaged on pilotage duty,at anchor,in distress,A,
96,A signal which has undergone single reflection from E layer.,one-hop E signal,single reflection  signal,one-hop signal,diffraction,A,
97,"A single-letter signal ""UNIFORM"" being sounded by a vessel near an area of reduced visibility indicates that she may be:",aground,stopped,anchor,drifting,A,
98,A situation has occurred where it becomes necessary for you to be towed. What action should be taken to prevent your vessel from yawing?,Shift weight to the stern,Throw excess weight overboard,Shift weight to the bow,Shift weight to the center of the boat,A,
99,A storm signal occurring over a place with winds over 220 kph.,Signal #5,Signal #4,Signal #2,Signal #3,A,
100,A telex connection via Inmarsat-A can be disconnected on board by entering:,…..,kkkk,Off,DC,A,
101,A thrust block is designed to:,transmit the thrust of the propeller to the vessel,transmit the thrust of the engine to the propeller,absorb the shock of wave pressure at the bow,be placed between the engines and the foundation to absorb the vibration,A,
102,"A towing vessel 35 meters in length, with a tow 100 meters astern, must show a minimum of how many masthead lights?",2,1,3,4,A,
103,A towing vessel becomes tripped while towing on a hawser astern. What factor is LEAST important when assessing the risk of capsizing?,Height of the towline connection,Length of the barge,Direction of opposing force,Length of the towline,A,
104,A towing vessel is towing two barges astern. The length of the tow from the stern of the tug to the stern of the last barge is 250 meters. The towing vessel is 45 meters in length. How many white masthead lights should be displayed on the tugboat at night?,3,1,2,4,A,
105,A towing vessel pushing a barge ahead and rigidly connected in a composite unit shall show the lights of:,a power driven vessel not towing,a power driven vessel towing,a barge being pushed ahead,a power driven vessel and a vessel being towed,A,
106,A tropical storm is a tropical cyclone that generates winds of:,between 34 and 63 knots,None of the stated options,over 63 knots,between 20 and 33 knots,A,
107,A tug would NOT assist a ship to steer if the tug is made up to the large vessel in what area of the vessel?,Approximately amidships of the vessel,Forward on either bow of the vessel,By a tow line ahead of the vessel,On n the vessel's quarter,A,
108,"A twin screw vessel  is easier to maneuver than single-screw vessel with the engines half ahead. If there is no wind or current and the rudder is amidships, which of the following will happen?",Can turn without using her rudder,Generates more power,Can suck the water away from the rudder,Permits the rudder to move faster,A,
109,A twin-screw ship is proceeding ahead. The rudder is amidships. What will happen if the starboard screw is stopped?,The bow will go to starboard,The bow will go to port,The bow will remain steady,Nothing unusual will happen,A,
110,A twin-screw vessel can clear the inboard propeller and maneuver off a pier best by holding a(n):,forward spring line and going slow ahead on the outboard engine,forward spring line and going slow ahead on both engines,forward spring line and going slow ahead on the inboard engine,after spring line and going slow astern on the outboard engine,A,
111,"A twin-screw vessel moving astern with both engines backing, with rudders amidships and negligible wind, will back:",in a fairly straight line,to port,to starboard,in a circular motion,A,
112,A twin-screw vessel with a single rudder is making headway. The engines are full speed ahead. There is no wind or current. Which statement is FALSE? ,Turning response by use of the rudder only is greater than on a single-screw vessel," If one screw is stopped, the ship will turn toward the side of the stopped screw.",The principal force which turns the ship is set up by the wake against the forward side of the rudder.,"With the rudder amidships, the ship will steer a fairly steady course.",A,
113,A type of anchor stowed at the stern hawse pipe is called:,stream anchor                                          ,kedge anchor                                              ,sheet anchor                                                                                                     ,bower anchor,A,
114,A typical speed of scanner rotation is about:,20 revs per minute,5 revs per minute,200 revs per minute,20 revs per second,A,
115,"A vessel ""not under command"", as defined in the Rules, is one which through some exceptional circumstances is unable to  maneuver as required by the Rules. This is defined in what rule?",3rd Rule,10th Rule,23rd Rule,27th Rule,A,
116,A vessel approaching a narrow channel shall:,avoid crossing the channel if it impedes another vessel navigating in the channel,keep as close as possible to the edge of the channel on her port side,anchor only in the middle of the channel,not overtake any vessels within the channel,A,
117,"A vessel being towed astern, where the length of the tow exceeds 200 meters, will exhibit:",a diamond shape where it can best be seen,no day-shape,a ball on each end of the tow,two balls in a vertical line,A,
118,A vessel displaying three red lights in a vertical line is:,constrained by her draft,aground,not under command,dredging,A,
119,A vessel engaged in trawling will show identification lights of:,a green light over a white light,two red lights in a vertical line,a white light over a red light,a red light over a white light,A,
120,A vessel heading SSE is on a course of:,157.5deg.,135.0deg.,112.5deg.,180.0deg.,A,
121,"A vessel is following a range to keep herself within a narrow channel.  The chart indicates the range to be 001deg.  The vessel is ""on range"" when she is steering a course of:",001deg. T,359deg. T,000deg. T,180deg. T,A,
122,A vessel is heading 213°C. Find the true course if the compass error is 3°E.,216°,215°,214°,217°,A,
123,"A vessel is heading magnetic northwest and its magnetic
compass indicates a heading of 317°. What action should be
taken to remove this error during the compass adjustment?","If the quadrantal spheres are in as far as possible replace
them with larger spheres","If the quadrantal spheres are in as far as possible replace
them with smaller spheres",Move the quadrantal spheres out,"If the spheres are in as far as possible remove one of the
spheres",A,
124,"A vessel is on course 230°T, speed 9 knots. At 2145H you see a buoy bearing 200°T at a range of 4.8 miles. If you maintain course at 230deg. T, the buoy will be abeam at a distance of:",2.40 miles,1.95 miles,1.50 miles,3.18 miles,A,
125,"A vessel is on course 270 degrees (T) and a speed of 10 knots.  The apparent wind is from 10 degrees off the port bow, speed 30 knots. From which direction is the true wind?",255deg. T,345deg. T,165deg. T,075deg. T,A,
126,"A vessel is signaling to you by flag hoist, and the answer pennant is hoisted close-up. You should:",expect no further flag hoists,"hoist flag ""R""",wait for further signals after a short delay,"hoist flag ""C""",A,
127,A vessel is underway and fishing with trolling lines. This vessel:,Must keep out of the way of sailing vessel,"Must sound one prolonged, two short blasts signal in restricted visibility",Is the stand-on vessel when overtaking power driven vessels,All of the above,A,
128,A vessel navigating in separation scheme should NOT intervene the passage of:,deep draught vessel,submarine,fishing vessel,naval vessel,A,
129,"A vessel proceeding along the course of a narrow channel or fairway, as far as Rule 9 of the Rules of the Road is concerned, shall:",keep as near to the outer limit of the channel or fairway which lies on her starboard side,maintain her course speed while in the channel,be privileged to keep her course and speed,all of the choices,A,
130,A vessel shall navigate with caution at what speed?,At a speed commensurate with steerage way,At slow speed,At maneuvering speed,At moderate speed,A,
131,A vessel towing by pushing ahead in fog will sound:,one prolonged and two short blasts,one prolonged blast,one short blast,two prolonged blasts,A,
132,A vessel using a traffic separation scheme shall so far as practicable:,keep clear of the traffic separation line or separation zone,avoid impeding the safe passage of other vessels following the lane,avoid vessels crossing the scheme,keep to the starboard side of the lane,A,
133,A vessel when engaged in trawling with a length of 50m or more shall display how many masthead lights at night? ,One,Two,None,White over a green light only,A,
134,A vessel which is being assisted by an icebreaker would display a flag hoist consisting of the code numeral 4 when the vessel:,becomes icebound,speed begins to drop,stops,receives ice damage,A,
135,"A vessel will """"squat"""" when it proceeds underway:",in all depths of water,only in deep water ,only in shallow water,only in narrow channels,A,
136,A vessel's bow thruster is usually quite effective at a speed of up to how many knots?,3,7,5,8,A,
137,A VHF transmission range is mainly determined by:,the height of the aerial,the right position of the squelch-adjustment,the weather condition,atmospheric condition,A,
138,A VHF transmission range is mainly restricted by:,the curvature of the surface of the earth,reflection by the ionosphere,the weather condition,vessel's location,A,
139,A warm air mass is characterized by:,stability,instability,gusty winds,good visibility,A,
140,A wire aerial for an MF/HF –transmitter must be suspended between isolators:,to prevent contact with earth,to prevent burns when touching the aerial,to prevent radiation to ships personnel,all of the options,A,
141,"A yellow signal floating in the air from a small parachute, about 300 feet above the water, would indicate that a submarine:",is about to rise to periscope depth,has fired a torpedo during a drill,is disabled and unable to surface,is on the bottom in distress,A,
142,"According to COLREG Rule 3, a vessel have been held to be underway with which of the following conditions?",using her anchor to turn in the river,her anchor is down and holding,She is docked to the jetty,Her mooring lines have been made taut to the wharf,A,
143,According to the rules of GMDSS the frequency 2187.5 kHz is used for:,alerting,distress traffic,piracy attack,regular communication,A,
144,"According to the Rules of the Road, what does the word ""breadth"" mean? ",Greatest breadth,Breadth on the uppermost continuous deck,Molded breadth,Breadth at the load waterline,A,
145,"According to the Rules, which vessel is NOT ""restricted in her ability to maneuver""?",A sailing vessel,A vessel servicing a navigation marker,A vessel mineclearing,A vessel dredging,A,
146,"Action to avoid collision. Any alteration of the course and or speed to avoid collision shall if the circumstances admit, be large enough to be readily apparent to another vessel.",Colreg 8(b),Colreg 8(d),Colreg 8(a),Colreg 8(c),A,
147,Additional Signals for Fishing Vessel Fishing in Close Proximity is contained in:,Annex 2,Annex 1,Annex 3,Annex 4,A,
148,Aft towing arrangement should be rigged and be capable of being deployed in a controlled manner in harbor conditions in NOT more than:,15 minutes,20 minutes,10 minutes,30 minutes,A,
149,After abandoning ship which action should be taken IMMEDIATELY upon entering a liferaft?,Get clear of the ship.,Open equipment pack.,Dry the liferaft floor and inflate.,Issue anti-seasickness medicine.,A,
150,"After an explosion, when should repair of machinery and services be accomplished?","After control of fire, flooding and structural repairs","Before control of flooding, fire and rescue of entrapped crew members",After ensuring that the ship is upright,Before ensuring that all crew members are accounted for and safe,A,
151,"After grounding, extent of the damage to the ship can be determined by which of the following?
",Sounding of all compartments                 ,Taking sounding around the ship                 ,By checking the loadline,By checking the summer line,A,
152,"After sending a message describing the symptoms of an ill crew member, you receive a message containing the code MRL. What is the meaning of the message?",Commence artificial respiration immediately,Pass catheter into bladder,Apply ice-cold compress and renew every 4 hours,Give enema,A,
153,"After start of man-over-board maneuver, whom shall be informed?",Engine Room,Chief Officer,Ratings on watch,Duty Officer on deck,A,
154,AIS stands for:,Automatic Identification System,Auto Investigation System,Automatic Identity System,Automatic investigation Security,A,
155,AIS uses __________ which forms part of the radio system used  on ships. Display information which was previously available only to modern Vessel Traffic Service (VTS) operations centers could now be available to every AIS  - equipped ship.,Digital Selective Calling (DSC),Very High Frequency(VHF),Fax,Telex,A,
156,All lights mentioned in the Rule be exhibited during what hours?,From sunset to sunrise in all weathers,From sunset to sunrise in clear weathers only,From sunrise to sunset in restricted visibility only,24-hour period,A,
157,All of the following are recognized distress signals under the Navigation Rules EXCEPT:,a green star signal,orange-colored smoke,red flares,the repeated raising and lowering of outstretched arms,A,
158,All of the following can be found on a Pilot Chart EXCEPT information concerning the:,amounts of precipitation,sea surface temperatures,percentage of frequency of wave heights,percentage of poor visibility conditions,A,
159,All of the following signals may be given when two vessels are in sight of one another EXCEPT: ,four short whistle blasts,a light signal of at least five short and rapid flashes,"one prolonged, one short, one prolonged and one short whistle blasts",two short whistle blasts,A,
160,All personnel on board a vessel should be familiar with the rescue boat's __________.,boarding and operating procedure,navigational systems,maintenance schedules,fuel consumption rates,A,
161,"All VHF marine band radios operate in the simplex mode, which means that:",only one person may talk at a time,only two persons may talk at the same time,the radio only transmits,the radio only receives,A,
162,"Among the listed cases, which must an ECDIS give an alarm?",If the ship is going to reach a critical point on the planned route,When the speed of a dangerous target exceeds a set limit,If the ship's ETA has changed beyond the set limit,all of the choices,A,
163,"Among the listed, which one is NOT a way to signal distress?",Green star shells,Flames from the vessel,Continuous sounding of a whistle,A flag over a ball,A,
164,"Among the listed, which would qualify as a ""vessel not under command""?",a vessel with her anchor down but not holding,a vessel having an accident in her machinery forcing her to reduce her speed drastically,a vessel affected by severe weather conditions,a vessel fishing with trolling lines,A,
165,"An aircraft is engaged in search and rescue operation, what does it  signify when an aircraft crosses the vessel's wake close astern at low altitude while rocking the wings?",Vessel's assistance is no longer required,The vessel has to maneuver 180 degrees turn,The vessel has to maneuver 270 degrees turn,The vessel has to maneuver 90 degrees turn,A,
166,An alarm signal consisting of seven short blasts followed by one long blast is sounded by the ship's whistle and the alarm bells. What will you do?,Go to your lifeboat station (muster station),Go to your fire station,Go to lifeboat station and lower down the boat,Go to fire station and  directly wear the fire mans outfit,A,
167,An average size ship's turning circle is usually slightly ________ when the ship turns to the right than when she turns left. ,Larger,Smaller,The same,Cannot be determined,A,
168,An ECDIS compliant electronic chart is best described as:,a vector chart that complies with the S-57 standard,an ARCS chart with latest Updates applied,a DC format vector chart digitized from a corrected paper chart,a vector chart from C-Map,A,
169,An ECDIS is required to display which information?,Soundings,Waypoints,Meteorological data,Radar targets,A,
170,An ECDIS is required to display which information?,Hydrographic data,ARPA vectors,Radar targets,All of these,A,
171,"An ECDIS units incorporate Digital Chart Data Formats, which include:",vector and raster,raster only,vector only,imposed viewing,A,
172,An Electronic Chart System (ECS) is a system which displays chart data:,But does not comply with the IMO Performance Standard for ECDIS,in compliance with the IMO Performance  Standard for ECDIS,in conjunction with data from radar and other sensors,and will comply with future revisions of the IMO Performance Standards for ECDIS,A,
173,An example of a modern anchor which has a stock is a(n):,danforth anchor,flipper Delta anchor,baldt anchor,articulated anchor,A,
174,An icebreaker assisting a vessel through an ice field would display a visual signal consisting of the code letter S (Sierra) to signify that:,I am operating astern propulsion,I am altering my course to starboard,I am altering my course to port,My vessel is stopped and making no way through the water,A,
175,An ideal mooring system would be:,symmetrical and in equilibrium,asymmetrical and in flux,distorted and in equilibrium,concentric and in flux,A,
176,An important benefit of ECDIS is:,all of the choices,simple and reliable updating of the ENC,anti Grounding prevention,fuel saving potential,A,
177,An instrument that maintains a continuous record of humidity changes is called a:,hygrograph,thermometer,thermograph,humograph,A,
178,An ocean towing bridle should:,have equal legs of sufficient length,have a large angle between the legs,be formed on a bight of cable through a ring,never be made up of chain,A,
179,An unwanted echo produced by choppy seas.,Sea clutter,Second trace echoes,Weather echoes,Normal radar echoes,A,
180,Anchor shackles should have a breaking strength that is:,equal to the chains they are connecting,25% more than the chains they are connecting,50% more than the chains they are connecting,100% more than the chains they are connecting,A,
