Table 1
FUNCTION 3: CONTROLLING OF OPERATION OF THE SHIP AND  CARE FOR PERSONS ON BOARD AT THE DECK OPERATIONAL LEVEL,,,,,,,
No.,Questions,Choice A,Choice B,Choice C,Choice D,Answer,
35,"A fire extinguishing product produced by first mixing a foam concentrate with water to produce a foam solution, then mixing the foam solution with air is termed ______.",mechanical foam, light water,halon 1301,chemical foam,A,
36,A fire fighting agent as a least hazardous to personnel is _____.,water,carbon tetrachloride,CO2,steam,A,
37,"A fire hose located at protected fire stations, must be ______.",connected to the fire hydrant,capped on the ends for protection,supplied with a smooth bore nozzle,loaded more on port side to forward,A,
38,A fire in a pile of canvas is classified as class:,A,B,C,D,A,
39,A fire in a pile of dunnage would be classified as class:,A,B,C,D,A,
40,A fire in a pile of linen is considered to be a class:,“A” fire,“B” fire,“C” fire,“D” fire,A,
41,A fire in the galley ALWAYS poses the additional threat of:,a grease fire in the ventilation system,spreading through the engineering space,causing loss of stability,contaminating food with extinguishing agent,A,
42,A fire in trash and paper waste is classified as class:,A,B,C,D,A,
43,"A fire station located in the engine room, is required by regulations to have.",A spanner wrench suitable for the size of hose at that station,"Lined or unlined hose, depending upon its location",A 6 foot or 10 foot low velocity fog applicator ,all of the choices,A,
44,"A fixed carbon dioxide extinguishing system for a machinery space, designed without a stop valve in the line leading to the protected space, is actuated by:",one control,two controls,three controls,none of the above,A,
45,A floating vessel will behave as if all of its weight is acting downward through the:,center of gravity,center of buoyancy,center of flotation,metacenter,A,
46,A fore and aft horizontal plate fitted on the top of floors upon which the center keelson rest:,frame,cant frame,bevel,foundation plate,A,
47,A fully loaded motor-propelled lifeboat must be capable of attaining a speed of at least:,6 knots in smooth water,3 knots in rough water,3 knots in smooth water,6 knots in rough water,A,
48,A journal kept by the officer of the watch in which day to day happenings are recorded regarding the deck department is the:,deck rough log,bell book,Official Logbook,cargo record book,A,
49,A kind of heat transfer in which the source of heat passes through an intervening space to an object.,Radiation,Conduction, Combustion,Spontaneous ignition,A,
50,A kind of teaching- learning principle where the trainee must proceed step by step and each step must be in some way more difficult than the previous step.,graduated sequence,perceived purpose,Affective Objective  ,Cognitive Objective ,A,
51,"A large metallic device, mounted directly in the piping (usually located at the dock near the point where the vapor hose is attached), designed to prevent the passage of a rapidly moving flame through the piping is called a:",detonation arrestor,lame arrestor,flame screen,detonation blocker,A,
52,A life float on a fishing vessel must be equipped with:,a life line,a hydrostatic release,smoke flares,a signal mirror,A,
53,A lifejacket should be provided with:,a whistle and a light,a whistle,a reflector,a  light with life line,A,
54,A lifeline must be connected to the liferaft:,all around,at the bow,in the middle,at the stern,A,
55,A liferaft with a capacity of 8 people used in ocean service is required by regulations to carry:,12 liters of fresh water,12 units of provisions,8 liters of fresh water,24 units of provisions,A,
56,A line inclined from the vertical or horizontal is:,rake,keel,sheer,flare,A,
57,A load line for a vessel is assigned by the:,A recognized classification society approved by the Coast Guard,Minerals Management Service,Department of Energy,Corps of Engineers,A,
58,"A major health hazard of the product tert- butylamine is that it: ",causes irreversible damage to eye tissue,is a very unstable product,can be absorbed through the skin,all of the options,A,
59,A merchant ship with a crew of over 20 is required by shipping regulation to have on board one of the following:,Emergency medical outfit ,Neil Robertson Stretcher,Escalating pathwalk,All of the options,A,
60,A method of solving for damage stability where water which enters the vessel is considered an added weight.,Added weight method,Deballasting,Damage control,Downflooding angle,A,
61,A motor lifeboat shall carry sufficient fuel to operate continuously for a period of:,24 hours,12 hours,18 hours,36 hours,A,
62,A neutral equilibrium position for a vessel means that the metacenter is:,at the same height as the center of gravity,lower than the keel,exactly at midships,at the center of the water plane area,A,
63,"A new crew member aboard your fishing vessel, who has not received any safety instructions or participated in any drills, reports on board.  The Master must provide a safety orientation:",before sailing,within 24 hours,on reporting day if it occurs within normal work hours,within one week,A,
64,A new crewman reports on board. He must be trained in the  use of the ship's lifesaving appliances within what time period?,2 weeks,1 month,2 months,Before sailing,A,
65,A new liferaft has been installed on your vessel.  The operating cord should be:,attached to the raft stowage cradle or to a secure object nearby with a weak link,faked on deck and lead through a chock,checked to see that it's unattached,coiled neatly on the raft container,A,
66,"A non-combustible material is a material which neither burns nor gives off flammable vapors in sufficient quantity for self-ignition when heated to approximately __________ ºC, this being determined in accordance with Fire Test Procedure Code.",750deg.C,650deg.C,550deg.C,800deg.C,A,
67,A partially full tank causes a virtual rise in the height of the:,center of gravity,center of buoyancy,center of floatation,metacenter,A,
68,"A particular learning scope for instructional objective which deals with how a trainee should about something in relation to the training program. ",Affective Objective  ,Cognitive Objective ,Progressive Objective,Effective Objective,A,
69,"A patient has to be moved after basic life support has been started, interruption time should NOT exceed:",15 seconds,20 seconds,5 seconds,10 seconds,A,
70,A person has suffered a laceration of the arm.  Severe bleeding has been controlled by using a sterile dressing and direct pressure.  What should you do next?,Apply a pressure bandage over the dressing.,Apply a tourniquet to prevent the bleeding from restarting.,Remove any small foreign matter and apply antiseptic.,Administer fluids to assist the body in replacing the lost  blood.,A,
71,"A person having the relevant training and skills and, if appropriate, qualifications, to perform particular tasks.",Competent person,Master,Superintendent,Designated Person,A,
72,"A person wearing lifejacket or immersion suit, shall be able to turn from a face-down to a face-up position in not more than:",5 seconds,8 seconds,10 seconds,15 seconds,A,
73,A piece of small stuff (small line) secured to an object to prevent it from going adrift is a:,lanyard,stopper,keeper,noose,A,
74,A plate used vertically in the bottom of a ship running athwartship from bilged usually on every frame to:,floor,intercostals plates,double bottom,frames,A,
75,"A policy, under which a state abstains from taking any position on the validity of a new government in another state, on the basis that taking such a position would constitute an unjustified interference in the domestic affairs of that other state.",Estrada doctrine ,Calvo doctrine,Castañeda Doctrine,Colorado River dispute,A,
76,A portable foam (stored-pressure type) fire extinguisher would be most useful in combating a fire in:,oil drums,the bridge controls,combustible metals,generators,A,
77,A portable foam fire extinguisher is placed in operation by ________.,turning it upside down,pressing the foam lever,squeezing the grip handle,opening the hose valve,A,
78,A quick and rapid motion of a ship in a seaway is an indication of:,large ‘GM,high center of gravity,excessive free surfaces,small ‘GZ,A,
79,A reinspection of the vessel shall be made between which of the following months while the Certificate of Inspection is valid?,10 - 14 months,8 - 12 months,10 - 12 months,12 - 14 months,A,
80,A relief valve for a cargo pump is generally installed:,between the pump and discharge valve,between the pump and suction valve,after the discharge valve,after the suction valve,A,
81,A rescuer can most easily determine whether or not an adult victim has a pulse by checking the pulse at the:,carotid artery in the neck,femoral artery in the groin,brachial artery in the arm,radial artery in the wrist,A,
82,A sea anchor is:,a cone shaped bag used to slow down the wind drift effect,a heavy anchor with an extra long line used to anchor in deep water,a pad eye to which the sea painter is made fast,made of wood if it is of an approved type,A,
83,A seafarer has suffered frostbite with his toes in the left foot. Which of the listed is(are) an acceptable first aid measure?,All of the choices,Elevate the foot slightly,Immerse the feet in warm water,Warming exposed parts rapidly,A,
84,A seaman signed on articles on 16 January 1987 and signed off on 2 March 1987.  How should you enter this under the Time of Service column in the articles?,46 Days,1 Month 16 Days,2 Months,1 Month 18 Days,A,
85,"A seizure is the change in behavior that occur after an episode of abnormal electrical activity in the brain. Thus, during seizure attack, the first aider should perform the following, except:"," Do not allow the patient to move, thus restrain him, then start CPR during the seizure. ",Do not place anything between the person's teeth during a seizure (including your fingers).,Do not move the person unless they are in danger or near something hazardous.,Do not give the person anything by mouth until the convulsions have stopped and the person is fully awake and alert.,A,
86,"A self contained Breathing Apparatus should contain at least 1200 liters of air. How long should this last a normal person who is not carrying out hard work? ",30 minutes,15 minutes,45 minutes,60 minutes,A,
87,A self-righting survival craft will return to an upright position provided that all personnel:,are seated with seat belts on and doors shut,are to shift to one side to right it,are seated with seat belts on and doors open,escape from the craft,A,
88,A severe blow to or a heavy fall on the upper part of the abdomen (solar plexus) can upset the regularity of breathing. What is the symptoms  and signs?,Difficulty in breathing in and the casualty may be unable to speak.,The casualty may start sweating profusely and develops a fever.,Unconsciousness and bleeding,Any of the choices,A,
89,A shell plate in a bilge will located directly beneath the sounding pipe:,striking plate,oxter plate,nozzle plate,pintle plate,A,
90,"A ship is turning around a point called the ""pivot point"". What is the position of this invisible point when the ship is ""dead"" in the water?",About same position as the center of gravity,Outside of the center line,Near the bow,Near the stern of the ship,A,
91,"A ship is turning around a point called the ""pivot point"". What is the position of this invisible point when the ship is ""dead"" in the water?",About same position as the center of gravity,Outside of the center line,Near the bow,Near the stern of the ship,A,
92,"A ship of 400 gross tonnage or more may discharge machinery space while enroute, and she is more than 12 miles from land provided the oil of the effluent is less than _________ parts per million.",100,150,200,210,A,
93,"A ship of 400 gross tonnage or more than an oil tanker may discharge oily machinery space bilge provided she is enroute, more than 12 miles from shore and has in operation a/an:",oil discharge monitoring and control equipment and oily-water separator ,COW facility,anode protection equipment,cathode protection equipment,A,
94,A ship progressive flooding may be indicated.,a continual worsening of list or trim,excessive draft,ballast control alarms,excessive list or trim,A,
95,"A shipmate chokes suddenly, cannot speak, and starts to turn blue. You should:",perform the Heimlich maneuver,make the victim lie down with the feet elevated to get blood to the brain,immediately administer CPR,do nothing until the victim becomes unconscious,A,
96,A short length of chain cable between anchor and windlass.,ganger,ginger,gaff,panama lead,A,
97,A significant development in the environment of a number of organization is:,globalization,infrastructure,Unification,Conference Assembly,A,
98,A simplified construction plan may be included in the vessel construction portfolio provided it adequately defines the:,areas where special materials are used,hazardous areas,location of emergency repair equipment,type and strength of materials used,A,
99,A situation which could have lead to an accident if they had developed further.,Hazardous Occurrences,Misfortune,De Ja vu,Bad luck,A,
100,A slow and easy motion of a vessel in a seaway is an indication of a:,small GM,low center of gravity,stiff vessel,large GZ,A,
101,A SOLAS approved immersion suit shall be able to sustain burning or continuous melting after being totally enveloped in a fire for a period of:,2 seconds,4 seconds,5 seconds,6 seconds,A,
102,"A SOLAS approved immersion suit shall be constructed with waterproof materials such that following a jump into the water there is no ingress of water into the suit, from a height of not less than:",4.5 meters,3.5 meters,5.5 meters,6.5 seconds,A,
103,A SOLAS approved life jacket shall not sustain burning or continue melting after being totally enveloped in a fire for a period of:,2 seconds,4 seconds,5 seconds,6 seconds,A,
104,"A SOLAS approved self-activating smoke signals, when floating in calm water, shall emit smoke of a highly visible color at a uniform rate for a period of at least:",15 minutes,10 minutes,20 minutes,25 minutes,A,
105,A solid stream of water might be useful in fighting a burning oil fire on deck when it is used _________.,to wash burning oil over the side,to provide cooling for the firefighters,in conjunction with chemical foam,to cool the main deck,A,
106,A solidifying noxious substance with a melting point of less than 15 degrees Centigrade and a temperature of ________ above its melting point at the time of unloading.,Not less than 5 degrees Centigrade ,Not more than 5 degrees Centigrade ,Not less than 3 degrees Centigrade ,Not more than 3 degrees Centigrade ,A,
107,A source of potential harm or damage or a situation with a potential for harm or damage is called:,hazard,incident,accident,event,A,
108,A squeeze-grip type carbon dioxide portable fire extinguisher has been partially discharged. It should be:,labeled empty and recharged as soon as possible,replaced in its proper location if weight loss is no more than 25%,replaced in its proper location regardless of weight,replaced in its proper location if weight loss is no more than 15%,A,
109,"A standard clause in maritime insurance contracts covering risk of events not directly linked to perils at sea such as, but not necessarily limited to, loading accidents.",Inchmaree Clause,Calvo Clause ,Santa Clause,Jazer Clause,A,
110,A stored-pressure water extinguisher is most effective against fires of class:,A,B,C,D,A,
111,"A strain occurs when a muscle or group of muscles is over- stretched and possibly torn, by violent or sudden movement.  Strain can be caused by lifting heavy weights incorrectly.  The treatment of strain may be remembered as the word RICE.  What does RICE means:","Rest, Ice, Compression, Elevation",Right Internal Cooperative Ending,Real internal compression Eruption,Rigid Internal Cardiac Eruption,A,
112,A stress called compression is being placed on the sheer strakes if the vessel is:,sagging,hogging,under shearing force,inclined,A,
113,A synonym for chloroform is:,trichloromethane,sulfuric chlorohydrin,chlorine gas,methyl phenol,A,
114,A system where spread of disease on board can be controlled is also known as:,isolation,quarantine,contagious,recovery,A,
115,"A systematic application of management system policies, procedures and practices to the task of analyzing, evaluating and controlling environmental risk is called:",Environmental Risk Management,Environmental Aspect,Environmental Safety Procedures,Environmental Rules and Regulations,A,
116,"A tank specifically used for the collection of tank draining, tank washing and other oily mixture is called:",slop tank,ballast tank,cofferdam,void space,A,
117,"A tank vessel with an oil cargo capacity of 5,000 barrels is required by regulations to have a fixed container, or enclosed deck area under or around each oil loading manifold and each oil transfer connection point. The capacity of these containment areas is based upon __________.",inside transfer hose diameter or loading arm nominal pipe size diameter,"number of cargo oil tank vents, overflows and fill pipe connections",cargo oil service pressure,All of the choices,A,
118,"A tanker is loaded with 12,000 barrels of #2 fuel oil. The temperature of the product is 88°F. API gravity is 39°. The volume correction factor (VCF) is 0.0005. The net amount of cargo in gallons, loaded is _________.","496,944","511,056","650,760","669,240",A,
119,"A tanker vessel is loaded with 12,000 barrels of #2 fuel oil. The temperature of the product is 88° F. API gravity is 39°. The volume correction factor (VCF) is 0.0005. The net amount of cargo in barrels, loaded is _________.","11,832","12,006","12,168","11,994",A,
120,A tanker vessel is loading a hazardous cargo. The allowance for expansion is based on ambient temperatures of what maximum range?,-18deg.C to 46deg.C,-10deg.C to 90deg.C,0deg.C to 100deg.C,-40deg.C to 50deg.C,A,
121,"A tanker's mean draft is 32' - 05"". At this draft, the TPI is 178. The mean draft after loading 1,200 tons will be __________.","33' - 00""","33' - 04""","33' - 08""","33' - 11""",A,
122,A term of maximum temperature at which a given gas can be liquefied by pressure i.e.  Tank vessel cargo of ammonia 256 degrees Fahrenheit.,Critical temperature,Flammable pressure,Flammable temperature,Critical pressure,A,
123,"A term that refers to any cargo space in which, after loading and trimming as required under A10.2, the bulk grain is at its highest possible.","Filled compartment, trimmed","Unfilled compartment, trimmed","Unfilled compartment, untrimmed","Filled compartment, untrimmed",A,
124,A term used for draft calculation and correction to determine the quarter mean draft.,Length Between Perpendicular,Density Correction,Non-Cargo Weights correction,Lightship correction,A,
125,A term which indicates the outward curvature of the hull above the waterline is called a/an ________.,flare,camber,thumble home,rake,A,
126,A transverse vertical plate that runs across the bottom of the ship is called:,floor plates,beams,cofferdams,center girders,A,
127,A type of management where shipping business concept having many ships moving at seas and port of the world mainly to avoid losses and maximize earning profits?,Asset Management,Personnel Management,Liability Management,Self Management,A,
128,"A vessel has a displacement of 2,000 tonnes. Find the shift of her center of gravity if a weight of 100 tonnes is shifted 12 meters across a hold.",0.60 m,0.65 m,0.55 m,0.50 m,A,
129,A vessel has been damaged by fire.  The survey showed that the cost of repairs will exceed the value of the repaired vessel.  This is an example of:,a constructive total loss,a salvage loss,an actual loss,a preferred loss,A,
130,"A vessel has what type of stability, when the center of gravity is lower than the metacentric height?",Stable,Neutral stability,Unstable,Negative,A,
131,A vessel having a widely spaced transverse strength members is said to be:,Longitudinally framed vessel,Transversely framed vessel,Intermittently framed vessel,Web framed vessel,A,
132,A vessel is “listed” due to the following conditions?,Inclined due to an off-center weight,Have negative GM,Trimmed by the head,Inclined due to effect of the wind,A,
133,"A vessel is carrying 24,000 barrels of oil for discharge. The cargo hose have an inside diameter of eight inches. The container around each loading manifold must hold:",three barrels,eight barrels,two barrels,one barrel,A,
134,A vessel list and trims from its:,center of flotation,center of gravity,center of buoyancy,center of underwater volume,A,
135,A vessel loads packaged cargoes. The Mate discovers some of the packages have been damaged and put some exceptions on the Bill of Lading. This document is called:,Unclean Bill of Lading,Exceptional Bill of Lading,Approved Bill of Lading,Free Bill of Lading,A,
136,A vessel subject to sagging has what condition?,Bottom plating under tensile stress,Main deck under tensile stress,Transverse bending,Superstructure under tensile stress,A,
137,A vessel to which Annex V to MARPOL 73/78 applies is 24 nautical miles from the nearest land. Which type of garbage is prohibited from being discharged? ,Dunnage,Metal,Crockery,Glass,A,
138,A vessel trimmed down by the bow has:,a greater draft forward than aft,zero trim,a low mean draft,a greater draft aft than forward,A,
139,A vessel under ballast sinks while en route to the drydock.  The owner can claim:,actual total loss,general average,salvage loss,constructive total loss,A,
140,A vessel which has been damaged by fire shows the cost of repairs exceed the value of the repaired vessel.  This is an example of a/an:,constructive total loss,salvage loss,actual total loss,general average,A,
141,A vessel which is required to carry an Oil Record Book must log in the book:,discharge of ballast or cleaning water from fuel tanks,sounding levels of all fuel tanks on a daily basis,the grade and specific gravity of all fuel oil carried,fuel consumption rates on a weekly basis,A,
142,"A vessel with the following corrected drafts:  Fwd 11.2578 m, Aft 11.6587 m and Mid 11.400 m. Find the deflection.",0.0583m hogging,0.5083m hogging,0.0583m sagging,0.5083m sagging,A,
143,"A vessel's corrected draft Fwd 10.5201m, Aft 10.8250m and Mid 10.685m has a deflection of:",0.0125m sagging,0.1205m sagging,0.0125m hogging,0.1205m hogging,A,
144,A vessel's immediate protection in the event of a broken stern tube is a/an___________.,after peak,stern frame,aft collision,aft machinery space,A,
145,A victim has suffered a second-degree burn to a small area of the lower arm. What is the proper treatment for this injury?,"Immerse the arm in cold water for 1 to 2 hours, apply burn ointment, and bandage.","Open any blisters with a sterile needle, apply burn ointment and bandage.","Apply burn ointment, remove any foreign material and insure that nothing is in contact with the burn.","Immerse the arm in cold water for 1 to 2 hours, open any blister and apply burn",A,
146,Abdominal Thrust is the name on a technique which involves applying a series of thrusts to the upper abdomen in an attempt to force air out of a choking casualty's lungs. How to  perform this technique?,Stand behind the casualty. Clench your fist with the thumb inwards in the center of upper abdomen. Grasp your fist with your other hand and pull quickly inwards.,Stand behind the casualty. Clench your fist with the thumb and remove the obstruction and restore normal breathing.,Stand behind the casualty. Clench your fist with the thumb inwards in the center of lower abdomen and pull it quickly inwards.,Stand behind the casualty. Tap the back with open fist.,A,
147,"Aboard ship, vertical flat plates running transversely and connecting the vertical keel and the margin plates are called__________________.",floors,intercostals,girders,stringers,A,
148,Absolute zero on Fahrenheit scale is:,459.67 degree below zero,negative 273.15 Celsius,460 Fahrenheit,any of these,A,
149,"Access to a cargo pumproom on a tank vessel carrying grades A, B, C or D liquid cargoes shall be:",from the open deck,"at least 13.1 feet away from the galleys, living quarters or navigation spaces",only from areas equipped with power ventilation systems,isolated from any part of the vessel which normally contains sources of vapor ignition,A,
150,"According to 46 CFRs, besides analyzing a mariners breath for alcohol, what other specimen would be acceptable for alcohol level testing following a “Serious Marine Incident”?",Saliva,Skin,Hair,Cuticle,A,
151,"According to Annex II of MARPOL 73/78, Liquid Substance are those having a temperature of:",37.8 degrees Centigrade,36.4 degrees Centigrade,37.6 degrees centigrade,38.4degrees centigrade,A,
152,"According to Coast Guard Regulations (46 CFR), a 10 pound dry chemical extinguisher is equivalent to a:",15 pound CO2 fire extinguisher,1 3/4 gallon foam,35 pound CO2 fire extinguisher,12 gallon foam,A,
153,"According to MARPOL 73/78 Annex V, the discharge of plastics into the sea or the navigable waters of the United States is strictly prohibited. Which of the following statements is true concerning the legal disposal of plastics? ",The garbage containing plastics must be either discharged ashore to an approved reception facility or incinerated onboard the ship.,The garbage containing plastics must be incinerated onboard ship. Discharge ashore to an approved reception facility is not permitted.,The garbage containing plastics must be discharged ashore to an approved reception facility. Incineration onboard the ship is not permitted.,The garbage containing plastics must be discharged ashore to an approved plastics recycling facility.,A,
154,"According to MARPOL 73/78 Annex VI regulations, which of the listed substances is prohibited from being burned in a shipboard incinerator? ",Polychlorinated biphenyls (PCBs),Oil residue sludges,Unground garbage,Sewage waste sludges,A,
155,"According to Marpol, ""Crude oil"" means:",any liquid hydrocarbon mixture extracted from the earth whether treated or not to render it suitable for transportation,oil from which certain distillate fractions may have been added,mixture of asphalt and Gasoline,asphalt and base,A,
156,According to SOLAS fire drills to be carried out at intervals of no more than?,One month,One  week,Fortnight,Two months,A,
157,"According to the International Convention for the Safety of Life at Sea (SOLAS), how often are fire and emergency drills to be conducted at sea and in port? ",Weekly,Monthly,Quarterly,As needed,A,
158,"According to the Lifesaving regulations in Subchapter W, fire and abandon ship drills must be held within 24 hours of leaving port if the percentage of the crew that has not participated in drills aboard that particular vessel in the prior month exceeds:",0.25,0.05,0.1,0.4,A,
159,"According to the SOLAS regulations, lifeboat falls must be renewed at intervals of how many years?",5,2.5,3,4,A,
160,"According to U.S. Coast Guard Regulations (46 CFR Part 34), if a fixed foam system is activated aboard a tank vessel, the foam supply must be sufficient to last for a minimum of.",3 minutes,7 minutes,12 minutes,15 minutes,A,
161,Addition of weight to a vessel will always:,reduce reserve buoyancy,increase righting moments,increase GM,all of the above,A,
162,"After conducting a boat drill on a mobile offshore drilling unit, what must the Master or person in charge enter in the logbook?",Any inoperative equipment and the corrective action taken,The name of the lifeboatman in charge of each lifeboat,The location of the vessel at the time of the drill,The time it took to lower the boat,A,
163,"After conducting an abandonment drill, the Master or person in charge of a vessel shall log:",the names of crew members who participated in the drill,the length of time that each motor propelled lifeboat was operated in the drill,the length of time the lifeboat was in the water,the time it took to lower the boat,A,
164,"After grounding, extent of the damage to the ship can be determined by which of the following? ",Sounding of all compartments,Taking sounding around the ship,By checking the loadline,By checking the summer line,A,
165,After jacking down your liftboat you have an unexpected list. You find that the only cause of this list must be a flooded leg. Raising the flooded leg further would adversely affect the boats stability by:,raising the KG and increasing the draft which may put you in an unsafe operating condition,increasing GM and causing a fast roll,increasing the righting arm on the high side,causing the vessel to yaw when underway,A,
166,"After you have checked for open airway, given the first two inflations and checked the pulse to make sure that the heart is beating, what is the rate of inflations given until natural breathing is restored?",12 - 16 times per minute,10 - 12 times per minute,13 - 15 times per minute,15 - 18 times per minute,A,
167,"After you have thrown the liferaft and stowage container into the water, you inflate the liferaft by:",pulling on the painter line,forcing open the container which operates the CO2,hitting the hydrostatic release,using the hand pump provided,A,
168,All compartments of the hull should be opened for survey and testing rotation to insure that the interval between consecutive examination of each period normally allowed by the regulation between special survey.,Continuous Survey,Periodical Survey,Intermediate Survey,Charterers survey,A,
169,All fire hoses on a mobile offshore drilling units must be tested to a pressure of at least.,100 psi,110 psi,120 psi,130 psi,A,
170,"All new personnel joining a vessel (other than passengers) must undergo a safety induction by a responsible officer which must, as a minimum, cover the requirements of the relevant parts of the STCW Code attached to the International Convention on Standards of Training, Certification and Watchkeeping 1978 as amended in 1995 (STCW 95). This training should cover:",All of the choices ,Elementary first aid,Fire Prevention and Fire fighting,Personal survival Techniques,A,
171,"All new tankers of 70,000 DWT and above satisfying the requirements  for SBT under MARPOL 73/78 is designated in the IOPP Certificate as: ",Crude Oil/ Product Carrier,Chemical Tanker,Petro-chemical,Segregated Ballast Tank,A,
172,All of the following are part of the fire triangle EXCEPT:,electricity,fuel,oxygen,heat,A,
