Table 1
FUNCTION 2: CARGO HANDLING AND STOWAGE AT THE DECK OPERATIONAL LEVEL,,,,,,,
No.,Questions,Choice A,Choice B,Choice C,Choice D,Answer,
32,A continuous watertight bulkhead on a vessel is normally also a(n):,structural bulkhead,exterior bulkhead,centerline bulkhead,joiner bulkhead,A,
33,A damaged ship's  bulkhead after takes a permanent set which is dependent of the panting or cause by water pressure To control you should:,install shoring so that it supports the damaged bulkhead without pushing them,install shoring so that it pushes on the damaged bulkhead while supporting it,use jacks or chain falls to remove the set before installing shores,placed sand bag by the bulkhead without installing shores,A,
34,A device commonly used to secure the pendant wire when it is initially passed to an anchor handling vessel is:,pelican hook,connecting link,shackle,retaining hook,A,
35,A floating vessel will behave as if all of its weight is acting downward through the:,center of gravity,center of buoyancy,center of flotation,metacenter,A,
36,A fresh water correction is usually listed on the ships capacity plan. This correction gives the _____.,additional draft that a ship may add to her Plimsoll mark when loading in FW, mean draft at light displacement in FW, difference between SW and FW capacity,none of the choices,A,
37,A gas or mixture of gases incapable of supporting combustion is,inert gas, gas vapor,fumes,oxygen,A,
38,A girder that is non-continuous is called _________,intercostal girder,vertical floors,center girder,intracoastal girder,A,
39,"A grade ""E"" combustible liquid is one having a flash point  of 150deg.F or above.  An example of a grade ""E"" product is:",engine lubricating oil,gasoline,alcohol,diesel oil,A,
40,A health hazard term listed on a Material Safety Data Sheet (MSDS) that indicates allergic-like reaction in some people after repeated exposure is __________. ,sensitizer,pyrophoric hazard,oxidizer,skin contact hazard,A,
41,A high cube container is designed specifically to:,carry low density cargoes,carry cargoes of very low stowage factors,protect fragile cargoes,tow cargoes with concentrated weights such as machinery,A,
42,"A hygroscopic cargo is defined as a cargo: ",capable of absorbing moisture in the form of a gas,capable of giving off moisture in the form of a liquid,that is shipped in a liquid state,that will ignite in contact with water,A,
43,A kind of shipboard handling system which can be deck mounted or suspended from a shore-mounted structure. They consist of a set of digging buckets. The cargo is fed to a conveyor which dumps it into a transverse conveyor which deposit it ashore., Bucket wheel unloaders,Continuous bucket unloaders,Chain unloaders, Belt unloading system,A,
44,A large heavy beam of timber - hewn or sawn.,Baulks,Laths,Flooring,Deals,A,
45,"A large shipment of case goods must be loaded as much as possible into a hold which has 24,400 cubic feet of space. Each case measures 2 feet by 2 feet by 4 feet and weighs 448 pounds. How many long tons can be loaded if you allow for broken stowage of 15%?",259,207,351,54,A,
46,A line that is 75 mm below the bulkhead deck at the side is known as ___________.,margin line,deck line,stringer line,deck datum,A,
47,A lining inserted in machinery and in sheaves of blocks to reduce friction and take wear that would otherwise come on member around with a particular item revolves.,Bush,Bose,Buss,Bust,A,
48,"A liquid mud tank measures 30 ft. long, 15 ft. wide, 6 ft. deep. The vessel displaces 968 tons. The specific gravity of the mud is 1.8, What is the reduction in GM if two of these tank are slack?",0.87 ft.,0.19 ft.,0.43 ft.,0.64 ft.,A,
49,A load line for a vessel is assigned by the:,A recognized classification society approved by the Coast Guard,Minerals Management Service,Department of Energy,Corps of Engineers,A,
50,"A log which is ""slab-cut"" or ripped lengthwise so that the resulting thick pieces have two opposing, parallel flat sides are called:",cant,poles,pulpwood,lumber,A,
51,A long ton is:,"2,240 pounds","1,000 pounds","2,000 pounds","2,400 pounds",A,
52,A metal ring on the bottom of a block to which the standing part of a tackle is sliced is known as a/an ______.,Becket,Loop,Swivel,Eye,A,
53,A method of estimating longitudinal bending moments.,Murray's method,bonjean curve method,cross curve of bending stress,load and buoyancy method,A,
54,"A moment of 300 ft-tons is created by a force of 15,000 tons. What is the moment arm?",0.02 foot,50.00 feet,25.00 feet,0.04 foot,A,
55,A negative metacentric height:,should always be immediately corrected,will always cause a vessel to capsize,always results from off-center weights,all of the above are correct,A,
56,A neutral equilibrium position for a vessel means that the metacenter is:,at the same height as the center of gravity,lower than the keel,exactly at midships,at the center of the water plane area,A,
57,"A non-combustible material is a material which neither burns nor gives off flammable vapors in sufficient quantity for self-ignition when heated to approximately __________ ºC, this being determined in accordance with Fire Test Procedure Code.",750deg.C,650deg.C,550deg.C,800deg.C,A,
58,"A noxious liquid substance which, if discharged into the sea from tank cleaning or deballasting operations, are deemed to present a minor hazard to either marine resources or human health. What is this category?",Category Z,Category A,Category X,Category Y,A,
59,"A nylon line is rated at 15,000 lbs. breaking strain. Using a safety factor of 5, what is the safe working load (SWL)? ","3,000 lbs","5,000 lbs","15,000 lbs","65,000 lbs",A,
60,A permanent installation in a shipyard which is a basin with walls and a floor which vessel maybe floated:,graving dock,marine railways,slip ways,floating caissons,A,
61,A petroleum liquid has a flash point of 85° F. This liquid is classed as a grade:,low flammable liquid,"""D"" combustible liquid",a combustible liquid,high flammable liquid,A,
62,A Plan showing the location of cargoes stowed inside the hold:,stowage plan,loading plan,discharging plan,general arrangement plan,A,
63,A plank weighs 62 kilograms. What will be the shift of its center of gravity if weight of 38 kilograms is placed on it at a distance of 400 cm from its original center of gravity?, 152 cm,132 cm,142 cm,162 cm,A,
64,A prototype of each pressure or vacuum or pressure/vacuum venting device should be _________ tested for venting capacity by a test method acceptable to the Administration.,bench,bench,vents,self,A,
65,A relief valve for a cargo pump is generally installed _____.,Between the pump and discharge valve,After the discharge valve,Between the pump and the suction valve,After the suction valve,A,
66,"A reproductive health hazard, listed on a Material Safety Data Sheet (MSDS), that can cause genetic changes in sperm or egg cells is called a __________. ",mutagen,carcinogen,teratogen,cryogenic,A,
67,A responsible officer should be appointed to maintain appropriate records and to ensure that ballast water management and/or treatment procedures are followed and:,recorded,trained,reported,listed,A,
68,A rope made of a combination of wire and fiber is known as:,Spring lay,Lang lay, Independent,Preformed,A,
69,"A ship displaces 25,000 m3 of water of density 1025 kg/m3. Find the density of the water in which she would displace a volume of 25,123 m3.",1.020,1.015,1.010,1.005,A,
70,"A ship has a displacement of 10,000 tons. Calculate the shift of G if a weight of 1,000 tons is removed from a point 60 meters from the original center of gravity?",6.0 m,5.0 m,4.0 m,3.0 m,A,
71,"A ship has a displacement of 10,400 tonnes, KG 8.05 m and KM 9.00 m. A weight of 82 tonnes in the lower hold (KG 2.5 m), is lifted by the ship's heavy lift derrick, the head of which is 25 m above the keel. Calculate the GM when the weight is restowed in the tween deck at KG 8.12 m.",0.906 m,0.773 m,0.732 m,0.814 m,A,
72,"A ship has a displacement of 10,400 tonnes, KG 8.05 m and KM 9.00 m. A weight of 82 tonnes in the lower hold (KG 2.5 m), is lifted by the ship's heavy lift derrick, the head of which is 25 m above the keel. Calculate the GM when the weight is suspended.",0.773 m,0.906 m,0.732 m,0.814 m,A,
73,"A ship has a displacement of 7,000 tonnes and VCG of 6 meters. A heavy cargo in the lower hold has a VCG of 3 meters and weighs 50 tonnes. Find the new VCG when this weight is raised through 0.3 meters vertically and is suspended by the derrick whose head is 17 meters above the keel.",6.10 meters,5.92 meters,5.97 meters,5.99 meters,A,
74,"A ship has a fresh water allowance of 175 mm. To what depth could she submerge her loadline when loading in dock water of density 1,011 kg/m³?",98 mm,108 mm,78 mm,88 mm,A,
75,"A ship has load displacement of 5,400 tonnes, TPC = 30 tonnes.  If she loads to the Summer load line in dock water of density 1,010 kg per m3, find the change in draft on entering salt water of density 1025 kg m3.",27 mm,20 mm,35 mm,30 mm,A,
76,"A ship heels 3 degrees as it makes a turn. If the draft when upright is 4.85 m, calculate the draft when heeled given that the breadth is 10 m.",5.105 m,5.112 m,5.010 m,5.510 m,A,
77,"A ship heels 7 degrees as it makes a turn. If the draft when upright is 6.23 m, calculate the draft when heeled given that the breadth is 16 m.",7.159 m,7.212 m,7.205 m,7.113 m,A,
78,"A ship is floating at 8 meters mean draft in dock water of relative density 1.010.  TPC = 15 tonnes, and FWA = 150 mm.  The maximum permissible draft in salt water is 8.1 m.  Find the amount of cargo yet to load.",285 tonnes,280 tonnes,290 tonnes,295 tonnes,A,
79,"A ship is inclined by moving a weight of 30 tons a distance of 30 ft. from the centerline. A 28-foot pendulum shows a deflection of 12 inches. Displacement including weight moved is 4,000 tons. KM is 27.64 ft. What is the KG?",21.34 ft.,22.06 ft.,22.76 ft.,23.21 ft.,A,
80,A ship LBP 150 m floats at drafts 4.80 m F and 6.10 m A and has LCF 72 m FOAP. Calculate the true mean draft.,5.476 m,5.450 m,5.424 m,5.746 m,A,
81,"A ship loads in fresh water to her salt water marks and proceeds along a river to a second port consuming 20 tonnes of bunkers.  At the second port, where the density is 1,016 kg per cubic meter, after 120 tonnes of cargo have been loaded, the ship is again at the load salt water marks.  Find the ship's load displacement in salt water.","6,406.25 tonnes","6,481.36 tonnes",". 6,452.12 tonnes","6,512.55 tonnes",A,
82,"A ship of 10,000 tons displacement has a GM of 0.5m, Calculate the moment of statical stability when the ship is heeled 7°45.", 674.5 ton-meters,724.5 ton-meters,653.7 ton-meters,714.5 ton-meters,A,
83,"A ship of 10,500 tons displacement has GM of 2 feet. A quantity of deck cargo is lost 40 feet from the centerline. If the resulting list is 5° to port, how many tons of cargo were lost?",46 tons,45 tons,47 tons,44 tons,A,
84,"A ship of 12,000 tonnes displacement is heeled 6.5º, the Moment of Statical Stability is 600 tonnes-m.  Find the initial metacentric height.",44 cm, 0.54 m,54 cm ,0.64 m,A,
85,"A ship of 6,000 tonnes displacement has KM=7.3 m and KG=6.7 m, and is floating upright. A weight of 60 tonnes already on board is shifted 12m transversely. Find the resultant list.",11.3°,11.1°,10.9°,11.5°,A,
86,A ship of 780 tons displacement has a 15 m x 13 m x 20 m center tank partially filled with oil having a relative density of 0.87.  Find the virtual loss in GM that will be caused by this slack tank when this vessel rolls at sea., 0.29m, 0.09m,0.49m,0.52m,A,
87,"A ship of 8,000 tonnes displacement has KM=7.0 m and KG=6.4 m, and is floating upright. A weight of 50 tonnes already on board is shifted 15m transversely. Find the resultant list.",8.9°,8.7°,8.5°,9.1°,A,
88,A ship progressive flooding may be indicated.,a continual worsening of list or trim,excessive draft,ballast control alarms,excessive list or trim,A,
89,"A ship that is experiencing strong wind on the port beam, this has the same effect on the stability as:",weight that is off center to starboard,increasing the draft,reducing the freeboard,increasing the trim,A,
90,A shipboard oil pollution emergency plan (SOPEP) is required to which of the following?,"an oil tanker of 150 gross tons or above, or other ship of 400 gross tons or above","all vessels, regardless of size and commercial application ",any barge or other ship which is constructed or operated in such a manner that no oil in any form can be carried aboard,"an oil tanker of 400 gross tons and above, or other ships of 150 gross tons and above",A,
91,"A ship's previous trim was 45 cm. by the head. If the MTC is 135-tonnes-meter and the LCF is amidship, how many tons should be loaded in the position 40 meters aft of amidship to end up at even keel.",152,5400,6075,135,A,
92,A short length of chain cable between anchor and windlass.,ganger,ginger,gaff,panama lead,A,
93,A shroud is:," A heavy wire extending from the mast, athwartships to support the mast",A heavy wire extending from the trunk of the mast to the head of the boom,A wire running fore and aft of the vessel, Any wire with fiber core,A,
94,"A simplistic, but convenient, way of considering the effect of the moment of inertia of the vessel's waterplane area is to consider that ________________",it gives a ship resistance to heeling,"the larger the waterplane area, the ship easily heels",increasing displacement gives ships more resistance to heel,none of the choices,A,
95,"A single undivided and unobstructed rectangular tank, divided into three linked chambers. Other arrangement includes perforated longitudinal bulkheads that restrict the flow of water from one side to the other.",flume tank,active tanks,anti-rolling tanks,top side tanks,A,
96,A sling is a device used in:,hoisting cargo on board ,hoisting personnel on board,lifting anchor,securing the lifeboat in its cradle,A,
97,A snatch block is a:,hinged block,block used only with manila rope,chock roller,"strong block used for short, sharp pulls",A,
98,A space should be ventilated when ______.,The cargo temperature is colder than the dew point of the air in the space,The cargo temperature is warmer than the dew point of the air in the space,The dew point of the air in the space is higher than that of the outside air,All choices,A,
99,"A specific document which identifies a chemical, and lists its physical properties, health hazards, required controls, firefighting procedures, cleanup methods, waste disposal, and the safe handling and storage requirements, is commonly called a __________. ",Material safety Data Sheet,Hazardous Chemical Information Sheet,Hazardous Chemical Loading Document,Physical/Chemical Characteristics Document,A,
100,A structurally serviceable freight container loaded with Class 1 explosive materials cannot have a major defect in its strength components. Which of the following would make a container non-serviceable?,"Dents or bends in the structural members greater than 0.75"" in depth regardless of length","Dents or bends in the structural members less than 0.75"" in depth regardless of length","Dents or bends in the structural members less than 0.075"" in depth regardless of length","Dents or bends in the structural members greater than 0.075"" in depth regardless of length",A,
101,"A tank 13 x 13 x 3 meters is filled with water to a depth of 5 feet. A bulkhead is placed in the center of the tank running fore and aft along the 13 meter axis, how will the value of the moment of inertia of free surface be affected?",the moment of inertia would be ½ of the original value,the moment of inertia would be unchanged,the moment of inertia will increase by 1/3 its original value,the moment of inertia will be ¼ of its original value,A,
102,"A tank that is not permanently secured on board a vessel, having a capacity of more than 450 liters, and a shell fitted with a stabilizing members and items of service equipment necessary for the transport of gases, liquids or solids are called ____________?",portable tank,Potable tank,portalet tank,prismatic tank,A,
103,"A tanker is loaded with 12,000 barrels of #2 fuel oil. The temperature of the product is 88°F. API gravity is 39°. The volume correction factor (VCF) is 0.0005. The net amount of cargo in barrels, loaded is _________.","11,832","12,006","12,168","11,994",A,
104,"A tanker is loaded with 12,000 barrels of #2 fuel oil. The temperature of the product is 88°F. API gravity is 39°. The volume correction factor (VCF) is 0.0005. The net amount of cargo in gallons, loaded is _________.","496,944","511,056","650,760","669,240",A,
105,A term applies to the bottom shell plating in a double bottom ship is _______.,Outer bottom,Bottom floor,Shear plating,Tank top,A,
106,"A term that refers to any cargo space in which, after loading and trimming as required under A10.2, the bulk grain is at its highest possible.","Filled compartment, trimmed","Unfilled compartment, trimmed","Filled compartment, untrimmed","Unfilled compartment, untrimmed",A,
107,"A vehicle with  wheels and fitted with a tank or tanks intended for the transport of gasses, liquids or solids by both road or sea modes.",road tank vehicle,road tank turtle vehicle,road tanker vessel,road top vehicle,A,
108,"A vertical division of a vessel, used as a part of the indication of a stowage place for containers.",Bay,Tier,Row,Column,A,
109,A vessel 130 meters long loaded a weight and produce 24 centimeters change of trim. What will be the change of draft aft if the LCF is located 5 meters aft of amidship?,11.10 cms,12.00 cms,12.90 cms,10 cms,A,
110,"A vessel after letting go all the lines suddenly listed to either port or starboard, what could be the caused of this list?",negative metacentric height,off center weight,positive metacentric height,weight concentrated in lower holds,A,
111,"A vessel carries three slack tanks of gasoline (SG 0.68). The vessel's displacement 8,000 tons. Each tank is 50 ft. long and 20 ft. wide. What is the reduction in GM due to free surface with the vessel floating in sea water (SG 1.026)?",0.24 ft.,0.28 ft.,0.30 ft.,0.20 ft.,A,
112,A vessel continually list one side and has a normal rolling period. Which statement is TRUE?,The vessel has asymmetrical weight distribution,The center of gravity is on center line,The vessel has a negative GM,The list can be corrected by reducing the KM,A,
113,"A vessel displaces 8,800 tonnes, KG 7.02 m, KM 7.98 m. A weight of 50 tonnes is to be loaded from the quay 18 m to starboard of the ship's centerline. If the head of the derrick is 27 m above the keel when topped to it's maximum extent for the lifting operation, calculate the GM when the weight is suspended.",0.847 m,0.846 m,0.865 m,0.874 m,A,
114,"A vessel floating at her draft displaces 8,500 tonnes of seawater. The lightship KG is 12 meters above the keel. A total of 350 tons of cargo will be loaded 15 meters above the keel. What will be the new KG?",12.13 m,15.20 m,13.15 m,12.84 m,A,
115,"A vessel floats with drafts 7.25 m F and 8.67 m A. Find the final draft Forward and Aft, if ballast water, of unknown amount, will be loaded into a forward tank (LCG 175 m FOAP) in order to bring the vessel to an even keel. LBP 192 m, TPC 36, MCTC 272 and LCF 96 m FOAP.",8.096 m F & 8.096 m A,7.386 m F & 7.386 m A,7.96 m F & 7.96 m A,8.093 m F & 8.093 m A,A,
116,A vessel going from salt water to fresh water would ______., Decrease her freeboard,Decrease her draft,Increase her freeboard,Remains the same,A,
117,"A vessel has a displacement of 8,333 tonnes and a KM of 9.15 m. In its present loaded condition the KG is 7.28 m. Calculate the moment of statical stability if the ship is heeled by 8 degrees.","2,167 tonne-meter","8,443 tonne-meter","1,437 tonne-meter","2,617 tonne-meter",A,
118,"A vessel has a fore and aft draft of 28' - 00"" and MTI of 1700 ft.-tons. 250 tons of water is pumped from the forepeak into the after peak a distance of 574 feet. What will be her draft after pumping is completed?","24' - 05.8"" fwd and 31' - 06.2"" aft","24' - 05.8"" fwd and 24' - 05.8"" aft","31' - 06.2"" fwd and 31' - 06.2"" aft","20' - 11.8"" fwd and 31' - 06.2"" aft",A,
119,A vessel has a TPI of 40 tons and an MTI of 700 ft-tons. 20 tons were loaded 30 ft. forward of tipping center and 100 tons were loaded 20 ft. aft tipping center. Calculate the change of trim.,"2""","3""","4""","5""",A,
120,A vessel has an amidships superstructure.  Which location would be most suitable for on-deck stowage of automobiles?,On top of the hatch immediately aft of the midships house,On top of #1 hatch,On top of the hatch immediately forward of the midships house,"Beside the hatches, forward of the midships house",A,
121,"A vessel has an initial mean draft and TPC of 4.85 m of 31.33 tonnes, respectively. Find the required cargo to complete loading with a draft of 7.25 m, TPC = 33.62 tonnes.","7,794 tonnes","7,519 tonnes","8,069 tonnes","lacking in given, can't be solved",A,
122,"A vessel having a negative GM, the center of buoyancy will move sufficiently outboard to attain a new position vertically below G then the capsizing lever will disappear. What will happen next?",the ship will come to rest at the angle of loll,the ship will capsize because the WPA becomes less,the ship will heel further until deck edge immersion,All the choices,A,
123,"A vessel in a certain draft condition has a block coefficient of 0.77,  k is equal to 30, breadth of the vessel is 60 feet and TPI of 50.  Solve MTI.","1,250.0 foot-tons/inch",250.0 foot-tons/inch,32.0 foot-tons/inch,125.0 foot-tons/inch,A,
124,A vessel is 126 m in length floating at drafts of 5.5 m F and 6.5 m A. Her center of flotation is 3 m aft of amidships. MCT 1cm = 240 tonnes m. Displacement = 6000 tonnes. Change of Trim = 22.5 cm by the head while the change of draft forward is 11.8 cm. Find the draft aft if a weight of 120 tonnes already on board is shifted forward a distance of 45 meters.,6.393 m,5.618 m,5.322 m,6.275 m,A,
125,A vessel is floating at draft 8.70 meters aft and 6.25 meters forward. A weight of 110 tons is loaded on the upper deck just above the LCF. What will be the new drafts forward and aft if the TPC is 18 tons.,8.70 aft and 6.31 fwd,8.76 aft and 6.18 fwd,8.64 aft and 6.19 fwd,8.90 aft and 6.50 fwd,A,
126,"A vessel is floating in water of density of 1020, her displacement is 6,249 tons, GM of 2.2 feet.  Find her moment of statical stability at an angle of heel of 9°.","2,150 foot-tons","2,184 foot-tons","12,148 foot-tons","121,480 foot-tons ",A,
127,"A vessel is holed in cargo hold no.1 and partially flooded. The hole is plugged against further flooding. In calculating for the effect of flooding on your transverse stability, you should use which method?",added weight method,lost of buoyancy method,factor of subdivision method,compartment standard method,A,
128,"A vessel is proceeding from a very cold climate to a warm climate. With a cargo of non-hygroscopic nature, which of the following is CORRECT?",There is danger of heavy cargo sweat if outside air is introduced by ventilation,Danger of heavy ship sweat exists. Constant and vigorous ventilation is required,There is little danger of ship's sweat; slight possibility of cargo sweat,The possibility of any ship or cargo sweat is remote,A,
129,A vessel is steaming near the coast of West Africa when it was accidentally grounded due to an error in navigation. This is known as _______.,Stranding,Grounding,Beaching,Ditching,A,
130,"A vessel loaded with steel coils is coming from Panama to Vancouver. On passing North California, the holds were ventilated. What happens to the cargo?",no sweat will occur,sweat will form,steel gets rusty,condensation will form,A,
131,A vessel measuring 128 feet long by 21 feet wide has a draft of 7 feet 06 inches has a rolling period of 6 seconds. What is the GM?,2.35 feet,2.55 feet,2.74 feet,1.56 feet,A,
132,A vessel not having on board a document of authorization issued in accordance with part A3 of the International Grain Code may be permitted to load bulk grain provided that the total weight of the bulk grain shall not exceed:,One-third of the deadweight of the ship,One-fourth of the deadweight of the ship,One-half of the deadweight of the ship,One-fifth of the deadweight of the ship,A,
133,"A vessel that displaces 28,500 tons has a KG of 30 ft., 1,550 tons are discharged with a center of gravity of 12 ft. above the keel. What would be the new center of gravity?",31 ft. ,32 ft.,29 ft.,30 ft.,A,
134,A vessel which is heeled to an angle of 12 degrees could find itself in a very _______ position.,Perilous,Safe,Upright,Seaworthy,A,
135,"A vessel will load 20 piles of wood. Each pile is 6 feet high, breadth is 6 feet and length is 10 feet. This is equal to how many board feet?","86,400","88,600","8,800",600,A,
136,"A vessel with a FWA 300 mms has a draft of 6.80 m in density 1,025 kgs./m³. Find its approximate draft when docking to a berth of density 1.008 kgs/m³?",7.004 m,6.596 m,19.4 cms.,204 mms,A,
137,"A vessel with displacement of 10,555 tons, length of 120 meters and breadth of 16 meters and floating in a water of density 1.020 tonnes/cubic meter. Calculate for her draft",7.00 meters,7.10 meters,6.80 meters,6.90 meters,A,
138,A vessel with the TCG off the longitudinal centerline inclines to an angle of:,list,heel,trim,loll,A,
139,A vessel's tropical load line is 6 inches above her summer load line. Her TPI is 127 tons. She will arrive in the summer zone 8 days after her departure. She will burn off about 47 tons/day and water consumption is 12 tons/day. How many tons may she load above her summer load line if she loads on the tropical zone?,472 tons,28.8 tons,20.5 tons,10.5 tons,A,
140,A void or empty space between two bulkheads or floors which prevents leakage from one to the other is called a:,cofferdam,break,bracket,double hull,A,
141,A wire rope that deck beam and the side frames are known as:,A decrease in diameter where the strain occurred,A kink in the wire where the strain occurred,No visible effects of an overstrain,A bulge in the wire where the strain occurred,A,
142,A wooden blocks or dunnage place between a deck load and the deck.,Cribbing,Shoring,Lashing,Tomming,A,
143,"Aboard ship, vertical flat plates running transversely and connecting the vertical keel to the margin plates are called:",floors, intercoastals, girders,stringers,A,
144,About  how many degrees does the optimum lashing angle against tipping it?,45-60 degrees,55-70 degrees,60-75 degrees,30-45 degrees,A,
145,Absolute zero on Fahrenheit scale is:,459.67 degree below zero,negative 273.15 Celsius,any of the choices,460 Fahrenheit,A,
146,"According to IMO rules, every oil carrier must have a certain segregated ballast capacity to fulfill, what?",Enough capacity to secure a certain draft.,To keep 20% of dead-weight capacity.,To the terminals specification.,According to the ship owners recommendations.,A,
