FUNCTION 1: MARINE ENGINEERING AT THE ENGINE  OPERATIONAL LEVEL,,,,,,
No.,Questions,Choice A,Choice B,Choice C,Choice D,Answer
29,"A diesel generator has just been paralleled with an AC turbo generator, but the load can not be properly divided. This could be caused by __________.",an incorrect diesel generator governor speed droop  adjustment,a faulty reverse power relay within the main circuit breaker assembly,unsynchronized isochronous load distribution adjustments,a different speed setting on each unit,A
30,"A failure to any component of a flame safeguard control for an automatically fired auxiliary boiler, will result in __________.",the prevention of automatic restart,an immediate furnace explosion,uncontrolled firing,automatic restart,A
31,A faulty injector in one cylinder of an operating diesel engine can be located by __________.,cutting out individual injectors and noting engine   performance,checking lube oil temperature,checking cam position,using a timing light,A
32,"A flame scanner installed in modern boiler combustion control systems, functions to __________.",monitor the intensity of the burner flame,monitor the stack for soot fires,regulate burner fuel oil pressure,regulate the air flow to the furnace,A
33,A flexible coupling is located between the __________.,engine and the pinion,line shaft and tailshaft,pinion and the bull gear,thrust bearing and the worm gear,A
34,A fluctuating and unsteady vacuum in an evaporator may be caused by __________.,wet steam entering the air ejector nozzle,pinhole leaks in the evaporator tube nests,rapid scaling on the evaporator tube nests,high water levels in the last effect,A
35,A fluid power system shall be so designed __________.,that proper functioning of any unit shall not be affected by the back pressure in the system,to maintain a back pressure throughout the power cylinders  operating range,such that the operation of any unit in the system will provide for sufficient back pressure,none of the above are correct,A
36,A heavy accumulation of soot on the fireside of the superheater can cause a __________.,low superheater outlet temperature because of the insulating effect of soot,high superheater outlet temperature because of reduced steam flow,high superheater inlet temperature because of decreased heat transfer,high superheater outlet temperature because of gas laning,A
37,"A hole should be made in the sagged tube occurring in a water-tube boiler, prior to plugging the tube to prevent a  __________.",pressure buildup in the tube,quick burnout of the tube,complete sagging failure of the tube,crack failure of the tube,A
38,A knocking sound from unloaded air compressor is probably caused by____________.,damaged intake valves,excessively tight mounting bolts,insufficient cylinder lubrication,a loose piston,A
39,A leaking steam trap located in the return lines from a heating system is indicated by excessive __________.,drain tank steaming,scale returning from the convectors,steam pressure in the convectors,water in the heating system,A
40,A liquid indicator sight glass is useful in determining whether or not a refrigeration system is sufficiently charged.  It is generally located in the __________.,high pressure liquid line,low pressure liquid line,high pressure vapor line,low pressure vapor line,A
41,"A liquid is being transferred by a centrifugal pump.  As the liquid passes through the volute, its velocity decreases and __________.",its pressure increases,its pressure decreases,the potential energy decreases,the kinetic energy increases,A
42,A lube oil sample is taken from the main engine lube oil system and visually inspected.  Which of the following would indicate water contamination?,A milky-white color,"A clear, amber color",A black color,A reddish-orange color,A
43,A multi-orifice fuel injection nozzle is usually used with  which of the listed types of combustion chamber?,Open combustion chamber,Pre-combustion chamber,Turbulence chamber,Energy cell,A
44,A naturally aspirated diesel engine at full throttle will have an intake manifold pressure                          .,slightly less than atmospheric pressure,approximately equal to exhaust manifold pressure at all  times,that is widely fluctuating,constantly decreasing as engine load increases,A
45,A photoelectric cell installed in an automatically fired auxiliary boiler burner management system __________.,opens the burner circuit upon sensing a flame failure,detects a flame failure by monitoring radiant heat from glowing refractory,requires mechanical linkage to secure the burner fuel supply,must be bypassed at low firing rates,A
46,A pneumatic pressure tank is installed in a sanitary system to __________.,reduce excessive cycling of the sanitary pump,prevent the sanitary pump from losing suction,provide a higher pressure in the system then the pump can deliver,increase water flow through the system,A
47,A practical consideration to allow for when operating a boiler at low load with regard to heat absorption is the requirement to __________.,maintain uptake gas temperature above the dew point,maintain an excess of CO,protect the safety valves from excessive temperature,prevent excess air density,A
48,A pyrometer is an instrument used to measure the temperature of the diesel engine __________.,exhaust,fuel oil,cooling water,cylinder liner,A
49,A rapid fluctuation of the superheater outlet temperature on a steady steaming boiler could indicate __________.,water carryover into the superheater,excessive steam flow through the superheater,leaks in the superheater element,failure of the internal auxiliary desuperheater,A
50,A refrigerant with oil in solution has a __________.,higher boiling temperature for a given pressure than does a pure refrigerant,lower boiling temperature for a given pressure than does a  pure refrigerant,boiling pressure equal to that of a pure refrigerant at a given pressure,boiling point will not be affected by entrained oil,A
51,A restricted air intake to a diesel engine may result in the engine __________.,failing to reach rated speed,knocking under maximum load,hunting or surging under light load,over speeding and running away,A
52,A safety cover differs from other diesel engine access doors in that it is fitted with a __________.,spring-loaded pressure plate,handwheel,nut-operated clamp,large gasket,A
53,A safety crankcase cover differs from other diesel engine access doors in that it is fitted with a __________.,spring-loaded pressure plate,handwheel,nut-operated clamp,large gasket,A
54,A SECONDARY function of a waste heat boiler is to __________.,reduce engine exhaust noise,reduce engine back pressure,increase engine brake horsepower,increase turbocharger efficiency,A
55,"A sequential lift, nozzle valve control bar utilizes which  of the following operating principles?",A lifting beam mechanism engages valve stems of varying lengths.,A hydraulic piston raises or lowers groups of valves according to pressure received from a governor.,A hydraulic piston raises or lowers individual valves according to pressure received from a governor.,"A servomotor, mechanically connected to nozzle valve handwheels, opens or closes the valves in accordance with the type of electrical signal received.",A
56,"A six-cylinder, four-stroke/cycle diesel engine is fitted with a rotary distributor type air starting system. The speed of the rotating distributor disc is __________.",one-half engine speed,the same as engine speed,twice engine speed,four times engine speed,A
57,A small obstruction at the thermostatic expansion valve inlet will result in which of the following conditions?,Suction pressure fluctuation.,Hunting as indicated by fluctuations of the discharge pressure.,Expansion valves are designed to pass small foreign particles so no adverse condition will occur.,Ice is the sole cause of this and will soon melt due to superheat; no adverse condition will occur.,A
58,A sodium sulfite test is performed on a boiler water sample to determine if __________.,there is any excess sulfite present,the pH of the boiler water is within the prescribed limits,the dissolved oxygen in the boiler water is within  tolerable limits,the hardness factor is maintained as close to zero as possible,A
59,A squealing sound from an operating reciprocating air compressor would indicate _________,loose drive belts,badly leaking valves,compressor interstage leakage,tight drive belts,A
60,A substantial increase in crankcase pressure could be an indication of a/an __________.,worn cylinder liner,faulty cylinder relief valve,excessive lube oil pressure,excessive scavenge air pressure,A
61,A sudden power loss from a turbocharged and after cooled diesel engine is an indication of a/an __________.,turbocharger malfunction or failure,crankcase exhauster overload,overload on the intercooler,obstruction in the engine cylinders,A
62,A water jacket is placed around the exhaust manifolds of propulsion diesel engines to      __________.,reduce heat radiation to the engine room,aid in preventing turbocharger overheating,condense and drain moisture from exhaust gases,dampen exhaust gas pulsations in the manifold,A
63,Additional explosion relief valves are fitted on separate spaces of the crankcase such as gear or chain cases for  camshaft or similar drives when the                      .,gross volume of such spaces exceeds 21 cubic feet,possibility of explosion exists due to the formation of  volatile gases,unit is operating in extreme overload conditions,overall volume of the space exceeds 0.6 cubic meters,A
64,"After a normal, or safety shutdown, automatic combustion control systems for an auxiliary boiler are designed to  prevent the immediate refiring of a burner in order for the
                                    .",furnace to be repurged,electric charge to buildup in the igniter,fuel pump to restart,drum level to stabilize,A
65,"An acceptable method of measuring for the correct rotational force applied to the connecting rod and main bearing bolts, is to use a__________.",torque wrench,monkey wrench,pipe wrench,slugging wrench,A
66,An accumulation of carbon on one of its thermocouples of an exhaust gas pyrometer will __________.,read low for that location due to the insulation effect of the deposits,read high for that location due to the hot spots formed by the deposits,fluctuate due to the conductance of carbon,respond quickly to temperature changes,A
67,An aftercooler installed between the turbocharger and the cylinder air inlet  __________.,increases the density of the air,decreases the density of the air,increases the specific heat of the air,decreases the specific heat of the exhaust,A
68,"An auxiliary boiler is equipped with a return flow fuel  atomization system, which uses a/an                            .",constant fuel supply pressure,constant fuel return pressure,variable fuel supply pressure,all of the above,A
69,"An examination of the piston compression rings of an  efficiently operating diesel engine, should appear with a __________.","shiny face and bottom, black back and top","shiny face, black top, back and bottom","shiny face, bottom, back and top","black face, bottom, back and top",A
70,An indication of microbial contamination is              .,stripping of paint in tanks,reduced corrosion in fuel tanks,usually discovered during normally scheduled strainer cleaning,yellow slime or fibrous sludge,A
71,"An operating diesel engine that suddenly loses power, is due to a/an __________.",restricted turbocharger air intake,oil leak into the turbocharger,dribbling injector,low fuel viscosity,A
72,"Automatic burner shutdown in an auxiliary boiler, as a  result of a component failure in the flame safeguard  controls, will
                                  .",prevent the boiler from automatically relighting,eliminate the need for furnace purging,cause automatic restart after a purge period,cause an explosion in the boiler furnace,A
73,"Before an auxiliary boiler is shutdown for an extended  period of time, the water in the boiler should have a pH value of
                           .",10,7,4,1,A
74,"Before shutting off the fuel supply to stop a medium or  high- speed diesel engine, why is it necessary to allow the engine to idle for a few minutes?",To prevent internal damage from local overheating.,To ensure the fuel nozzles are flushed clean.,To clear the smoke stack.,To let the waste heat boiler reduce it's rate of steam generation.,A
75,"Bottom blow valves are installed on auxiliary water-tube boilers to
                              .",remove suspended and precipitated solids from the boiler water,completely drain the boiler in an emergency situation,prevent hardened scale deposits in the water drum,remove floating impurities from the oiler water surface,A
76,Burner ignition failure in an automatically fired auxiliary boiler would be caused by                          .,a burned out solenoid in the oil supply valve,high temperature excess air,incorrectly setting the hotwell dump valve,an incorrectly positioned burner snubber relay,A
77,Closing of solenoids valve will stop compressor through the:,low pressure cut out switch,by pass relief valve,high pressure cut out switch,low water-pressure cut out switch,A
78,Cold clearances between the skirt of an aluminum piston and the cylinder liner is about__________.,twice as large as with a cast iron piston,the same size as with a cast iron piston,half as large as with a cast iron piston,the same size as the crown of an aluminum piston,A
79,Combustion knock will most likely occur as a result of using a fuel with __________.,low ignition quality,a high volatility,low ignition delay,a high cetane number,A
80,"Compared to other fuel injection systems, unit injectors operate with virtually no __________.",injection lag,ignition delay,moving parts,requirement for timing adjustments,A
81,Compensating needle valve adjustments to a hydraulic governor should be made with the engine __________.,running at normal operating temperature without load,running at half speed and at normal temperature,running at maximum power and load under normal conditions,developing maximum power at normal load,A
82,"Considering equal capacities, which refrigeration system can employ the smallest compressor?",Ammonia,Carbon Dioxide,Dichlorodifluoromethane,Monochlorodifluoromethane,A
83,Contaminated steam generators in a contaminated drain system are usually __________.,single effect,double effect,triple effect,multistage flash type,A
84,"Crank web deflection readings will give a positive   indication of
                           .",worn main bearing journals,torsional stress deformation,slack thrust bearings,bearing shells shim dimensions,A
85,Crankcase explosion relief valves should be of the                  .,return seating type,spring centered type,spring opened type,duplex double acting type,A
86,Crew threads on the break linkage of an anchor windlass:,must be lubricated and maintained on good condition,never require any maintenance,are unimportant because they have no effect on braking,are engaged only on emergency situations,A
87,Diesel engine exhaust noise can be reduced in an exhaust muffler by __________.,changing the direction of exhaust gas flow,increasing the exhaust gas velocity,changing the exhaust gas weight,increasing the exhaust gas static pressure,A
88,Diesel engine injection lag is caused by __________.,compressibility of the fuel,high fuel oil supply flow,scored plunger and barrel packing,excessive air turbulence,A
89,Dirty generating tube surfaces may cause higher than normal superheater outlet temperatures because __________.,the boiler must be overfired to maintain the required rate  of steam generation,the temperature of the gas leaving the generating banks will be lower than normal,the screen tubes absorb excessive heat and transfer the increased temperature to the superheater,gas laning will result causing overheating of the superheater,A
90,"During the fuel injection period, fuel pressure must exceed cylinder gas pressure to                            .",ensure penetration and distribution of the fuel in the  combustion chamber,ensure the needle valve is flushed clean during each  injection,prevent combustion gas blowback into the open needle valve,prevent reflected pressure waves when the needle valve  closes,A
91,"During the power stroke of a four-stroke/cycle diesel  engine, most of the side thrust of a trunk-type piston is absorbed by the  _________.",piston skirt,pinion,crosshead,compression rings,A
92,"During the valve overlap period, the exhaust pressure of a turbocharged, four-stroke/cycle diesel engine must be less than the intake manifold pressure to ensure_________.",effective cylinder scavenging and cooling,constant pressure from the turbochargers,cooler operation of the exhaust system,effective constant pressure for turbocharger operation,A
93,Early fuel injection timing is indicated by the cylinder pressure being __________.,above normal with a below normal exhaust temperature,above normal with a normal exhaust temperature,below normal with a normal exhaust temperature,below normal with an above normal exhaust temperature,A
94,"Excessive alkalinity of the water in an auxiliary boiler can cause
                           .",caustic embrittlement of the boiler metal,acidic corrosion of the boiler metal,hard scale deposits on the boiler tubes,etching of the heat exchange surfaces,A
95,Excessive combustion air in a boiler is indicated by the flame ends appearing as a/an __________.,shower of sparks,orange colored flame,dull red or black flame,light brown flame,A
96,Excessive valve lash in an auxiliary diesel engine will  cause the valves to open __________.,later and close sooner,sooner and close later,sooner and close sooner,later and close later,A
97,Exhaust gas pyrometers are useful for__________.,detecting faulty combustion in individual cylinders,adjusting fuel racks to maintain equal loading between  cylinders,adjusting the load limit setting of the governor at idle conditions,calculating engine horsepower,A
98,External frost on inlet of expansion valve indicates:,expansion valve plugged or dirty,head pressure too high,refrigerating compartment too cold,air in system,A
99,Failure of the burner flame in an automatic auxiliary boiler would probably be a result of                              .,water in the fuel oil,broken high tension leads,incorrect electrode setting,full fuel pressure at the nozzle,A
100,Failure to remove the carbon ridge at the top of the  cylinder when removing a piston may result in __________.,damaged upper piston rings and/or ring lands,scored piston walls,damaged cylinder liners,deformed piston skirts,A
101,"Failure to remove the carbon ridge from the top of the  cylinder when replacing the piston rings, will result in__________.",damaged upper piston rings and/or ring lands,scored piston walls,damaged cylinder liners,deformed piston skirts,A
102,"For a continuous operation diesel engine, a duplex filter unit would be the best arrangement because                            .",changing filter elements would not interrupt engine   operation,filtering occurs twice in each pass of oil through the  system,clogging will not occur,dropping pressure is half of that through a single filter unit,A
103,"For a diesel engine, approximately how long can an electric starter motor be operated continuously before damage may begin to occur due to overheating?",Not more than 30 seconds,Not more than 60 seconds,Not more than 90 seconds,Overheating the motor cannot occur.,A
104,"For a diesel engine, which of the following time increments represents the longest period the electric starter motor may be operated continuously?",30 seconds,45 to 60 seconds,60 to 75 seconds,75 to 90 seconds,A
105,"For diesel engine piston cooling, lubricating oil can be supplied to the pistons by a/an                          .",oil spray,oil bath,oil control rings,drilled passage through the camshaft,A
106,"For optimum results, centrifugal purification of heavy  fuel oil should be accomplished with the fuel at the  lowest practicable  _________.",throughput,additive percent,cetane number,TBN number,A
107,"High exhaust temperatures from all of the cylinders of a turbocharged, four-stroke/cycle diesel engine can be caused by an__________.",inoperative turbocharger,inadequate fuel supply,overload on one cylinder,unequal load distribution,A
108,"If a diesel engine has been stopped because of piston  seizure due to severe overheating, the crankcase __________.",inspection covers should not be opened until the engine has cooled,ventilation system should be continued in operation for one hour for cooling,scavenge pump should be immediately secured to prevent loss of lube oil,explosion covers should be opened slightly to provide extra ventilation,A
109,"If a diesel engine turned over freely but failed to start, the cause could be __________.",water in the fuel,cold lube oil,excessive starting air pressure,excessive fuel pressure,A
110,"If a four-stroke/cycle diesel engine is started by injecting air into the cylinders, the pistons receiving the charge of starting air must be__________.",on the power stroke,on the exhaust stroke,at the end of the power stroke,at the start of the intake stroke,A
111,If a hole were to form in the division plate between stages of a flash type evaporator __________.    I. vaporization of the feed water would continue   II. 2nd stage vacuum would increase,I only,II only,Both I and II,Neither I nor II,A
112,"If a valve seat insert, similar to the that shown in the  illustration is cracked, this may be indicated by__________.",white vapor in the exhaust gas,high exhaust pyrometer readings on that particular cylinder,continuous spring surge,a jammed indicator cock,A
113,"If an auxiliary diesel engine will not crank but can  be barred over, the trouble may be in the_________.",starting batteries,fuel injectors,fuel pump,engine governor,A
114,"If clearance between a piston and the cylinder wall is  excessive, piston slap will occur. The slap itself is  caused by  _________.",alternation of side thrust,a breakdown of the lube oil film on the cylinder wall,worn piston boss piston pin bearings,fluctuating gas pressure in the combustion space,A
115,"If cranking a diesel engine is too slow while attempting to start, it will result in __________.",insufficient heat of compression,fouling of the air intakes,improper injection timing,high exhaust temperatures,A
116,If diesel fuel was discharging from the waste water outlet of a disk type centrifugal purifier operating as a separator you should  _________.,reprime the purifier,remove the discharge ring,slow the purifier to its proper speed,put in an additional discharge ring,A
117,"If the bellows in a thermo-hydraulic feed water control valve ruptures, the boiler water level will __________.",decrease only,increase only,decrease initially and then increase,increase initially and then decrease,A
118,"If the intake, or exhaust valve stem clearance is found to be excessive, in addition to too little movement of the  rocker arms, you should check for                            .",collapsed hydraulic valve lifters,loose valve spring locks,worn valve seats,broken valve springs,A
119,"If the load on a diesel engine equipped with an isochronous hydraulic governor is increased, after compensation is  performed by the governor, the engine speed will          __________.",remain the same,increase,decrease,fluctuate,A
120,"If the refrigeration compressor was developing higher than  normal discharge pressure, this could be a result of __________.",air or noncondensable gases in the system,leaking discharge valves,leaking suction valves,liquid refrigerant flooding back from the cooling coil,A
121,"If the relief valve on a diesel engine cylinder lifts, the cause could be due to __________.",liquid in the cylinder,low compression in the cylinder,high exhaust temperature,poor fuel penetration,A
122,"If the speed of the propeller is 135 RPM, the speed of the  engine camshaft shown in the illustration will be                               .",135 RPM,270 RPM,variable depending on the camshaft gear train gear ratios,variable depending on the ratio between engine rpm and  propeller shaft rpm,A
123,"If the theoretical quantity of dry air required to burn one pound of fuel oil is 13.75 pounds, what is the weight of air per pound of fuel when operating a boiler at 5% excess air?",14.44 pounds,15.13 pounds,15.81 pounds,16.50 pounds,A
124,"If you have a duplex double acting reciprocating pump making 110 strokes/minute, with a 3"" diameter cylinder, a 5"" stroke and operating with 97% volumetric efficiency, what is the capacity of this pump?",33gpm,27 gpm,16 gpm,8 gpm,A
125,"If you have a duplex double acting reciprocating pump making 170 strokes/minute, with a 7"" diameter cylinder, a 11"" stroke and operating with 87% volumetric efficiency, what is the capacity of this pump?",542 gpm,271 gpm,426 gpm,136 gpm,A
126,"If you increase the clearance between a valve stem and  rocker arm, which of the listed conditions will occur?",Valve will open later.,Valve will close later.,Amount of fuel injected will be increased.,Amount of fuel injected will be decreased.,A
127,"If your vessel burns 8 tons of fuel per hour at 15 knots,  how many tons per hour will it burn at 18 knots?",13.82 tons,15.61 tons,16.00 tons,16.37 tons,A
128,Ignition failure in an automatically controlled auxiliary boiler could be caused by                            .,carbon deposits on the flame scanner,high fuel oil temperature,low fuel oil viscosity,high steam pressure,A
129,"Improper maintenance of the fuel oil burners in an   automatically fired auxiliary boiler, could result in                           .",increased fuel consumption,increased feedwater consumption,fuel pump failure,combustion control system failure,A
130,Improperly fitted piston rings in a diesel engine can cause_________.,excessive lube oil consumption,lower than normal lube oil temperature,higher than normal exhaust back pressure,excessive crankshaft end play,A
131,"In a boiler equipped with an automatic feedwater regulator, erratic variations in the water level could be caused by __________.",high solids content and foaming in the drum,ruptured feedwater control valve diaphragm,low feedwater temperature,high feedwater temperature,A
132,"In a closed feedwater system, the greatest deaeration of condensate occurs in the __________.",DC heater,atmospheric drain tank,air ejector condenser,vent condenser,A
133,"In a coil-type auxiliary water-tube circulation boiler
                              .",unevaporated feedwater collects in the bottom of the flash chamber,all generated steam is recirculated through heating coils in the boiler,heated water flashes to steam in the boiler heating coils,response to steam demand is slower than in a fire-tube  boiler,A
134,"In a diesel engine, a positive displacement type blower is usually
________.",gear driven by the engine,driven by an exhaust gas turbine,driven by a camshaft,driven by separate motor,A
135,"In a diesel engine, after ignition of the fuel occurs, but before the piston reaches TDC, there is little change in the cylinder  _________.",volume,pressure,temperature,energy,A
136,"In a fire-tube auxiliary boiler, you should expect to find the thickest scale on the waterside of the                          .",crown sheet,through stays,hydrokineter,belly plug,A
137,In a four-stroke/cycle diesel engine the intake valves open  _________.,before TDC and close after BDC,after TDC and close after BDC,before TDC and close before BDC,after TDC and close before BDC,A
138,"In a four-stroke/cycle diesel engine, piston blow-by can result in increased __________.",crankcase pressure,compression pressure,scavenge air pressure,exhaust manifold pressure,A
139,"In a four-stroke/cycle diesel engine, the intake valves open __________.",before TDC and close after BDC,after TDC and close after BDC,before TDC and close before BDC,after TDC and close before BDC,A
140,"In a hydraulic starting system, oil to the starting motor flows from the __________.",accumulator,reservoir,hand pump,electric pump,A
141,"In a single acting, two-stroke/cycle, diesel engine, the power impulse in an individual cylinder occurs __________.",once every crankshaft revolution,once every two crankshaft revolutions,once every piston stroke,twice every piston stroke,A
142,"In a two-stroke/cycle, opposed piston, diesel engine, one crankshaft operates several crank angles in advance of the other crankshaft to __________.",allow the exhaust ports to open and close before the inlet ports close,allow the scavenge ports to open and close simultaneously with the exhaust ports,prevent scavenge air pressure buildup in the cylinders,prevent the exhaust piston from reaching TDC and BDC before the intake piston,A
143,"In a vapor compression refrigeration system with a freeze,  dairy, and thaw box, a solenoid valve should be installed __________.",immediately before each expansion valve,on the inlet side of the receiver,in the liquid line bypassing the expansion valve,in the vapor line bypassing the oil separator,A
144,"In an auxiliary diesel engine, the reason for knurling the piston skirt is to__________.",improve skirt lubrication,allow for expansion,transmit forces evenly,improve the piston seal,A
145,"In an emergency, the electro-hydraulic steering units can be directly controlled by the __________.",trick wheel,rapson slide,follow-up gear,receiver unit,A
146,"In describing engine operation, what does the term ""cycle"" mean?",The sequence of events that produce a power pulse.,One rotation of the engine crankshaft.,One stroke of a piston.,All of the above.,A
147,"In diesel engineering practice, the term used to express the ignition quality of a particular fuel is __________.",cetane number,octane number,ignition index number,volatility point,A
148,"In diesel engines, the four basic events (intake, compression, power, and exhaust) are performed once in __________.",one complete crankshaft revolution in a two-stroke/cycle engine,two crankshaft revolutions in a two-stroke/cycle engine,two power strokes in a two-stroke/cycle engine,two piston strokes in a four-stroke/cycle engine,A
149,"In the common rail system, excessive pressure in the header may be caused by __________.",improper adjustment of the bypass valve,a dribble in the fuel injection nozzle,insufficient leakoff through injection nozzle packing,a malfunctioning injection nozzle,A
150,Incomplete combustion in a running diesel engine can cause piston rings to become stuck as a result of __________.,residual carbon deposits,lube oil viscosity breakdown,uneven heat expansion of the rings,uneven heat expansion of the piston,A
151,Increasing the exhaust valve tappet clearance of a diesel engine will result in the exhaust valve opening __________.,later and closing earlier,later and closing later,earlier and closing earlier,earlier and closing later,A
152,It is a measure through which a definite quantity of oil will flow out and the duration of the flow can be timed,flow meter,saybolt viscosimeter,flash point,densimeter,A
153,It is the hotness or coldness of a body.,intensity,quantity,energy,potential energy,A
154,Jacket water heaters are used on diesel engines to __________.,help the engine start easier in cold weather,maintain the proper jacket water pH,maintain the proper expansion tank water level,keep the engine room warm,A
155,Low compression pressure in a diesel engine can be caused by  _________.,improperly seating intake valves,leaking cylinder liner seal rings,late fuel injection timing,carbon deposits on the piston,A
156,Lubricating oil is supplied to the crankpin bearings in a marine diesel engine by                            .,internal crankshaft passages,immersion in oil,splash lubrication,injection lubrication,A
157,Microbiological growths in marine fuel are a common   occurrence that can be                 .,extremely detrimental to equipment and operating processes,prevented by maintaining proper storage temperatures,removed from emulsified fuel oil during the centrifuging processes,All of the above are correct.,A
158,Most fuel injection nozzles are opened by                            .,fuel oil pressure,a cam operated follower,a spring-loaded pressure plate,timing gears keyed to the crankshaft,A
159,"Most practical diesel engines today operate on a cycle which is a combination of the Diesel and Otto cycles.  In this process, compression ignition __________.",begins on a constant volume basis,begins on a constant pressure basis,ends on a constant volume basis,begins and ends on a constant volume basis,A
160,"On a boiler safety valve, the blowdown adjusting ring is locked in place by a __________.",set screw,locknut,wire seal,cotter pin,A
161,"On a diesel engine with direct-cylinder admission air  starting, a leaking air starting valve would be indicated by __________.",an overheated starting air supply pipe,excessive smoke from the engine exhaust,carbon deposit on the exhaust valves,early fuel ignition,A
162,"On a turbocharged, medium-speed, diesel engine, which of the following problems is an indication of a restricted air  intake passage?",engine is hard to start,engine misses,surges at governed RPM,coolant temperature is too low,A
