FUNCTION 3: MAINTENANCE AND REPAIR AT THE ENGINE  OPERATIONAL LEVEL,,,,,,
No.,Questions,Choice A,Choice B,Choice C,Choice D,Answer
59,Demulsibility of lube oil is defined as,the ability of oil to separate from water,the temperature at which oil flows rapidly,a measure of the water in a lube oil system,an emulsion of different grades of oil,A
60,Design characteristics of lubricating oil sump tanks will include __________.,installation of baffles to prevent excessive sloshing of oil,sufficient capacity to contain all the lube oil in the system except for the contents of the gravity tank,cooling coils made of welded seamless steel pipe,the bottom of the sump should be integral with the shell plating,A
61,Diesel generator lubricating oil becomes acidic due to ______.,Carbon deposits,Water leakage,Fumes of combustion,Fuel contamination,A
62,"Double seated, pneumatically controlled, regulating valves  exhibit good balancing characteristics essential for low-sensitivity applications because __________.","high pressure enters between the seats and creates equal, but opposing forces",they employ a specially fabricated diaphragm,the feedback control signals balance the opposing forces acting on the diaphragm,the special diaphragm motor spring resists pressure changes,A
63,"Drilling the hole in a piece of metal, the location of the hole center should be:",marked with a center punch,marked with chalk,blued,scribed,A
64,"During a diesel engine power stroke, the side thrust of trunk-type piston is a result of the angle formed by the                              .",connecting rod and cylinder center lines,reversed direction occurring twice each revolution,crank arm and crank pin,master and link connecting rods,A
65,"During tests to discover why a refrigeration compressor is  running excessively, it is determined that the refrigerated space temperature is nearly normal, the suction pressure is slightly above normal, and the head pressure is low.  In this situation, yo",leaking door gaskets,high cooling water temperature,air in the system,a shortage of refrigerant,A
66,Each drilling unit equipped with helicopter fuel storage tanks must have the tanks installed as far as practicable from the __________.,landing area and sources of vapor ignition,main deck,engine room,drill floor,A
67,Endurance strength is nearly proportional to the ultimate strength but not with:,Yield strength,Design stress,Shear stress,All of these,A
68,Evaporatoors and condensers are two forms of ________________.,heat exchangers,liquid receivers,storage receptacles,flow inhibitors,A
69,Excessively low air pressure in the intercooler of reciprocating air compressor would be caused by ____________.,leaky discharge valves on the LP cylinder,leaky discharge valves on the HP cylinder,insufficient intercooler cooling,low ambient air pressure,A
70,Feed water supplied to a flash type distilling plant will flash to vapor in the first-stage due to __________.,flash chamber pressure pressure being lower than the saturation pressure corresponding to the feedwater temperature,temperature being higher than the evaporation temperature of the supplied feedwater,heat exchange surfaces being directly in the path of the entering feedwater,orifices finely atomizing the heated feedwater entering the flash chamber,A
71,For a safe and effective maintenance system onboard what will be your immediate action to the cooling water when found in the test that the pH value of jacket cooling of the main propulsion diesel engine is 5?,increase pH,decrease pH,remain as is,complete drain,A
72,"For cutting cast iron or soft steel, the proper hacksaw blade should have __________.",14 teeth per inch,18 teeth per inch,24 teeth per inch,32 teeth per inch,A
73,Forces within a mobile offshore drilling unit have caused a difference between the starboard and port drafts.  This difference is __________.,list,heel,trim,flotation,A
74,Fuel oil is transferred into the settling tank so the oil may be                             .,heated to allow water and sediment to settle out,filtered and purified before being pumped to the burners,heated to correct temperature for proper atomization,purged of any large air bubbles that have formed,A
75,Heated lube oil will begin to break down if mixed with water and:,become thoroughly agitated,thoroughly centrifuged,allowed to stand idle,discharge through a finite filter,A
76,How can the chance of contaminating hydraulic fluid be decreased when working on hydraulic systems?,Clean the fittings before they are disconnected.,Place drip pans under leaky fittings.,Seal any cracks in lines with Permatex.,Coat all threads with graphite oil.,A
77,How does the viscosity of a fluid being pumped affect the operation of gear pump?,the viscosity of the fluid is relatively unimportant in the functioning of the pump,the pump can only be used for light oils,the pump can only be used for fluids of high viscosity,the pump cannot handle more viscosity than lubricating oil,A
78,"If a bilge pump is able to develop vacuum, but is unable to sufficiently pump out the bilges, you would check for all of the following EXCEPT __________.",the circuit breaker,for leaks in the suction piping,relief valve is not properly seated,the suction strainer,A
79,"If a diesel engine is operating with excessively high exhaust temperatures on all cylinders, you should first:",reduce the engine load ,increase cooling water flow,increase the lube oil flow,increase lube oil pressure,A
80,"If a drill press is used to completely bore through a metal plate, feed pressure on the drill bit should be eased as the bit breaks through the bottom of the hole to prevent __________.",the drill bit from jamming and spinning the workpiece,drilling undersized holes,overspeeding the spindle,overheating the drill,A
81,"If a hydraulic pump is producing a noisy whine when in operation, the cause may be __________.",an air leak in the pump suction line above the oil level in the reservoir,low viscosity in the hydraulic fluid,an oil leak across the pump shaft packing,due to the wrong direction of rotation of the hydraulic motor,A
82,"If a micrometer were opened to a distance of 0.0001 inch, you would say the reading is __________.",one ten thousandth of an inch,ten one thousandths of an inch,one millionth of an inch,ten millionths of an inch,A
83,"If a reciprocating air compressor has a knock in frequency with its operating RPM, the cause is probably __________.",misalignment or worn main bearing,insufficient cylinder lubrication,defective or poorly fitted valves,Any of the above,A
84,"If a ship's service air compressor in intermittent service were failing to unload, the ___________.",compressor would stop abruptly when power was secured,compressor would run continuously ,air receiver indicated pressure would be excessively low,compressor would require more than the normal amount lubrication,A
85,"If a VESSEL takes a sudden severe list or trim from an unknown cause, you should first __________.",determine the cause before taking countermeasures,assume the shift is due to off center loading,counterflood on the side opposite the list or trim,assume the cause is environmental forces,A
86,"If an analysis of boiler flue gas determines there is 50% excess air for combustion, you should expect the nitrogen content of the flue gas to be approximately __________.",0.79,0.33,0.21,0.14,A
87,"If the air temperature increases while atmospheric pressure remains constant, the air will __________.",have a greater capacity to absorb moisture,absorb less free atmospheric moisture,become supersaturated at high relative humidity,give up moisture as condensation,A
88,If the horizontal centrifugal pump becomes air bound vent it at:,top of casing ,bottom of casing ,suction line ,discharge fiange,A
89,"If there is a sudden drop in the capacity of a reciprocating air compressor, you should check for;",broken compressor valves,worn piston rings or cylinder liners,excessive compressor speed,a defective pressure switch or pilot valve ,A
90,"If you have a duplex double acting reciprocating pump making 110 strokes/minute, with a 3"" diameter cylinder, a 5"" stroke and operating with 97% volumetric efficiency, what is the capacity of this pump?",33gpm,27 gpm,16 gpm,8 gpm,A
91,"If you have a duplex double acting reciprocating pump making 110 strokes/minute, with a 6"" diameter cylinder, a 13"" stroke and operating with 91% volumetric efficiency, what is the capacity of this pump?",319 gpm,159 gpm,345 gpm,80 gpm,A
92,"If you have a duplex double acting reciprocating pump making 140 strokes/minute, with a 3"" diameter cylinder, a 13"" stroke and operating with 94% volumetric efficiency, what is the capacity of this pump?",105 gpm,52 gpm,227 gpm,26 gpm,A
93,"If you have a duplex double acting reciprocating pump making 140 strokes/minute, with a 6"" diameter cylinder, a 10"" stroke and operating with 94% volumetric efficiency, what is the capacity of this pump?",322 gpm,268 gpm,161 gpm,81 gpm,A
94,"If you have a duplex double acting reciprocating pump making 150 strokes/minute, with a 6"" diameter cylinder, a 13"" stroke and operating with 95% volumetric efficiency, what is the capacity of this pump?",453 gpm,227 gpm,491 gpm,113 gpm,A
95,"If you have a duplex double acting reciprocating pump making 170 strokes/minute, with a 6"" diameter cylinder, a 14"" stroke and operating with 89% volumetric efficiency, what is the capacity of this pump?",519 gpm,259 gpm,605  gpm,130 gpm,A
96,"If you have a duplex double acting reciprocating pump making 190 strokes/minute, with a 4"" diameter cylinder, a 7"" stroke and operating with 75% volumetric efficiency, what is the capacity of this pump?",109 gpm,95 gpm,54 gpm,27 gpm,A
97,"If you have a duplex single acting reciprocating pump making 110 strokes/minute, with a 5"" diameter cylinder, a 12"" stroke and operating with 91% volumetric efficiency, what is the capacity of this pump?",102 gpm,51 gpm,204 gpm,245 gpm,A
98,"If you have a duplex single acting reciprocating pump making 120 strokes/minute, with a 4 diameter cylinder, a 13"" stroke and operating with 92% volumetric efficiency, what is the capacity of this pump?",78 gpm,254 gpm,39 gpm,156 gpm,A
99,"If you have a duplex single acting reciprocating pump making 120 strokes/minute, with a 6"" diameter cylinder, a 4"" stroke and operating with 92% volumetric efficiency, what is the capacity of this pump?",54 gpm,36 gpm,27 gpm,108 gpm,A
100,"If you have a duplex single acting reciprocating pump making 160 strokes/minute, with a 4"" diameter cylinder, a 5"" stroke and operating with 95% volumetric efficiency, what is the capacity of this pump?",41 gpm,52 gpm,21 gpm,83 gpm,A
101,"If you have a duplex single acting reciprocating pump making 160 strokes/minute, with a 6"" diameter cylinder, a 5"" stroke and operating with 96% volumetric efficiency, what is the capacity of this pump?",94 gpm,78 gpm,47 gpm,188 gpm,A
102,"If you have a duplex single acting reciprocating pump making 170 strokes/minute, with a 5"" diameter cylinder, a 4"" stroke and operating with 85% volumetric efficiency, what is the capacity of this pump?",49 gpm,39 gpm,25 gpm,98 gpm,A
103,"If you have a duplex single acting reciprocating pump making 180 strokes/minute, with a 3"" diameter cylinder, a 4"" stroke and operating with 97% volumetric efficiency, what is the capacity of this pump?",21 gpm,28 gpm,11 gpm,43 gpm,A
104,"If you have a duplex single acting reciprocating pump making 220 strokes/minute, with a 3"" diameter cylinder, a 5"" stroke and operating with 87% volumetric efficiency, what is the capacity of this pump?",29 gpm,49 gpm,59 gpm,113 gpm,A
105,"If you have a simplex single acting reciprocating pump making 100 strokes/minute with a 6"" diameter cylinder, a 4"" stroke, operating with a 90% volumetric efficiency, what is the capacity of this pump?",22 gpm,20 gpm,88 gpm,44 gpm,A
106,"If you have a simplex single acting reciprocating pump making 110 strokes/minute, with a 5"" diameter cylinder, a 10"" stroke and operating with 90% volumetric efficiency, what is the capacity of this pump?",42 gpm,84 gpm,126 gpm,168 gpm,A
107,"If you have a simplex single acting reciprocating pump making 110 strokes/minute, with a 6"" diameter cylinder, a 14"" stroke and operating with 91% volumetric efficiency, what is the capacity of this pump?",86 gpm,172 gpm,343 gpm,400 gpm,A
108,"If you have a simplex single acting reciprocating pump making 110 strokes/minute, with a 6"" diameter cylinder, a 9"" stroke and operating with 91% volumetric efficiency, what is the capacity of this pump?",55 gpm,75 gpm,151 gpm,303 gpm,A
109,"If you have a simplex single acting reciprocating pump making 120 strokes/minute, with a 6"" diameter cylinder, a 5"" stroke and operating with 92% volumetric efficiency, what is the capacity of this pump?",34 gpm,135 gpm,68 gpm,56 gpm,A
110,"If you have a simplex single acting reciprocating pump making 140 strokes/minute, with a 6"" diameter cylinder, a 14"" stroke and operating with 94% volumetric efficiency, what is the capacity of this pump?",113 gpm,451 gpm,226 gpm,526 gpm,A
111,"If you have a simplex single acting reciprocating pump making 190 strokes/minute, with a 3"" diameter cylinder, a 11"" stroke and operating with 77% volumetric efficiency, what is the capacity of this pump?",25 gpm,98 gpm,49 gpm,181 gpm,A
112,"If you have a simplex single acting reciprocating pump making 190 strokes/minute, with a 5 inch diameter cylinder, a 12 inch stroke and operating with 75% volumetric efficiency, what is the capacity of this pump?",73 gpm,291 gpm,145 gpm,349 gpm,A
113,"If you have a simplex single acting reciprocating pump making 200 strokes/minute with 3"" diameter cylinder, a 4"" stroke, and operating with a 93% volumetric efficiency, what is the capacity of this pump?",11 gpm,23 gpm,40 gpm,46 gpm,A
114,"If you have fuel oil meters to and from the burners in a return flow system, you measure the fuel oil consumption by:",taking the difference between the supply and return reading,taking the sum of both meters,using only the supply meter ,using only the return meter,A
115,"If you install a hydraulic hose on a unit and fail to leave sufficient room for expansion, which of the following problems will develop?",The hose may pull loose from its fittings.,The components connected by the hose will be damaged.,The hydraulic unit will fail to acquire any power.,The hydraulic fluid will overheat and breakdown.,A
116,"If your ship burns 8 tons of fuel per hour at 15 knots, how many tons per hour will it burn at 18 knots?",13.8 tons,11.5 tons,10.7 tons,9.5 tons,A
117,"If your vessel burns 2.9 tons of fuel per hour operating at a speed of 20 knots, how many tons per hour will it burn at a speed of 15 knots?",1.2 tons,1.6 tons,2.0 tons,2.4 tons,A
118,Ignition failure in an auxiliary boiler can be caused by_______________.,carbon deposits on electrodes,a jammed open oil solenoid,excess fuel pressure at the nozzle,an excessively long purge cycle,A
119,Improper maintenance of fuel oil burner in an auxiliary boiler could result in:,decrease boiler efficiency,increase feed water consumption,fan motor failure,fuel oil pump failure,A
120,"In a closed feedwater system, most deaeration takes place in the;",main condenser,air ejector condenser,DC heater,vent condenser,A
121,"In a multi-cylinder, turbo-charged diesel engine with a constant pressure charging system, the combined exhaust temperature at the turbo-charger inlet always reads higher than individual cylinder exhaust. This means the:",Turbine blades are coated with carbon,Combined exhaust pyrometer is defective,Combined exhaust pyrometer is reading normally,Turbine is overheating,A
122,"In a typical refrigeration system, the temperature of the refrigerant gas is the highest __________.",at the compressor discharge,at the compressor suction,in the expansion valve,in the receiver,A
123,"In addition to monitoring flame quality, flame scanners are used with combustion equipment to:",automatically open the fuel oil solenoid valve,secure forced draft fans upon flame failure,regulate the air-fuel ratio,secure the fuel supply in the event of a flame failure,A
124,"In an emergency, the electro-hydraulic steering units can be directly controlled by the __________.",trick wheel,rapson slide,follow-up gear,receiver unit,A
125,"In order to prevent overheating of the packing in the stern tube stuffing box, __________.",the gland is properly adjusted to permit a slight leakage of sea water,stave-type rubber seals are used,cooling water is supplied from the fresh water cooling system,the gland nuts must be tightly taken up to prevent any water leakage,A
126,"In radiographic inspections, the standard test piece included in every radiograph provides an effective check on the overall quality and bears a numerical relation to the thickness of the part being tested.  This piece is called a/an __________.",penetrometer,intensimeter,lead filter gauge,exposure screen,A
127,"In the case of an injury, causing a person to be incapacitated for more than 72 hours, the master or person- in-charge of a mobile offshore drilling unit must submit a  report to __________.",the nearest Marine Safety or Marine Inspection Office,the nearest hospital,the Department of Energy,the American Bureau of the Shipping,A
128,"In VESSEL construction, a large number of watertight bulkheads results in __________.",increased capacity to set flooding boundaries,decreased capacity to set flooding boundaries,reduced compartmentation,greater deck load capacity,A
129,In which lube oil line should you expect to find an illuminated sight glass (Bull's-eye)?,gravity tank overflow ,gravity tank discharge,lube oil pump suction,lube oil pump discharge,A
130,In which of the listed types of evaporators is brine density control most important?,Soloshell low pressure,Flash type low pressure,Multiple effect flash type,Basket type evaporator,A
131,Inspection of a low pressure gear pump for cavitation will  usually be indicated by a wear pattern __________.,along the inlet side of the housing,along the discharge side of the housing,at the extreme upper and lower peripheries of the housing,even throughout the entire periphery of the housing when matched machined gear sets are used,A
132,Isentropic compression is sometimes known as,constant volume compression,constant temperature compression,constant universal pressure compression,constant entropy compression,A
133,It is essentially consist of an axial flow single wheel turbine during a radial flow compressor.,High speed boiler,Turbo-charger,Steam turbine,Primary pinion wheel,A
134,It is not necessary to 'chalk' a file when the metal being  filed is __________.,steel,copper,lead,aluminum,A
135,It is the transfer of heat energy through the motion of heated fluids.,convection,conduction,radiation,combination of conduction and convection,A
136,Joiner bulkheads on a VESSEL provide __________.,compartmentation,watertight integrity,structural support,tank boundaries,A
137,Large size pipe can be easily rotated with a __________.,chain pipe wrench,monkey wrench,basin wrench,strong back,A
138,Lighter longitudinal stiffening frames on the VESSEL side plating are called __________.,stringers,side frames,side stiffeners,intercostals,A
139,Lubricating oil that becomes thin at high temperature and thich at low temperature will have a __________,low viscosity index,high viscosity index,high neutralization number,low demulsibility quality,A
140,"Main engine room control console alarms are usually designed to be of the self monitoring type, meaning that an open circuit to a particular alarm circuit will __________.",cause an alarm condition,secure power to the indicator,cause a backup power supply to energize,automatically reclose within 10 seconds,A
141,Major repairs or alterations affecting the safety of small  passenger vessels of less than 100 gross tons shall __________.,not be made without the knowledge and approval of the OCMI,be permissable without the knowledge and approval of the Officer in Charge of Marine Inspection,be made at anytime convenient to the vessel operator without prior approval,be made only when Coast Guard Administrative Form 2892 is submitted,A
142,Marine sanitation devices installed on vessels must be certified by the __________.,U.S. Coast Guard,American Bureau of Shipping,Society of Naval Architects and Marine Engineers,Enviromental Protection Agency,A
143,Negative sixteen million one minus ngeative Nine hundred ninety-nine equals:,"-15,999,002","15,999,002","16,000,901","-16,009",A
144,"Oil contamination or deposits can be removed from the waterside of boiler ""boiling out"" with a/an _________________.",Alkaline solution,Acid solution,salt solution,kerosene solution,A
145,One cause of high head pressure occurring in a refrigeration system can be __________.,insufficient cooling water flow to the condenser,a low refrigerant charge in the system,the liquid valve is open too much,high evaporator superheat,A
146,One function of the vapor feed heater in a double-effect submerged tube distilling unit is to __________.,condense part of the vapor given off in the first-effect,preheat distillate circulating to the second-effect tube nest,cool the incoming first-effect evaporator feed,condense all the distillate in the second-effect tube nest,A
147,One of the cause of leaky valves in main air compressor is that it may be ____________.,too much suction pressure,the compressor run to fast,too much discharge pressure,running without air filter,A
148,Oxygen and acetylene cylinders should always be stored __________.,upright with the cylinder caps screwed on,horizontal with the cylinder caps screwed on,upright with the cylinder caps off,horizontal with the cylinder caps off,A
149,Partially clogged or scored nozzles in a two stage air ejector unit of a flash distilling plant could result in a  __________.,fluctuating vacuum in the flash chamber,flooded seawater feed heater shell,high water level in the air ejector after condenser,malfunctioning check valve in the air ejector discharge,A
150,Power is defined as the __________.,rate of doing work,amount of force needed to overcome friction,amount of work accomplished,distance through which an object is moved,A
151,Proper internal lubrication of a hydraulic anchor windlass  left idle for extended periods can be accomplished by __________.,performing a check run on the unit at regular intervals,testing the hydraulic fluid for proper pH,checking the reservoir for proper level,cleaning strainers at regular intervals,A
152,R-134A is normally the replacement for which older type of refrigerant?,R-12,R-22,R-11,R-123,A
153,Scavenging air is supplied to steam soot blowers to __________.,prevent the backup of combustion gases into soot blower heads,provide cooling air when soot blower elements are rotating  through blowing arcs,prevent the escape of steam into the inner casing,prevent warping of the cams when exposed to high temperature steam,A
