FUNCTION 4: CONTROLLING THE OPERATION OF THE SHIP AND CARE FOR PERSONS ON BOARD AT THE ENGINE  OPERATIONAL LEVEL,,,,,,
No.,Questions,Choice A,Choice B,Choice C,Choice D,Answer
14,"A class ""D"" fire involves what type of material?",Metals ,Gases,Liquid,Combustible solids,A
15,A class C fire would be burning:,electrical insulation,fuel oil,wood,celluloid,A
16,"A combination of Red, Blue, Yellow streamers accompanying a package being dropped by SAR aircraft to surface craft survivor means the content is _________________.",mixed and various items,medical supplies,food and water,"miscellaneous equipment such as stoves, utensils, axes, etc.",A
17,A combination or all-purpose nozzle produces:,a solid stream and fog,a solid stream only,low-velocity fog only,a solid stream and foam,A
18,A compound fracture is one where there is.,A wound and the bone is protruding.,Damage to underlying tissue.,Excessive bleeding from an open wound.,A wound and bone is visible.,A
19,"A continuous blast of the whistle for a period of not less  than 10 seconds, supplemented by the continuous ringing of  the general alarm bells for not less than 10 seconds, would indicate a __________.",fire,collision,man overboard,flooded compartment,A
20,A crew member has suffered frostbite to the toes of both feet.  You should __________.,immerse the feet in warm water,warm the feet with a heat lamp,warm the feet at room temperature,rub the feet to restore circulation,A
21,A crew member has suffered frostbite to the toes of his right foot.  Which of the following is NOT an acceptable first aid measure?,Rub the toes briskly.,Elevate the foot slightly.,Warm the frost bitten toes rapidly.,Give aspirin or other medication for pain if necessary.,A
22,A crew member has suffered possible frostbite in the toes of both feet. You should:,immerse the feet in warm water,warm the feet with a heat lamp,warm the feet at room temperature,rub the feet to restore circulation,A
23,A crew member is unconscious and the face is flushed.  You  should __________.,lay the crew member down with the head and shoulders slightly raised,administer a liquid stimulant,lay the crew member down with the head lower than the feet,attempt to stand the crew member upright to restore consciousness,A
24,A crewman has suffered a blow to the head and various symptoms indicate a concussion. Proper treatment should include:,turning the victim’s head to the side to keep his airway open,positioning the victim so the head is lower than the body,giving the victim water but no food,placing a pillow only under the victim’s head,A
25,A CSO is designated by the:,Company Operating the ship,ISPS Code,ISM Code,Ship Security Officer,A
26,A define advantages of using water as a fire extinguishing agent is its characters?,Rapid expansion as water absorbs heat and changes to steam,Alternate expansion and contraction as water in liquid state bear,Rapid contraction as water is absorbs heat and charge to steam,Absorption of smoke and gases as water is converted from liquid,A
27,"A detailed statement of a vessel’s cargo which includes all data regarding the shipper, consignee and cargo quantity is referred to as:",cargo manifest,bill of lading,cargo list,mate’s receipt,A
28,A double male coupling is one that:,has outside threads on both ends,takes two men to operate,has left hand twist,has inside threads on both ends,A
29,A drill must be conducted in the use of the line throwing appliance at least once in every:,3 months,2 months,4 months,5 months,A
30,A drug or medicine given to reduce pain without resulting in loss of consciousness. It is sometimes referred to as painkiller medications.,Analgesic,Antipyretic,antibiotics,antibacterial,A
31,A fire dampers prevent the fire spreading through the process of ________.,convection,radiation,direct contact,be wetter,A
32,A fire in a pile of canvas is classified as class:,A,B,C,D,A
33,A fire in a pile of canvas would be classified as a __________.,class A,class B,class C,class D,A
34,A fire in a pile of dunnage would be classified as class:,“A” fire,“B” fire,“C” fire,“D” fire,A
35,A fire in a pile of linen is considered to be a class __________.,A fire,B fire,C fire,D fire,A
36,A fire in the galley ALWAYS poses the additional threat of:,a grease fire in the ventilation system,spreading through the engineering space,causing loss of stability,contaminating food with extinguishing agent,A
37,A fire in trash and paper waste is classified as class:,A,B,C,D,A
38,A fire must be ventilated ______________________.,to prevent the gases of combustion from surrounding the fire ,when using an indirect attack on the fire such as flooding with,if compressed gas cylinders are stowed in the compartment of fire,to minimize heat build-up in adjacent compartments,A
39,"A fire station located in the engine room, is required by regulations to have __________.",a spanner wrench suitable for the size of hose at that station,"lined or unlined hose, depending upon its location",a 6 foot or 10 foot low velocity fog applicator,all of the above,A
40,"A fixed carbon dioxide extinguishing system for a machinery space, designed without a stop valve in the line leading to the protected space, is actuated by:",one control,two controls,three controls,none of the above,A
41,A floating vessel will behave as if all of its weight is acting downward through the:,center of gravity,center of buoyancy,center of flotation,metacenter,A
42,A fore and aft horizontal plate fitted on the top of floors upon which the center keelson rest:,frame,cant frame,bevel,foundation plate,A
43,"A free surface effects of a partially filled tank in a floating vessel, increase with the ",Surface area of the fluid in the tank,Displacement volume of the vessel,Draft of the vessel,none of the above,A
44,A fully loaded motor-propelled lifeboat must be capable of attaining a speed of at least:,6 knots in smooth water,3 knots in rough water,3 knots in smooth water,6 knots in rough water,A
45,A function of the inclining experiment on the vessel is to determine _.,lightweight and lightweight center of gravity location,The position of the center of buoyancy,all of these,none of the above,A
46,"A grade ""A"" petroleum product is __________.",a flammable liquid,a combustible liquid,jet fuel,lubricating oil,A
47,"A health hazard, listed on a Material Safety Data Sheet (MSDS), that can cause cancer in exposed individuals is called a",carcinogen,cryogenic,irritant,none of the above,A
48,A journal kept by the officer of the watch in which day to day happenings are recorded regarding the deck department is the:,deck rough log,bell book,Official Logbook,cargo record book,A
49,A kind of teaching- learning principle where the trainee must proceed step by step and each step must be in some way more difficult than the previous step.,graduated sequence,perceived purpose,Affective Objective  ,Cognitive Objective ,A
50,"A large metallic device, mounted directly in the piping (usually located at the dock near the point where the vapor hose is attached), designed to prevent the passage of a rapidly moving flame through the piping is called a:",detonation arrestor,lame arrestor,flame screen,detonation blocker,A
51,A life float on a fishing vessel must be equipped with:,a life line,a hydrostatic release,smoke flares,a signal mirror,A
52,A lifejacket should be provided with:,A whistle and a light,A whistle,A light,On ships built after February 1992 all lifejackets should be fitted with a light,A
53,A liferaft which has inflated bottom-up on the water  __________.,"should be righted by standing on the carbon dioxide cylinder, holding the righting straps and leaning backwards","should be righted by standing on the lifeline, holding the  righting straps and leaning backwards",will right itself when the canopy tube inflate,must be cleared of the buoyant equipment before it will right itself,A
54,A load line for a vessel is assigned by the:,A recognized classification society approved by the Coast Guard,Minerals Management Service,Department of Energy,Corps of Engineers,A
55,"A major health hazard of the product tert- butylamine is that it:
",causes irreversible damage to eye tissue,is a very unstable product,can be absorbed through the skin,all of the options,A
56,A management system designed with the intent of ensuring fulfillment of customers requirement?,Quality System,Management system,Bridge Resource Management,Chart Management System,A
57,A minor heat burn of the eye should be treated by __________.,gently flooding with water,warming the eye with moist warm packs,laying the person flat on his back,mineral oil drops directly on the eye,A
58,A motor lifeboat shall carry sufficient fuel to operate continuously for a period of:,24 hours,12 hours,18 hours,36 hours,A
59,A neutral equilibrium position for a vessel means that the metacenter is:,at the same height as the center of gravity,lower than the keel,exactly at midships,at the center of the water plane area,A
60,"A new crew member aboard your fishing vessel, who has not received any safety instructions or participated in any drills, reports on board.  The Master must provide a safety orientation:",before sailing,within 24 hours,on reporting day if it occurs within normal work hours,within one week,A
61,A new crewman reports on board. He must be trained in the  use of the ship's lifesaving appliances within what time period?,2 weeks,1 month,2 months,Before sailing,A
62,A new liferaft has been installed on your vessel.  The operating cord should be:,attached to the raft stowage cradle or to a secure object nearby with a weak link,faked on deck and lead through a chock,checked to see that it's unattached,coiled neatly on the raft container,A
63,"A non-combustible material is a material which neither burns nor gives off flammable vapors in sufficient quantity for self-ignition when heated to approximately __________ ºC, this being determined in accordance with Fire Test Procedure Code.",750deg.C,650deg.C,550deg.C,800deg.C,A
64,"A particular learning scope for instructional objective which deals with how a trainee should about something in relation to the training program.
",Affective Objective  ,Cognitive Objective ,Progressive Objective,Effective Objective,A
65,"A patient has to be moved after basic life support has been started, interruption time should NOT exceed:",15 seconds,20 seconds,5 seconds,10 seconds,A
66,A person has suffered a laceration of the arm. Severe bleeding has been controlled by using a sterile dressing and  direct pressure. What should you do next?,Apply a pressure bandage over the dressing,Apply a tourniquet to prevent the bleeding from restarting,Remove any small foreign matter and apply antiseptic,Administer fluids to assist the body in replacing the lost blood,A
67,"A person having the relevant training and skills and, if appropriate, qualifications, to perform particular tasks.",Competent person,Master,Superintendent,Designated Person,A
68,A person slowly feel more sleepy and thirsty. The skin become very dry and there is a sweet taste of the breath. The glucose reaction shows positive. What kind of medicine will the person need  as soon as possible?,Insulin,A glass of cold milk,A glass of cold soft drinks,Dextrose,A
69,A piece of small stuff (small line) secured to an object to prevent it from going adrift is a:,lanyard,stopper,keeper,noose,A
70,A portable foam (stored-pressure type) fire extinguisher would be most useful in combating a fire in:,oil drums,the bridge controls,combustible metals,generators,A
71,A portable foam fire extinguisher is placed in operation by ________.,turning it upside down,pressing the foam lever,squeezing the grip handle,opening the hose valve,A
72,A reinspection of the vessel shall be made between which of the following months while the Certificate of Inspection is valid?,10 - 14 months,8 - 12 months,10 - 12 months,12 - 14 months,A
73,A rescuer can most easily determine whether or not an adult victim has a pulse by checking the pulse at the:,carotid artery in the neck,femoral artery in the groin,brachial artery in the arm,radial artery in the wrist,A
74,A seafarer has suffered frostbite with his toes in the left foot. Which of the listed is(are) an acceptable first aid measure?,All of the choices,Elevate the foot slightly,Immerse the feet in warm water,Warming exposed parts rapidly,A
75,"A seafarer's Endorsement or SIRB has been suspended or revoked, when can it be reinstated?",When cleared of any charges by the Board,When promised he is not guilty,When the charged has already paid his debts,When the alleged has been found guilty,A
76,A seaman is reported missing in the morning and was last seen after coming off the mid-watch.  Which type of turn would you use to return to the track-line steamed during the night?,Williamson,Racetrack,180° turn,Anderson,A
77,"A self contained Breathing Apparatus should contain at least 1200 liters of air. How long should this last a normal person who is not carrying out hard work?

",30 minutes,15 minutes,45 minutes,60 minutes,A
78,A self-righting survival craft will return to an upright position provided that all personnel __________.,are seated with seatbelts on and doors shut,are seated with seatbelts on and doors open,are to shift to one side to right it,escape from the craft,A
79,A self-righting survival craft will return to an upright position provided that all personnel:,are seated with seat belts on and doors shut,are seated with seat belts on and doors open,are to shift to one side to right it,escape from the craft,A
80,"A ship is turning around a point called the ""pivot point"". What is the position of this invisible point when the ship is ""dead"" in the water?",About same position as the center of gravity,Outside of the center line,Near the bow,Near the stern of the ship,A
81,"A ship of 400 gross tonnage or more may discharge machinery space while enroute, and she is more than 12 miles from land provided the oil of the effluent is less than _________ parts per million.",100,150,200,210,A
82,"A ship of 400 gross tonnage or more than an oil tanker may discharge oily machinery space bilge provided she is enroute, more than 12 miles from shore and has in operation a/an:",oil discharge monitoring and control equipment and oily-water separator ,COW facility,anode protection equipment,cathode protection equipment,A
83,A ship other than those which navigate exclusively in areas whose port regulation apply as define under Article II of STCW is known as:,Seagoing,Overseas,domestic,off-shore,A
84,A ship progressive flooding may be indicated.,a continual worsening of list or trim,excessive draft,ballast control alarms,excessive list or trim,A
85,"A shipmate chokes suddenly, cannot speak, and starts to turn blue.  You should __________.",perform the Heimlich maneuver,make the victim lye down with the feet elevated to get blood to the brain,immediately administer CPR,do nothing until the victim becomes unconscious,A
86,A short length of chain cable between anchor and windlass.,ganger,ginger,gaff,panama lead,A
87,A situation which could have lead to an accident if they had developed further.,Hazardous Occurrences,Misfortune,De Ja vu,Bad luck,A
88,A slow and easy motion of a vessel in a seaway is an indication of a:,small GM,low center of gravity,stiff vessel,large GZ,A
89,"A SOLAS approved immersion suit shall be constructed with waterproof materials such that following a jump into the water there is no ingress of water into the suit, from a height of not less than:",4.5 meters,3.5 meters,5.5 meters,6.5 seconds,A
90,A SOLAS approved life jacket shall not sustain burning or continue melting after being totally enveloped in a fire for a period of:,2 seconds,4 seconds,5 seconds,6 seconds,A
91,A solid stream of water might be useful in fighting a burning oil fire on deck when it is used __________.,to wash burning oil over the side,to provide cooling for the fire fighters,in conjunction with chemical foam,to cool the main deck,A
92,A squeeze-grip type carbon dioxide portable fire extinguisher has been partially discharged. It should be:,labeled empty and recharged as soon as possible,replaced in its proper location if weight loss is no more than 25%,replaced in its proper location regardless of weight,replaced in its proper location if weight loss is no more than 15%,A
93,A structured and documented system enabling Company personnel to implement effectively the Company safety and environmental protection policy.,Safety Management System,International Safety Management,Internal Safety Management,Safety of life at Sea,A
94,A system where spread of disease on board can be controlled is also known as:,isolation,quarantine,contagious,recovery,A
95,"A systematic application of management system policies, procedures and practices to the task of analyzing, evaluating and controlling environmental risk is called:",Environmental Risk Management,Environmental Aspect,Environmental Safety Procedures,Environmental Rules and Regulations,A
96,"A tank vessel with an oil cargo capacity of 5,000 barrels is required by regulations to have a fixed container, or enclosed deck area under or around each oil loading manifold and each oil transfer connection point. The capacity of these containment areas is based upon __________.",inside transfer hose diameter or loading arm nominal pipe size diameter,"number of cargo oil tank vents, overflows and fill pipe connections",cargo oil service pressure,All of the choices,A
97,"A tanker is loaded with 12,000 barrels of #2 fuel oil. The temperature of the product is 88°F. API gravity is 39°. The volume correction factor (VCF) is 0.0005. The net amount of cargo in gallons, loaded is _________.","496,944","511,056","650,760","669,240",A
98,A tanker vessel is loading a hazardous cargo. The allowance for expansion is based on ambient temperatures of what maximum range?,-18deg.C to 46deg.C,-10deg.C to 90deg.C,0deg.C to 100deg.C,-40deg.C to 50deg.C,A
99,A term of maximum temperature at which a given gas can be liquified by pressure i.e.  Tank vessel cargo of ammonia 256 degrees fahrenheit.,Critical temperature,Flammable pressure,Flammable temperature,Critical pressure,A
100,"A three inch overboard discharge line, located six feet below the waterline, has ruptured and separated from the hull.  What would be the minimum number of strokes per minute required from a 8"" x 12"" x 12"" duplex double acting reciprocating bilge pump, op",45 strokes per minute,56 strokes per minute,87 strokes per minute,98 strokes per minute,A
101,A type of management where shipping business concept having many ships moving at seas and port of the world mainly to avoid losses and maximize earning profits?,Asset Management,Personnel Management,Liability Management,Self Management,A
102,"A vessel is carrying 24,000 barrels of oil for discharge. The cargo hose have an inside diameter of eight inches. The container around each loading manifold must hold:",three barrels,eight barrels,two barrels,one barrel,A
103,A vessel to which Annex V to MARPOL 73/78 applies is 24 nautical miles from the nearest land. Which type of garbage is prohibited from being discharged? ,Dunnage,Metal,Crockery,Glass,A
104,A vessel trimmed down by the bow has:,a greater draft forward than aft,zero trim,a low mean draft,a greater draft aft than forward,A
105,"A vessel with the following corrected drafts:  Fwd 11.2578 m, Aft 11.6587 m and Mid 11.400 m. Find the deflection.",0.0583m hogging,0.5083m hogging,0.0583m sagging,0.5083m sagging,A
106,A vessel's immediate protection in the event of a broken stern tube is a/an___________.,after peak,stern frame,aft collision,aft machinery space,A
107,Abdominal Thrust is the name on a technique which involves applying a series of thrusts to the upper abdomen in an attempt to force air out of a choking casualty's lungs. How to  perform this technique?,Stand behind the casualty. Clench your fist with the thumb inwards in the center of upper abdomen. Grasp your fist with your other hand and pull quickly inwards.                                          ,Stand behind the casualty. Clench your fist with the thumb and remove the obstruction and restore normal breathing.,Stand behind the casualty. Clench your fist with the thumb inwards in the center of lower abdomen and pull it quickly inwards.                                          ,Stand behind the casualty. Tap the back with open fist.                               ,A
108,"Aboard a survival craft, ether can be used to:",start the engine in cold weather,aid in helping personnel breathe,prime the sprinkler system,prime the air supply,A
109,"According to 46 CFR’s, besides analyzing a mariner’s breath for alcohol, what other specimen would be acceptable for alcohol level testing following a “Serious Marine Incident”?",Saliva,Skin,Hair,Cuticle,A
110,"According to MARPOL 73/78 Annex V, the discharge of plastics into the sea or the navigable waters of the United States is strictly prohibited. Which of the following statements is true concerning the legal disposal of plastics? ",The garbage containing plastics must be either discharged ashore to an approved reception facility or incinerated onboard the ship.,The garbage containing plastics must be incinerated onboard ship. Discharge ashore to an approved reception facility is not permitted.,The garbage containing plastics must be discharged ashore to an approved reception facility. Incineration onboard the ship is not permitted.,The garbage containing plastics must be discharged ashore to an approved plastics recycling facility.,A
111,"According to Marpol, ""Crude oil"" means:",any liquid hydrocarbon mixture extracted from the earth whether treated or not to render it suitable for transportation,oil from which certain distillate fractions may have been added,mixture of asphalt and Gasoline,asphalt and base,A
112,"According to Marpol, what is the meaning of the term ""Oily Mixture""?",A mixture with any oil content,A mixture with Oil content above 50 ppm,A mixture with Oil content above 100 ppm,A mixture with Oil content above 15 ppm,A
113,"According to new SOLAS Regulation, every life craft shall be constructed to be capable of withstanding exposure in all sea conditions for how many days?",30 days,45 days,50 days,55 days,A
114,According to SOLAS fire drills to be carried out at intervals of no more than?,One month,One  week,Fortnight,Two months,A
115,"According to the International Convention for the Safety of Life at Sea (SOLAS), how often are fire and emergency drills to be conducted at sea and in port? ",Weekly,Monthly,Quarterly,As needed,A
116,"According to the Lifesaving regulations in Subchapter W, fire and abandon ship drills must be held within 24 hours of leaving port if the percentage of the crew that has not participated in drills aboard that particular vessel in the prior month exceeds:",0.25,0.05,0.1,0.4,A
117,"According to the SOLAS regulations, lifeboat falls must be renewed at intervals of how many years?",5,2.5,3,4,A
118,"After a liferaft is launched, the operating cord:",serves as a sea painter,detaches automatically,is used to rig the boarding ladder,is cut immediately as it is of no further use,A
119,"After conducting a boat drill on a mobile offshore drilling unit, what must the Master or person in charge enter in the logbook?",Any inoperative equipment and the corrective action taken,The name of the lifeboatman in charge of each lifeboat,The location of the vessel at the time of the drill,The time it took to lower the boat,A
120,"After conducting an abandonment drill, the Master or person in charge of a vessel shall log:",the names of crew members who participated in the drill,the length of time that each motor propelled lifeboat was operated in the drill,the length of time the lifeboat was in the water,the time it took to lower the boat,A
121,After smoking cigarettes they should be disposed of as follows:,Disposed of in an ashtray and ensuring that it is extinguished.,"Dropped over the side only if you are certain they are
extinguished.",Dropped over the lee side only so that it cannot blow back on board ,Dropped into a waste bin.,A
122,"After start of man-over-board manoeuvre, whom shall be informed?",Engine Room,Chief Officer,Galley,Electrician,A
123,After survey in accordance with  Regulation 4 of  Annex I of MARPOL 73/78 to any cargo ship of _________ and IOPP should be issued.,400 GRT or more,300 GRT or more,500 GRT or more,fishing vessel,A
124,After survey in accordance with  Regulation 4 of  Annex I of MARPOL 73/78 to any tanker of ______ and IOPP should be issued.,150 GRT or more,400 GRT or more,Ro-Ro vessel,fishing vessel,A
125,"After you have thrown the liferaft and stowage container into the water, you inflate the liferaft by:",pulling on the painter line,forcing open the container which operates the CO2,hitting the hydrostatic release,using the hand pump provided,A
126,All compartments of the hull should be opened for survey and testing rotation to insure that the interval between consecutive examination of each period normally allowed by the regulation between special survey.,Continuous Survey,Periodical Survey,Intermediate Survey,Charterers survey,A
127,All fire hoses on a mobile offshore drilling units must be  tested to a pressure of at least __________.,100 psi,110 psi,120 psi,130 psi,A
128,All fire hoses on a mobile offshore drilling units must be tested to a pressure of at least.,100 psi,110 psi,120 psi,130 psi,A
129,All personnel on board a vessel should be familiar with the rescue boat __________.,boarding and operating procedures,maintenance schedules,navigational systems,fuel consumption rates,A
130,All self-propelled vessels on an international voyage must be equipped with how many Emergency Position Indicating Radio beacons (EPIRB)?,One approved Category 1 EPIRB,Three approved Category 1 EPIRBs,One approved Class B EPIRB,Two approved Class B EPIRBs,A
131,"All ships of _________ and upwards shall be inclined and the elements of their stability determined – according to SOLAS, Regulation II – 1 / 22.",20 m,100 m,150 m,79 m,A
132,All VESSEL personnel should be familiar with the survival craft __________.,boarding and operating procedures,maintenance schedule,navigational systems,fuel consumption rates,A
133,All vessels not required to have a power driven fire pump shall carry:,at least three 2-1/2 gallon fire buckets,an emergency hand fire and bilge pump,"a suitable, detachable pump usable for fire fighting purposes",not less than three hand fire pumps,A
134,"An ""ABC"" dry chemical fire extinguisher would be LEAST effective against a fire in:",a mattress,spilled liquids such as oil or paint,high voltage electrical gear,a trash can,A
135,An acceptable method of temporarily sealing a crack formed in the hull of a vessel is to:,apply a patch of sheet packing backed by a hole and shoring,drive the wedge,shore-up the crack with welded brace,doubler - plate to be fitted,A
136,An adverse effects due to free surface?,A portion of the liquid is removed from a full tanks,The vessel's is draft is decreased exposing more surface are to the wind and current,The vessel's draft increases this increasing the vessel's water plane area,The vessel is trimmed by the stern,A
137,An alarm signal consisting of seven short blast followed by one prolonged blast is sounded by the ship's whistle and alarm bells. What are you to do?,Go to your lifeboat station,Go to your fire station,Report on the bridge (deck crew) or engine room (engine crew) for further orders,Go to (or remain in) your cabin and await further orders,A
138,An aluminum power fire is classified as class,D,A,B,C,A
139,An empty compartment has a permeability of how many percent?,100%,80-85%,30-60%,0%,A
140,An example of a combustible liquid is __________.,lube oil,gasoline,butane,benzene,A
141,An important component of pre-planning for fire emergencies is the general arrangement drawing. What type of drawing is the general arrangement drawing? ,Side elevation view,Top plan view,Perspective view,End elevation view,A
142,An IOPP shall be issued after survey in accordance with Regulation 4 of Annex I of Marpol 73/78 to any tanker of _____ or more.,150 GRT,100 GRT,200 GRT,250 GRT,A
143,An oxygen indicator will detect __________.,the amount of oxygen in a space,the presence of harmful amounts of carbon monoxide,concentrations of explosive gas,all of the above,A
144,An unstable upright equilibrium position on a vessel means  that the metacenter is __________.,at the same height as the center of gravity,lower than the center of gravity,higher than the baseline,on the longitudinal centerline,A
145,Angular motion about the vertical axis of a vessel is known as:,yaw,surge,hog,roll,A
146,Another name for the garboard strake is the ___________.,a strake,Z strake,side keel plate,stringer plate,A
147,"Any change to the environment, whether adverse or beneficial, wholly or partially resulting from company activities, or services.",Environmental Impact,Environmental Performance,Environmental Target,Environmental Risk,A
148,Any firefighting equipment carried in addition to the minimum requirements on a VESSEL must __________.,meet the applicable standards,be marked as additional equipment,be stowed in a separate area,all of the above,A
149,"Any liquid which gives off flammable vapors at or below 80░F, as determined by flash point from an open cup tester, describes a __________.",flammable liquid,combustible liquid,nonflammable liquid,noncombustible liquid,A
150,Any suspicious act or circumstances threatening the security of the ship or of a port facility or any ship/port interface or ship to ship activity.,security incident,terrorism,hijacked,sabotage,A
151,"Apart from red, what other colour is frequently used for a CO2   extinguisher?",Black,Light blue,Green,Yellow,A
152,"Apart from red, what other colour is frequently used for a dry powder extinguisher?",Blue ,Black,Green,Yellow,A
153,Appendicitis has become common to seafarers. It is a condition characterized by ______________ of the appendix.,inflammation,rupture,breach,disrupt,A
154,Approximately how far could a straight stream of water reach if the fire hose pressure is reduced to 60 PSI?,50 feet,100 feet,150 feet,200 feet,A
155,"Aqueous Film Forming Foam (AFFF), commonly known as 'light water', is especially suitable for fighting  __________.",oil fires in the engine room bilges,class C fires in paint lockers,any class D fire,all of the above,A
156,"As  provided in  international laws,  what do  you  call the  accidental introduction  of a  substance by ships to estuaries which  result as harm to  living  resources or hazard to human  health?",Pollution,Disposal,Dumping,Sewage,A
157,"As a bridge officer, what would be the best thing  to do if the Master does not or cannot take the leadership?","Take action to start the process to solve the situation, but do it diplomatically","Take control, delegate some of the tasks to the Master",Take action to solve the problem in anyways,Take control for everything in the as the master cannot do his job ,A
158,"As a deck department manager, promoting safety is a fundamental consideration. In terms of the causes of accidents, which cause is responsible for most work-related accidents? ",Human factors,Environmental factors,Technical factors,Undetermined factors,A
159,"As per Annex II of MARPOL 73/78, Liquid Substance are those having a vapor pressure NOT exceeding:",2.8 kg/sq.cm.,3.5 kg/sq.cm.,2.5 kg/sq.cm.,4.5 kg/sq.cm.,A
160,"As per Annex of STCW Convention, Regulation II/5 with Manila amendments, every candidate for certification as able seafarer deck serving on a seagoing ship of 500 gross tonnage or more as a rating forming part of a navigational watch shall have an approved seagoing service in the deck department of not less than how many months?",18 Months,16 Months,12 Months,6 Months,A
161,"As per MARPOL 73/78 Annex VI, what is a permissible alternative to burning oil residue sludge in an appropriate incinerator? ","The oil sludge residue may be burned in a boiler OR engine, and it AND may be burned only in unrestricted waters (other than in port, in harbors, or estuaries).","The oil sludge residue may be burned in a boiler OR engine, AND it may be burned without restriction in terms of vessel location.","The oil sludge residue may be burned in a boiler only AND may be burned only in unrestricted waters (other than in port, in harbors, or estuaries).",The oil sludge residue may be burned in a boiler only AND may be burned without restriction in terms of vessel location.,A
162,"As per PMMRR '97 Regulation I/4 Paragraph 32, in a ship having discontinuous freeboard deck, the lowest line of the exposed deck and the continuation of that line parallel to upper part of the deck is taken as the:",freeboard deck,main deck,poop deck,accommodation deck,A
163,"As per PMMRR '97, a ship which is not a new ship is:",existing ship,"a ship registered before May 30, 1997","a ship registered before June 30, 1997","a ship registered before July 30, 1997",A
164,"As per PMMRR '97, electrical power shall be made available for 12 hours on the following EXCEPT:",main deck,"accommodation alleys, stairways and exits",gangway,cabins,A
165,"As per PMMRR '97, electrical power shall be made available for three hours on which of the following?","At the steering gear, if any",Every muster station,At the engine control room,At the bridge,A
166,"As per PMMRR '97, the vertical distance measured from the top of the keel to the top of the freeboard deck beam at side is:",moulded depth,freeboard,breath line,garboard,A
167,"As per PMMRR '97, when should cargo ships not classed shall be drydocked?",2 years ,Every year ,3 years,4 years,A
168,"As per PMMRR, Tankers are considered:",class C,class A,class B,class D,A
169,"As per PMMRR, which of the following is the uppermost deck up to which transverse watertight bulkheads are carried?",Bulkhead deck,Main Deck,Transverse deck,Longitudinal deck,A
170,"As per SOLAS Regulation, the capacity rate of ships emergency fire pumps shall be:",25 cu.m./hour,30 cu.m./hour,100 cu.m./hour,50 cu.m./hour,A
171,"As per SOLAS Regulation, the minimum Fuel supply for fast Rescue Boat shall last for:",4 hours,16 hours,8 hours,12 hours,A
172,"As per SOLAS regulation, the sufficient capacity of operation of air breathing apparatus that must be on board shall have a duration for use at least:",30 minutes ,20 minutes,45 minutes,60 minutes,A
173,"As per stipulated in the revised PMMRR, the ship's registration, documentation and licensing covers all types of motorized ships of domestic ownership and of more than:",3 gross tons,5 gross tons,8 gross tons,10 gross tons,A
174,"As per UNCLOS, every State has the right to establish the breadth of its territorial sea up to a limit not exceeding how many nautical miles measured from baselines determined in accordance with this Convention?",12,6,3,24,A
