"FUNCTION 2: ELECTRICAL, ELECTRONIC AND CONTROL ENGINEERING AT THE ENGINE  OPERATIONAL LEVEL",,,,,,
No.,Questions,Choice A,Choice B,Choice C,Choice D,Answer
21,"A resistance of 12 ohms is connected in series with 4, 5 and 6 ohms in parallel. What is the total resistance?",13.62 ohms.,10.0 ohms,12.02 ohms,14.89 ohms,A
22,A self-excited DC generator fails to come up to its normal 440 volts. The cause may be___________.,low armature speed,low rheostat resistance,excessive brush tension,excessive residual magnetism,A
23,"A series-wound motor is used to run a pump driven with a belt. If the belt breaks, the motor will:",overspeed and run out of control,stop,slowdown,keep running at the same speed,A
24,A shorted armature coil in a DC motor can be detected by __________.,4.9 and 5.1 milliamperes,shiny armature coil,worn grooves in the armature,undercut mica,A
25,"A three phase alternator is operating at 450 volts, 250 amps at 0.6 power factor. If the power factor increases to 0.8, the KW load will increase by ______.", 38.97 KW, 166.91 KW, 155.88 KW, 194.85 KW,A
26,"AC circuit has  capacitance arrange in series. If the line voltage remain constant, the capacitive reactance valve can be varied by changing the _________.",line frequency,resistance,number of commutating poles,number of inter poles,A
27,"AC circuits possess characteristics of resistance, inductance, and capacitance.  The capacitive reactance of a circuit is expressed in __________.",ohms,mhos,henrys,farads,A
28,AC generators voltage failure may be caused by____________.,failure of the exciter generator,a tripped bus circuit breaker,high mica segments on the stator bus bar,excessive prime mover speed,A
29,Airflex clutches are used to transmit power from a diesel engine to the propeller shaft. A restricted orifice is used in the control air system of this unit to,delay deflation of the clutch being disengaged,delay inflation of the clutch being engaged,reduce the deflation time of both clutches,reduce the inflation time of both clutches,A
30,"An ""instantaneous-trip"" type fuse will __________.",open as soon as the load current exceeds its set point,allow a preset delay between overcurrent and melting,open a circuit by using a time delay element with a magnetic trip,reset itself when the overcurrent is corrected,A
31,An across-the-line starter provides __________.,maximum torque,slow starting power,high speed,reduced voltage,A
32,"An ammeter reads slightly above 'zero' when its leads are disconnected, this is a result of __________.",mechanical misalignment of the meter pointer,a poor ground for the meter case,static electricity in the air,resistors inside the meter storing charges,A
33,An electric charge which remains in an insulated conductor due to a nearby charge of opposite polarity ________., Neutral charge, Bound charge, Block charge, Polarity charge,A
34,An electric controller for accelerating a motor from rest to normal speed and for stopping the motor and design for starting a motor in either direction of rotation includes the additional function of reversing and should be designed a controlled:, Starter, Across the line starter, Automatic starter, Drum controller,A
35,An electric propulsion drive system in which the propulsion generator supplies power to both the propulsion motor and ship service loads is referred to as a __________.,integrated system,dedicated system,composite system,multi-purpose system,A
36,An electronic motor controller that consist fo a pair of special back to back diodes that conduct very suddenly when the voltage exceeds a threshold value is called a ______________.,Diac,Triac,Thyristor,Cathode,A
37,An improperly maintained filter used in a hydraulic system  can __________.,reduce or stop the output action of the actuator,cause leaking of the flexible line connections,rupture the pump discharge piping,all of the above,A
38,An increase in current:,increase temperature,decreases temperature,has no effect on temperature,will double the temperature,A
39,An increase in which of the listed conditions will increase the speed of a synchronous electric motor?,Frequency,Voltage,Armature current,Inductance,A
40,An increase output voltage from an AC generators is obtained most practically by increasing the___________.,prime mover speed,Number of turns in the armature coils,current to the magnet coils,size of the exciter generators,A
41,An induction motor with low resistance rotor winding is___________.,high starting current,high slippage,high starting voltage,low starting voltage,A
42,An insulation resistance reading is taken at 20°C and found to be 10 megohms.  What would you expect the resistance reading to be at 40°C?,2.5 megohms,10 megohms,15 megohms,20 megohms,A
43,An ohmmeter reading of 'zero' ohms between the ends of a wire conductor would provide a positive indication of __________.,continuity,a partial ground,open circuit,a short circuit,A
44,An open coil can be detected by_______________.,high resistance ,low resistance,normal operation,needs adjustment,A
45,"An open in the armature of a DC motor is suspected, but is  not found by visual inspection of the commutator.  The next step in troubleshooting this problem is to __________.",not effect it due to compensation of the other generators ,visually inspect the armature windings,conduct an insulation resistance test of the armature,test the commutator for a ground,A
46,An open primary coil in a simple transformer will be indicated by which of the listed conditions?,not effect it due to compensation of the other generators ,An infinite resistance value on the secondary coil.,Low resistance value on the primary coil.,Overloaded secondary coil.,A
47,An over current protective device with a circuit opening fusible part that is heated and severed by the passage of over current though it is called a ________., circuit breaker, thermal overload, fuse, current - limiter,A
48,An unknown resistance in a circuit is to be tested using the voltmeter method. The meters should be connected such that:,the ammeter is in series and voltmeter is in parallel with the resistance,both meters are in parallel wih the resistance,both meters are in series with the resistance,the ammeter is in parallel and the voltmeter is in series with the resistance,A
49,Another name for a magnetic starter is a  __________., magnetic control, manual switch, contractor, manual starter,A
50,Any restriction in the instrument air piping of a pneumatic control system will __________.,delay transmission of the air signal,increase the transmitted air signal intensity,reduce the transmitted air signal value,accelerate transmission of the air signal,A
51,As load is added to an AC generator with a constant field excitation. The prime mover slows down:,lowering frequency and lowering generated voltage,increasing frequency and increasing generated voltage,increasing frequency and lowering generated voltage,lowering frequency and increasing generated voltage,A
52,Attempting to parallel an AC generator that is out of phrase with the bus will result in __________>, a breaker trip, KW increase, synchronization lamp damage, non-working power factor,A
53,Attempting to parallel an AC generator which is out of phase with the bus will result in which of the following problems?,The breaker should trip.,The KVA will decrease.,The synchronizing lamps will burn out.,The power factor will be unitized.,A
54,Autotransformer starters of compensators are sometimes used with polyphase induction motors to ________.,check the transformer ventilation fans for proper operation," Increase the voltage for ""across the line starting""", Provide a back-up means of voltage regulation for emergency starting, Allow the voltage to be either stepped up down depending on the application to ensure full torque,A
55,Autotransformers starters or compensators are sometimes used with the poly phase induction motors to:,reduce the voltage applied to the motor during the starting period,"inrease the voltage for ""across the time starting""",allow the voltage to be either stepped up or down depending the application to ensure full torque,provide a back-up means of voltage regulation for emergemcy starting,A
56,"Before testing insulation with a megohmmeter, the windings  of large machines should be grounded for about 15 minutes just prior to the test, because the __________.",static charge of the machine may give a false reading,armature will have a greater number of leakage paths,insulation may be damaged,insulation may be covered with moisture,A
57,By adding resistance in series with the shunt field winding of a DC motor with no load will cause the motor to_____________.,increase,decrease,Fluctuates rapidly,remain the same,A
58,Capacitors are commonly used on power supply circuits for engine room automation consoles to __________.,filter out 'ripple' from rectification,prevent overloads,act as a permanent load,decrease the average value of the output voltage,A
59,DC generator communication can be corrected for armature reaction by the use., compensating armature windings, Interpoles, Laminated pole pieces, Changes in resistance of the field,A
60,Generators with the same voltage at no load and maximum load but with the peak voltage in between are ,Flat compounded,over-compounded,special nonconductors,all of the given answers,A
61,How are ammeter connected in measuring the current flow in a circuit?,Series,Parallel,Supply voltage,Series / Parallel,A
62,How can the chance of contaminating hydraulic fluid be decreased when working on hydraulic systems?,Clean the fittings before they are disconnected.,Place drip pans under leaky fittings.,Seal any cracks in lines with Permatex.,Coat all threads with graphite oil.,A
63,How is the rotation od a D.C generator reversed?,reverse field connections,switch armature leads,switch armature leads,both D and C,A
64,Humming or buzzing of electric contacts is a symptom of __________.,low voltage on the operating coil,power failure to the operating coil,a control circuit ground,a control circuit overload,A
65,Hysteresis is __________.," the lagging of magnetism, in a magnetic metal, behind the magnetizing flux which produces is", the opposite of impedance, the tool used to read the specific gravity of a battery,None of these choices,A
66,"If a DC motor runs faster than designed, with all other conditions being normal, the possible cause could be a/an __________.",open shunt field coil,open armature coil,reversed commutating pole,overload,A
67,If a small electric motor is imersed in salt water it should be __________.    I.  washed in fresh water and thoroughly dried   II. initially started with reduced voltage,I only,II only,both I and II,neither I or II,A
68,"If a three-phase induction motor is operated under a light load and it develops an open in one of its supply lines, the motor will __________.","continue to run, but will vibrate and have reduced torque",speed up due to the reduced number of poles,run cooler due to reduced current flow,stop,A
69,"If air gap readings for an electical generating machine have changed significantly from the last reading, you should check  __________.",the bearings,insulation readings and machine cleanliness,the prime mover thrust bearing,the field coil bolts for the proper torque values,A
70,"If an AC motor is started and produces 25 horsepower, the generator panel KW meter reading will increase by __________.",18.65 kW,25.65 kW,30.65 kW,37.65 kW,A
71,"If overloading an electric motor becomes necessary in an emergency, you should __________.",933,hold thermal overload relays open with blocks of wood,inject small amounts of CO2 into the windings for cooling,increase the residual magnetism value of windings to reduce eddy currents,A
72,"If the excitation is increased to one of two alternators operating in parallel, the __________.",power factor will change in the lagging direction,power factor will change in the leading direction,kilowatt load will be greatly increased,ampere load will be greatly decreased,A
73,"If the resistance is increased in the shunt field of a motor, the motor will",speed up,slow down,run at the same speed,stop,A
74,"If there is a reduction in the normally supplied frequency  to a 120/240 volt, three-phase AC current motor from 60 hertz to 55 hertz, the motor would __________.",run at a slower speed,operate at a lower current,vibrate excessively,trip off the line,A
75,If you are changing connection on a DC motor and you reverse both the field an armature lead the:, Direction of rotation will be the same, Direction of rotation will be reversed, Motor won't run, Motor will run as a generator,A
76,"If you disconnect and arrange both ends of a three conductor cable, without any contact between the individual conductors, a low ohmic value between the ends of a  single conductor would indicate  __________.",continuity of the conductor,an infinite resistance,the presence of a partial ground,that the conductor is not short circuited,A
77,In a 12-volt battery there are how many cells?,6,4,2,8,A
78,"In a hydraulic starting system, oil to the starting motor flows from the ",accumulator,reservoir,hand pump,electric pump,A
79,"In a three-phase circuit, the phase voltages are __________.",120° apart,160° apart,180° apart,360° apart,A
80,"In a typical hydraulic system, return lines to the reservoir are terminated below the normal oil level to prevent __________.    I. foaming of the oil   II. condensation of warm oil vapors upon return",I only,II only,Both I and II,Neither I and II,A
81,"In addition to short circuits and sustained overloads, fuses are likely to blow due to __________.",loose fuse clips,low ambient temperatures,low contact resistance,all of the above,A
82,"In an AC generator, direct from a separate source is passed through windings of the rotor.",by means of slip rings and brushes,by means of a commutator,by means of rotating bar magnet,to minimize the danger of an arc cover,A
83,"In DC generators, brush sparking caused by coil inductance discharges at the moment of commutation overcome by________________.",step-up transformer,installing copper-graphine composition brushes for better conduction,eliminating any magnetic field around the brushes,increasing spring tension of the brush rigging,A
84,"In general, D.C. propulsion motor brush sparking can be caused by __________.","incorrect brush grade, pressure or position",a concentric commutator,a dark chocolate colored commutator,all of the above,A
85,"In measuring the AC current flow, you should always  connect the meter in____________.",series with the power source and load,parallel with power source and load,insuring correct polarity,using the lowest range possible,A
86,"In radiographic inspections, the standard test piece included in every radiograph provides an effective check on the overall quality and bears a numerical relation to the thickness of the part being tested.  This piece is called a/an __________.",penetrometer,intensimeter,lead filter gauge,exposure screen,A
87,Inductance is the property of an electric circuit that ______., Opposes any changes in the current through the circuit, Opposes any change in the applied voltage, Aids any change in the applied voltage, Aids any change in the current through the circuit,A
88,Interpoles are connected in:,series with the armature,series with the shunt field,parallel with the armature,paralell with the series field,A
89,It is a kind of alternator having all the armature conductors connected in series as one winding across which an output voltage is generated.,Single-phase,Double-phase,Three-phase,Multi-phase,A
90,"It is a kind of circuit protection device, where the trip mechanism is actuated by a small armature if excessive current is sensed in the circuit.",shifting the neutral plane of the brush rigging,Thermal Breaker,Safety Fuse,voltage regulator,A
91,It is a kind of maintenance system if you replaced a heavily worn out impeller only found out during its pumping operation.,Breakdown,Planned,Condition,Operational,A
92,It is a material widely used as electric cable due to its good conductivity.,Copper  ,Lead  ,Brass,Aluminum,A
93,It is a part of a D.C. motor that causes the reversal in the polarity of the  field and makes a contineous rotation of the motor.,Commutator,Windings,Slip rings,Carbon brushes,A
94,It is a resistance that is placed in series with the armature that prevents the damage to the armature winding due to high current in the initial running of a motor.,Starting Resistor,Rheostat,Variable Resistor,Potentiometer,A
95,It is a system where the direct current always flows in one and constant direction.,Direct current ,alternating current,parallel connection,series connection,A
96,It is an electric D. C. motor that operates with the field coil connected in parallel with the armature.,Shunt wound,Series wound,Single phase,Three phase,A
97,It is by placing this electrical part across the motor terminals to improve its power factor.,Capacitor,Rheostat,Conductor ,Resistor,A
98,It is the equivalent in pounds per square in (PSI) a pressure of 1 kgs/cm2.,14.22,14.43,14.56,14.78,A
99,It is the machine that converts an electrical power to the mechanical power.,Motor,Stator,Generator,Alternator,A
100,It is the method of serving electric power vfrom one point to another by using conductors.,Transmission lines,Wave form,Telegraphic transfers,Electornic device,A
101,It is the number of times that the armature was being rotated in a period of one second in an alternating current generator.,Cycle ,Voltage,Revolution,Current ,A
102,It is the reason why the entire core and coil assembly of transformer are dipped in an insulating varnish and baked in solid mass.,avoid vibration and wear,avoid loss of current,obtain more efficient voltage regulation,obtain more efficient insulation,A
103,It will be the field current if a 9 ampere current will flow in a resistor 20 ohms and 40 ohms connected in parallel.,3,6,9,12,A
104,Large cable sizes are formed as individual conductors that  may be comprised of several smaller strands to __________.,obtain the flexibility required for easy handling,reduce the overall weight of the wire run,reduce the number of supports needed for a horizontal overhead run,all of the above,A
105,Lead-acid battery is checked by a/an _____., Hydrometer, Ohmmeter, Viscosimeter, Manometer,A
106,On la D.C generator where is the pigtail located?,feather spring,conductors,brush holder,spiral adjusting spring,A
107,One kilowatt is equal to:,1.34 horsepower,1.25 horsepower,1.50 horsepower,2.00 horsepower,A
108,One method of testing for a reversed shunt field coil in a DC generator or motor is by connecting the field to a direct current source reduced from the fields rated voltage and then testing for polarity using a/an _______., iron bar across each field, magnetic compass placed near each field, test lamp across adjacent field, copper jumper across the interpole connection,A
109,Overheating of the oil in a hydraulic system can be caused by __________.,continuous leakage through the pressure relief valve,an increase in the number of the hydraulic fluid film layers,insufficient external pump slippage,fluctuating pump discharge pressure in response to normal  load variations,A
110,Portable power hand tools are grounded to the _______________.,body,armature,field ,swirtch,A
111,Return lines to hydraulic systems reservoirs should________.,end the return line as far as practicable from the pump  suction,end the return line as close to the pump suction as possible,"provide a ""P"" or ""S"" trap in the return line as close to  the reservoir as possible to trap sediment from entering the tank",connect the return lines directly to the cleanout and inspection plates to limit the number of openings on the reservoir,A
112,The action of converting alternating current to direct current by splitting the slip ring and connecting the ends of the coil to the segments of the slip ring is called _____________.,dividing the brush contact area by the spring pressure,Magnetism,Rectifying,Winding,A
113,The basic operating principle of a transformer is attributed to __________.,electromagnetic induction,variance of a conductor in a magnetic field,mutual reaction,thermionic emission,A
114,The circuit protection device where the trip mechanism is actuated by  a small armature when an excessive current is sensed in the circuit is called____________.,Magnetic Breaker,Thermal breaker,Safety fuse,voltage regulator,A
115,The cycle per second of the alternating current from the alternators aboard your ship are determined by ____________.,the speed of the engine during the alternator,the resistance applied to the field rheostat,the synchronous speed of induction,the adjustment made to the voltage regulator,A
116,The D.C. motor that operatoes with the field coil connected in parallel with the armature is a ________.,Shunt wound,Series wound,Single phase,Three phase,A
117,The device is being installed in an AC main switchboard but cannot be found in a DC main switchboard is the ____________?,Frequency Meter,Voltage Regulation,Governor Control,Voltmeter,A
118,The 'dielectric constant' of dry air or a vacuum is __________.,1,10,100,1000,A
119,The diversion of load between two parallel running generators is determined by the __________.,dangerous acid burns, field excitation of the engine, number of poles in the alternator, all of the choices,A
120,The electric device being used to reduce the voltage from the main source to the local use or distribution is called a/an___________.,transformer,inverter,converter,Rectifier,A
121,The extra terminal in a controlled rectifier that is being widely used as an eletronic motor speed controller is _____________., 0.5 volts,Diode,Anode,Cathode,A
122,The governor control switch of an alternator is moved to the 'raise' position.  This action will __________.,raise the no-load speed setting of the governor,raise the percentage of speed droop,lower the no-load speed setting of the governor,lower the percentage of speed droop,A
123,The hydraulic graphic symbol illustrated in Fig. B is used  to represent a/an __________.,variable orifice,piloted choke,belle ville spring,check valve,A
124,The inductive reactance of AC circuit is express in _________________.,ohms ,mhos,henrys,farads,A
125,The insulation resistance of electric equipment and machinery should be tested for the lowest normal insulation values __________.,immediately after shutting down the machine,every time the brush rigging is adjusted,immediately after starting up the machine,every 30 days whether the machine is in use or not,A
126,The kind of alternator having all the armature conductors connected in series as one winding across which an output voltage is generated.,Low lube oil pressure,Double-phase,Three-phase,Multi-phase,A
127,The kind of overload relay that is being actuated by an electromagnetic coil is called a __________.,magnetic ,thermal ,current,voltage,A
128,The leads from a ohmmeter are attached to the leads of an AC motor field coil.  A reading of infinity is obtained indicating a/an __________.,open field coil,shorted field coil,grounded field coil,shunted field coil,A
129,The loop of wire that rotatyes through and cut the magnetic field in a generator is called the __________.,Armature,Poles,Slip ring,Carbon brushes,A
130,The machinery that cannot be started inside the control room in an automated vessel is_______________.,auxiliary boiler,main engine,generator engine,circulating pump,A
131,The material that is used a electrical cable due to its good conductivity is_________.,Copper  ,Lead  ,Brass,Aluminum,A
132,The measuring device where the reading can be indicated through the expansion of a high resistance wire is called a _________________?,thermocouple,thermometer,pressure gauge,compound gauge,A
133,The megohmmeter reading of a grounded should be____________.,zero ,at infinity,unsteady in the high range,unsteady in the low range,A
134,The method of serving electric power from one point to another by using conductors is by_____________.,Transmission lines,Wave form,Telegraphic transfers,Electronic device,A
135,The mica used in the commutators of DC machinery is __________.,harder than copper,softer than copper,the same hardness as the copper,softer than copper but wears away at a slower rate,A
136,The molded-case breaker provides protection against short circuits by using a/an ____________.,electromagnetic,shading coil,arc quencher,burn away ship,A
137,"The motor controller contains three push button labeled ""start"", ""jog"" and ""stop"". When the jog button is pushed, the motor ________.","will ran until the ""jog"" button is released","cannot start until both the ""jog"" and ""start"" button are pushed","will run continuously after the ""jog"" button is released","cannot stop unless the ""stop"" button is pushed",A
138,The need for insulation cleaning may be determined by __________.,visual inspection for dirt accumulation,high megger readings,low operating temperature,the time period since the last cleaning,A
139,The points where the safety alarms are installed in the operation of a cargo winch are _______________.  I - Maximum boom down  II - Lowest boom down  III - Cargo overweight,"electromagnetic field, revolving armature type",I and III,II and III,"I, II, and III",A
140,The polarity of the pole pieces of a self-excited DC generator has been lost. Properly flashing the field result in _______________.,restorating of proper residual magnetism,realignment of the communicating poles,raising the no load voltage drop,the removal of silicone contamination,A
141,The polarity of the pole pieces of a self-excited DC generator has been lost. Properly flashing the field result in _______________.,electromagnetic field revolving armature type,realignment of the communicating poles,raising the no load voltage drop,the removal of silicone contamination,A
142,The power factor of an AC generator singularly is determined by the ________., connected load, prime mover speed, field excitation, generator rated voltage,A
143,The purpose of a rectifier is to:,change A.C to D.C ,change D.C to A.C,change the frequency of A.C current,change the voltage of D.C current,A
144,The rating of a storage battery that delivers 15 amps for 12 hours is:,180 ampere hours,150 amperes hours,27 amperes hours,360 ampere hours,A
145,The relay contacts and the wiring that carries the load current in a switch is called____________.,complete circuit,pilot circuit,power circuit,control circuit,A
146,The resistance of a conductor varies __________.,directly as its length and inversely as its cross-sectional area,inversely as its length and directly as its cross-sectional area,directly as its length and directly as its cross-sectional  area,inversely as its length and inversely as its cross-sectional area,A
147,The resistance of a copper wire to the flow of electricity:,increases as the length of the wire increases,decreases as the diameter of the wire decreases,decreases as the length of the wire  increase,increases as the diameter of the wire increases,A
148,The resistance of wire or cable in an electrical installations is propotional ti the ____________.,Length of wire,Area of wire,Insulation of wire,Material of wire,A
149,The rotor slots of a repulsion-type motor are generally skewed (placed nonparallel to the rotor axis) to __________.,produce a constant starting torque,permit a greater air gap with the starter,permit a smaller air gap with the starter,reduce eddy current losses,A
150,The shipboard general alarm system must receive its main source of power from __________.,a storage battery,the emergency generator,an auxiliary generator,the ship's service generator,A
151,The shunt of a DC ammeter should be connected in __________.,series with the load and in parallel with the meter movement,parallel with the load and in series with the meter movement,parallel with the load and in parallel with the meter movement,series with the load and in series with the meter movement,A
152,"The signal representing the controlled condition along the separate provided for the purpose, for comparison with signal representing the command signal to form a signal representing the deviation.",Monitoring feedback, Positive feedback, Negative feedback, Feed forward control,A
153,The small variable shunt connected across the series field coils to permit adjustment of the degree of compounding is called_____________.,Diverter,Divider,Resistor,Rheostat,A
154,The standard procedure for maintaining the charge in an emergency diesel starting battery is to trickle charge the  battery __________.,continuously,at least once each week,whenever the charge falls to 75% of full charge,whenever the electrolyte specific gravity falls to 1.250 or lower,A
155,The system where the direct current always flows in one and constant direction called the _______________.,Direct current ,Alternating Current,Parallel Connection,Series Connection,A
156,"The torque produced by a motor when its shaft will not turn, even though rated voltage is applied to the stator, is known as __________.",locked-rotor torque,pullout torque,breakdown torque,torque margin,A
157,The total voltage of a series circuit is the __________.,sum of the individual voltage drops,total resistance divided by the total current,sum of the individual currents multiplied by the number of  resistors,total current divided by the total resistance,A
158,The unit of the power that is being used in moving electrons from point to another is a/an,Watts,Amperes,Volts,Ohms,A
159,"The use of four diodes, in a full-wave bridge rectifier circuit, will __________.",provide unidirectional current to the load,allow a very high leakage current from the load,convert direct current to alternating current,offer high opposition to current in two directions,A
160,The voltage produced in a single phase generator for the greatest output is at__________.,90 and 270 degress,90 and 180 degrees,0 and 180 degrees,180 and 360 degrees,A
161,These are some of the important components of a D. C. motor.                          I.Commutator                         II. Brush                                   III.Tachometer,counter EMF,I & III,II & III,"I, II & III",A
162,This can be obtained in an open circuit if we use the instrument called megger tester.,Insulation efficiency,Resistance of wire,Maximum load,Current flaw,A
163,This element is placed inside switchboard boxes of deck machineries outside the engine room to avoid formation of moisture on electric parts.,Selica gel,Carbon tetracholoride,Absorbent material,Sodium chloride,A
164,This is a D.C. generator where the field is supplied from an external source.,Self excited,Separately excited,Shunt,Compound,A
165,"To conduct an in-circuit test of a transistor, you should use a/an __________.",voltmeter or transistor tester,impedance meter,ohmmeter or transistor tester,wattmeter,A
166,"To correct reversed residual magnetism in a self-excited DC generator, you must___________.",insulate the brushes from the commutator and flash the field,reverse the exciter connections,short circuit the armature and series field thorough a fuse,short circuit and the shunt field thorough a fuse,A
167,"To current reversed residual magnetism in a self-excited DC generator, you must_____________.",insulate the brushes from the commutator and flash the field,reverse the exciter connections,short circuit the armature and series field thorough a fuse,short circuit and the shunt field thorough a fuse,A
168,"To determine the state of charge of a nickel-cadmium battery, you would use a/an __________.",voltmeter,hydrometer,ammeter,potentiometer,A
169,To equalize the power factor of two alternators operating in parallel the________________.,field excitation of both units is adjusted,governors of both unit are adjusted,phase sequence is altered,kilowatt load is evenly divided,A
170,"To repair a small electrical motor that has been submerged  in saltwater, you should __________.",wash it with fresh water and apply an external source of heat,renew the windings,send it ashore to an approved service facility,rinse all electrical parts with a carbon tetrachloride cleaning solvent and then blow dry the motor with compressed air,A
171,"To repair small electrical motor that has been submerged in saltwater, you should_______________.",Wash it fresh water and apply external heat,Renew the windings,send it ashore to an approved service facility,rinse all electrical part with a carbon tetrachloride cleaning solvent and then blow dry the motor with compressed air,A
172,Transformer cores are laminated to reduce __________.,eddy currents,secondary flux,leakage flux,all of the above,A
173,Two 100 watt light bulbs are connected in parallel across a 100 volt power supply. The total power developed in the circuit is __________.,200 watts,100 watts,50 watts,equal to the product of the amperes times the voltage in each branch,A
174,"Two alternators are operating in a parallel. If there is an increase in load and decrease in voltage, the automatic voltage regulator will_______________.",cut out the field resistance ,cut in the filed resistance,cut in armature resistance,cut out armature resistance,A
175,"Universal motors will operate on AC or DC current, and are  generally found in __________.",portable tools,large pump motors,turbo electric main motors,forced draft fans,A
176,Ventilation is required in battery rooms to_________________.,avoid flammable gas accumulation,prolong battery life,avoid toxic vapor accumulation,prevent battery discharge,A
177,Voltage failure of an AC generator may be caused by ________., failure of the exciter generator, a tripped bus circuit breaker, high mica segments on the stator bus bar, excessive prime mover speed,A
178,What device is being installed in an AC main switchboard but cannot be found in a DC main switchboard?,frequency of the applied voltage,Voltage Regulation,Governor Control,Voltmeter,A
179,What do you call the connection/s in two battery cells wherein the positive terminal are connected together at the same time the negative termiinal are also connectd together of two battery cells. I - Parallel  II - Series  III - Series/Parallel,Any time it is deemed necessary.,II only,I & II,I & III,A
180,What do you call the electric instrument consist of an ammeter connected in series with a resistor that limits the current flow?,voltmeter,wattmeter,ohmmeter,potentiometer,A
181,What electric device that must be fitted in all generator circuit breakers?,Overcurrent Relay,Step up transformer,Step down transformer,Frequency meter,A
182,What element is placed inside switch boxes of deck machineries outside the engine worn to avoid short circuits?,Selica gel,Carbon tetracholoride,Absorbent material,Sodium chloride,A
183,What is a poor conductor material that becomes glow red or white hot when heated from conducting electricity?,Tungstern,Mercury,Phosphor bronze,Carbon steel,A
184,What is an electronic motor  controller that consist of a pair of special back to back diodes that conduct very suddenly when the voltage exceeds a threshold value?,Diac,Triac,Thyristor,Cathode,A
185,What is the approximate discharge voltage produced by one cell of a wet type nickel-cadmium battery?,1.25 volts,1.5 volts,2.2 volts,6.0 volts,A
186,What is the equivalent in degrees Fahrenheit if a thermometer can measure a maximum temperature of 500 degrees Celsius.,932,800,902,887,A
187,What is the first stpe in removing a generator from parallel operation?,remove the load from the off going generator,trip the generator off the switchboard,turn off all electrical equipment,increase the cycles of the generator staying on the line,A
188,What is the lowest permissible flashpoint of the oil used in a hydraulic valve actuating system that operates at 145 psi (1000kPa)? (46 CFR Part 58),200°F (93°C),212°F (100°C),300°F (149°C),315°F (157°C),A
189,What is the machine that is being used to convert mechanical to electrical power.,Generator,Motor,Stator,Commutator,A
190,What is the measuring device where the reading can be indicated through the expansion of a high resistance wire?,thermocouple,thermometer,pressure gauge,compound gauge,A
191,What is the method of sending electric power or signals from one point to another by using conductors?,Transmission lines,Wave form,Telegraphic transfers,Electronic device,A
192,What is the system where the direct current always flows in one and constant direction.,Direct current ,Alternating Current,Parallel Connection,Series Connection,A
