FUNCTION 2: CARGO HANDLING AND STOWAGE AT THE DECK MANAGEMENT LEVEL,,,,,,
No.,Questions,Choice A,Choice B,Choice C,Choice D,Answer
44,"A vessel has a displacement of 25,000 cubic meter of density 1.025 kg/cubic meter. Find the density of water in which she would displace a volume of 25,123 cubic meter.",1.015,1.018,1.010,1.020,D
45,"A vessel has a draft 9.25 m F and 9.30 m A in salt water. After loading, her final draft are 12.00 m F and 13.50 m A, causing the center of gravity to move aft from amidship by 63 cm while buoyancy moves forward from amidship by 0.25 meter. Find the displacement of the vessel if TPC and MTC are 180 tonnes and 401 tonnes, respectively.","63,850 tonnes","69,215 tonnes","64,543 tonnes","66,074 tonnes",D
46,A vessel has an amidships superstructure. Which location would be most suitable for main deck stowage of vehicles?,On top of # 1 hatch,"Beside the hatches, forward of the amidships house",On top of the aftermost hatch on the vessel,On top of the hatch immediately aft of the amidships house,D
47,"A vessel has to cross a bar where the maximum depth of water is 9.65 m. The present drafts are 7.60 m F and 9,12 m A. What is the minimum amount of ballast to transfer forward through a distance of 62 m in order to cross the bar with an even keel clearance of 0.80 m? LBP 136 m, MCTC 248 and LCF 65.6 m FOAP.",214 tonnes,235 tonnes,218 tonnes,224 tonnes,D
48,A vessel of 14000 t displacement is 160 m long and 20 m wide at the waterline. If she is floating in SW at a draft of 6.1 m. find her block coefficient.,0.56,0.65,0.7,0.83,D
49,A vessel will heel to a static angle when a wind force causes it due to __________., deck-edge immersion occurs,centers of buoyancy and gravity are in the same vertical line, center of buoyancy remains the same,righting moment equals the wind-heeling moment,D
50,A virtual rise in the center of gravity of a vessel may be caused by:,emptying a partially filled tank,filling a partially filled tank,transferring pipe from the setback area to the pipe rack,using fuel from a pressed fuel tank,D
51,"A weight is discharge below the original height of center gravity, which of the following will happen?",GM increases,draft increases,KB increases,KG increases,D
52,"According to the IMO Code, what are the minimum number of securing points that should be on each side of a "road vehicle"' whose gross vehicle mass is between 30 Tons and 40 Tons, when carried on Ro-Ro vessels?",one,Two,Three,Four,D
53,"After a partial discharge and prior to sailing, it is important to:",carry out a cargo survey, thoroughly ventilate,redo the cargo plan,secure and shore the remaining cargo,D
54,"After inspection, the mate reported about the vessel's condition to be "Sagging". It means:",midship draft is bigger than the forward end,"The weight is concentrated at the ends of the ship, bending its structure.",A hold is overloaded.,midship freeboard is smaller than the ends,D
55,"After ships construction, the reasons why the “plimsoll” mark is welded at the center on both sides of the vessel are to:I. know the maximum draft at full loadII. know maximum draft at different portsIII. know maximum draft in fresh water",I only,II only,I and II,"I, II and III",D
56,Air compressors are NOT permitted in which space(s) on a tank barge carrying grade A cargo?,A cargo handling room,A space in which cargo hose is stored,An enclosed space containing cargo piping,All of the choices,D
57,All infectious substances should be stowed _________ all foodstuffs.,""Away from"",On deck only,""Separated from"",""Separated from a complete compartment or hold from"",D
58,All liquids can change into vapor and the process is called:, Liquefaction,condensation,emulsification,evaporation,D
59,All liquids can change into vapor and the process is called:, Liquefaction,condensation,emulsification,evaporation,D
60,"Although there is oxygen, the supply of petroleum vapor is incapable to produce combustion.",The upper flammable limit,The melt down point,The auto ignition temperature,The lower flammable limit,D
61,An LNG carrier has an approved type of gas detecting system to detect methane leaks in the ,cargo handling rooms,barrier spaces,boiler burner supply piping,all of the choices,D
62,Another name of spurling pipe is __________,chain locker pipe,bell mouth hawse pipe,cow head pipe,navel pipe,D
63,Any combustible liquid having a flash point of 150°F or above is grade:,A,B,D,E,D
64,At any given draft the TPI of a vessel can be found by dividing the area of the water plane by:,460,120,240,420,D
65,"Bales of wool with a stowage factor of 100 is to be loaded in No.3 lower hold which has a bale cubic of 72,000. How many tons of the wool can be stowed in the compartment, assuming 10% broken stowage?",493,577,602,648,D
66,"Ballast condition both on departure and on arrival shall be assumed that on arrival, oil fuel, fresh water, consumable stores and the like are reduced to ____________.",empty,5 percent of their capacity,12 percent of their capacity,10 percent of their capacity,D
67,Ballast lines to deep tanks should be:, flooded to keep pumps primed, flushed weekly,ultrasonically tested annually,blanked prior to loading dry cargoes,D
68,"Before entering a fuel tank that has been cleaned, it should be checked with an oxygen indicator and a/an __________. ",halide torch,flame safety lamp,orsat apparatus,combustible gas indicator,D
69,"Bilge pumping and piping arrangements in every cargo ship should, in general, be capable of discharging water from any compartment when the ship is on even keel or listed not more than __________.",15 degrees either way,10 degrees either way,8 degrees either way,5 degrees either way,D
70,Bilges of cargo holds should be regularly sounded. Bilge soundings indicates:,the amount of condensation in the hold,whether the cargo is leaking or not,whether the ship is taking in water,All of the choices,D
71,Bulk cargo refers to ________.,cargo which occupies a large volume of space,cargo which requires refregiration,cargo which is very dense,homogeneous cargo not enclosed in a container,D
72,"Bulk carriers have how many longitudinal watertight bulkheads which permits the ship to have a minimum freeboard under the International Load Line Convention, equivalent to that for a tanker?",four,three,none,two,D
73,Bulwarks and guard rails are fitted at a height of at least _______.,1.2 meters,0.9 meter,0.85 meter,1 meter,D
74,"Calculating the "Strength of the ships" are made difficult due to varied forces to which the ship structure is subjected during its lifetime, such as statical force. Statical forces are due to the following, except:",direct hydrostatic pressure,concentrated local weights ,buoyancy forces,"Pitching, heaving and rolling",D
75,"Cargo Security Program. To minimize pilferage, each terminal and transfer facility must have a comprehensively developed and continuously improving cargo security program. To be effective onboard, the program should include the:",A complete study of all aspects of the cargo transfer and in-transit storage operation in order to identify security strong points,Complete instructions in cargo security for terminal personnel.,Implementation of physical security policies on the ins and out of the terminal.,Use of theft prevention and detection equipment.,D
76,Cargo that gives off fumes that may contaminate other cargo is known as a(n) _________.,delicate cargo,dirty cargo,toxic cargo,odorous cargo,D
77,Cargo that is suitable for carriage on Ro-Ro vessels includes ________.,trailers,rolling vehicles,containers ,All of the above,D
78,Cargo that is suitable for carriage on Ro-Ro vessels includes:,trailers,containers,rolling vehicles,all of the choices,D
79,Cargo which is shipped by value is considered:,insured cargo,weight cargo,measurement cargo,ad valorem cargo,D
80,Causes of corrosion in the cargo tanks include the following: I. Water in cargo tanks II. High humidityIII. High Temperature IV. Structural flexing,"I, II and IV are true","I, III and IV are true","II, III and IV are true","I, II, III and IV are true",D
81,"Container vessels are provided with box girders designed to resist torsional stresses at the deck, given the lack of structural material resulting from large deck opennings.",bearing box,box girders,panting box,torsion box,D
82,Crates are lightly constructed containers built as a framework with open sides and tops. They are used for ocean shipping in general cargo vessels. Which statement below is the proper procedure in handling crate cargoes?,"During transit, the crates should be stiffened by the use of horizontal pieces of lumber",The bottoms are hollow with well-built foundations that support their internal weight,"When crates are stowed, tiers should be kept level by laying burlap cloth between them",The dunnage may be spaced about 4 inches apart,D
83,"Dangerous goods shall be loaded, stowed and secured throughout the voyage in accordance with the ____________________.","Loading Plan approved by the Master, Charterers and Owners","Cargo Securing Manual approved by the Master, Owners and Charterers",Cargo Data Sheet Advisory on how to handle the dangerous cargoes,Cargo Securing Manual approved by the administration,D
84,"Decks must be kept reasonably clean and clear of gear and equipment. In order to accomplish this, crew members should:",Stack hatch covers at least 3 meters from the coaming and secure them so that they cannot fall into the hatch. ,"Stow wire, topping lifts, spare falls, beam bridles, hatch tarpaulins, and other gear where personnel will trip over them.","Coil hauling parts of guy tackles or other rope where they will be damaged by cargo, gear, or hot steam pipes",Not stow excessive amounts of dunnage on deck,D
85,"Displacement of your vessel is 10,000 tons, TPI is 50, difference in densities is 12. Find Immersion.",cannot be computed,3.4 inches,4.2 inches,2.4 inches,D
86,"Distance from the waterline to the top of keel, measured at amidships is called __________.",summer draft,statutory draft,moulded depth,draft moulded,D
87,Drums are made of steel. Which statement below is the proper procedure in handling Drum cargoes?,Lay dunnage athwartship approximately 50 inches apart on the deck and place drums on the dunnage,Place dunnage between the first row of drums and the Double Bottom Tank to stow the first tier,Work from the center to the wings of the hold.,Place dunnage between the first row of drums and the bulkhead.,D
88,"During stability calculation, the estimated total weight and the longitudinal and vertical center of gravity of each such total weight should be based on ______________",total weight of the cargoes only ,"fuel oil, lube oil, fresh water, ballast, constant or deadweight capacity",total deadweight capacity less 10 % consumables ,"passengers, crew and their effects in case of passenger ship",D
89,"During the ballast voyage, how are the tanks kept cold on an LNG tanker?",Aggressive gas compressor operation,Venting gas to the atmosphere,Managing the tank pressure,Spraying LNG heel through spray nozzles in the tanks,D
90,Eductors are used within oil tanker cargo operations for:,commencing cargo discharge,heating the cargo,commencing cargo loading,cargo stripping,D
91,Effect of discharging a weight:,G will move directly towards the center of gravity of the discharged weight,G will move parallel to and the same direction of the discharged weight,G will move away from the center of buoyancy of the discharged weight,G will move away from the center of gravity of the discharged weight,D
92,Electric cargo winches have an overload safety device which normally cuts the current to the winch motor __________. ,when the line pull reaches the breaking strength of the fall,before the safe working load of the fall is reached,before the line pull reaches the rated capacity of the winch,after torque causes line pull to exceed the rated capacity of the winch,D
93,Even ballast tanks that are initially full may become slack as the voyage progresses due to constant rolling and pitching ________________ ,causing the G to rise as as ballast water is agitated,causing the GM to decrease,causing the GM to increase as heaving of water is pronounced,causing water to escape from air pipes on deck.,D
94,Every passenger ship with ro-ro cargo spaces shall be provided with supplementary lighting capable to operate up to:,12 hours,6 hours,9 hours,3 hours,D
95,"Find the angle of heel for the worst condition if weights are to be shifted and lifted respectively. First, weight is 50 tons, shifted to a distance of 30 feet from the centerline. The other weight is 50 tons to be lifted at a distance of 50 feet from the centerline. GM is 3.7 feet, displacement is 20,000 tons.",none of these,0.054º,5.3º,3.0º,D
96,"Find the displacement of your vessel, if the deduction of your vessels freeboard when loading in fresh water is 7.4 inches, the TPI is 52 tons at summer load draft.","15,100 tons","15,240 tons","15,100 tons","15,400 tons",D
97,"For any vessel, the true measure of a vessel's stability is her ________________",metacentric Height (GM),KN Curves,Positive stability,righting moment,D
98,"For general cargo, thorough hold preparation is required. This is mainly to ensure that:",bilges are clean and working,the previous cargo value is realized,all dunnage is renewed,the next cargo is carried efficiently and safely,D
99,GENERAL RULES FOR STOWING CARGO. One objective of proper stowage is to ensure that cargo arrives at its destination undamaged. The other objective is to put as much as you can in the available space. Which action should the personnel take to reduce cargo damage?,"If the hatch is not cleared, pieces of wood from broken crates may get into the eyes of the personnel",A lopsided pallet may cause the whole shipment of cargo to stay put when the ship is at sea.,Cargo handlers should stow cargo so that the weakest structures of an item will bear the greatest pressure and weight of that item.,Use dunnage only in required quantities.,D
100,Grade E liquids are those having a flash point of:,150°F and below,below 150°F and above 80°F,below 80°F,150°F and above,D
101,How could lashing gear used aboard Ro-Ro vessels be stowed when not in use?,Drape along brackets,Hang vertically in a sheltered area,Stow in bins at hatch coming side,All of the above,D
102,How is the amount of LFG that may be loaded into a given tank determined? ,Loading to within 10 percent of the safety relief valve setting,Loading to within 1 percent of outage,Checking the loading sheet,Filling to the maximum level indicated on the liquid level gauging device,D
103,"How many board feet would be listed on the Bill of Lading if your vessel are to load a consignment of lumber. Each piece measure 3-inches thick, 12-inches wide and 16-feet long. There are 30,000 pieces in the shipment?","14,400,000","1,200,000","96,000","1,440,000",D
104,"How many tons should be shifted to a distance of 38 meters in order to have an even keel, if vessels trim is 1 meter by the stern and MTC is 190 tonnes-meter?",550 tonnes,250 tonnes,150 tonnes,500 tonnes,D
105,How many years should a vessel maintain the Cargo Record Book on board?,2 years,5 years,4 years,3 years,D
106,"How much space would 300 tonnes of tea with a stowage factor of 3.0 take up, if it had a broken stowage factor of 10%?"," 3,330 cubic meters", 90 cubic meters,330 cubic meters,990 cubic meters,D
107,How will you segregate Spontaneous combustible substance from Flammable liquid when stowing:,Separated by longitudinally by an intervening complete compartment or hold from,Away from,Separated by a complete compartment or hold from,Separated from,D
108,"If the ship is loading in water that is less dense than salt water, then ____________",apply the fresh water allowance always so that you will return to summer once at sea,apply the hydrostatic data on TPC as well as MTC to arrive with loadable cargo,the tanks which have been pressed up to full capacity,allowance should be made for the ship rising out of the water on reaching the sea.,D
109,"If the stowage factor of cotton is 56, allowing a broken stowage of 15%, it will stow at a factor of:",47.6,67.6,71,65.9,D
110,"If you have a liquefied flammable gas barge in tow, which is NOT required of you with respect to the barge and its cargo?",Keep the barge under constant surveillance.,Make periodic inspections of bilges.,Have a properly certificated tankerman or at least one credentialed officer on board the towing vessel.,Verify ullage readings.,D
111,"IMO deals with environment protection and pollution prevention. It also has a legal committee, which was formed following the _________________.",Oswego Guardian - Texanita collision in 1972,ULCC Amoco Cadiz stranding in 1978,SS Mobil Oil sinking in 1965,Torrey Canyon incident in 1967,D
112,"In container operations, tare weight would mean ____________ ",Weight of the container,Weight of the contents of a container,Total weight of a container and contents,Weight of an empty container,D
113,"In crane operation, you used the hydraulic system to control its movement, any operation without the aid of wires is __________",Lowering Operation,Luffing Operation,Hoisting Operation,Slewing Operation,D
114,"In crane operations, which action(s) is/are included?",Normal boom stowage and shutdown operations,Emergency shutdown operation,Removing booms from stowage,All of the choices,D
115,"In crude oil washing system, what is not a requirement?",Use an inert gas system while washing tanks.,Decant one meter from the source tank for the tank cleaning machines.,Strip all tanks and remove the bottom residue.,Use an inert gas to power the butterworth machines,D
116,"In loading timber cargoes on deck, it should be secured by independent lashing spaced no more than 3 meters apart. If stowed over hatches, it is further secured by athwartship lashings joining its port and starboard pair of uprights near the top of the stow called ______.",wiggle rope,foot wires,binders and turnbuckles,hog lashings,D
117,"In the battery room of each cargo reefer, the refrigerant recovery cylinders are color coded __________.",yellow top and light blue body,yellow top and dark body,light blue top and yellow lower body,yellow top and gray body,D
118,"In the case of timber deck cargo, the arrival condition shall include the weight of water absorbed by the cargo, which is ___________.",10 percent of the all the timber cargoes on deck,12 percent of the deck load timber loaded,18 percent of the timber deck cargo loaded,15 percent of the weight loaded,D
119,"In what condition of stability when a vessel is heeled by an external force in still water to small angle of inclination, it comes to rest at an indeterminate angle of heel?",unstable condition,stable condition,angle of loll condition,neutral condition,D
120,Is a localized corrosion that is commonly found in the bottom plating of tanks and horizontal surfaces where water tends to accumulate.,Local Corrosion,Weld Metal Corrosion,General Corrosion,Pitting Corrosion,D
121,"It is a permeable matrix of metal, ceramic or other heat resisting materials which can cool a deflagration flame below the ignition temperature.",flame bricks,flame proof,flame screen,flame arrester,D
122,"It is a type of fairlead used to prevent chafing and to give a direct lead of a mooring line to the windlass, winch or capstan.",multi angle fairlead,panama leads ,roller fairleads,old man or dead man,D
123,It is fitted on the after end below the upper rain flat which disperse the exhaust from the various ventilators led to the funnel.,pilgrim valve for exhaust,funnel flaps,fire flaps,louvres,D
124,"It is possible, and sometimes necessary, to strengthen the deck of a vessel for carriage of deck cargo by ______.",placing bunker on the deck,building a stage on which to place the cargo,"welding steel "feel" to the deck, on which the cargo is placed",erecting vertical pillars under the deck to support the cargo,D
125,"It occurs when a ship is travelling with the direction of approach of the waves from a near astern direction. Large waves overtake the ship and hits one quarter the ship will tend to be thrown round into the direction in which the wave is moving, resulting in severe heeling.",yawing,surging ,severe rolling,broaching,D
126,Latent heat is _____________.,heat added to change state of substance,heat removed to change pressure of a substance,heat removed to change temperature of a substance,heat removed to change state of substance,D
127,Liquified gases are usually transported in the following ways: I. Under pressure at freezing temperature; II. Fully refrigerated at their boiling point; or III. Semi-refrigerated at reduced temperature and elevated pressure.,I and II,I and III,"I, II and III",II and III,D
128,LNG is carried at approximately what temperature?,-160 degrees F,-160 degrees R,-160 degrees K,-160 degrees C,D
129,Many dangerous cargoes are stowed on deck because of the:,danger to crew and cargo,necessity of periodic inspection,possible need to jettison,all of the choices,D
130,"On a containership, the cargo includes a container of small arms ammunition, a container of lead-acid storage batteries and a container of methyl acetylene bottles. Which statement is TRUE?",The storage batteries must be at least ten horizontal feet away from the methyl acetylene.,The ammunition must be separated from the methyl acetylene by at least one hold.,The storage batteries must be stowed on deck away from the ammunition.,No separation is required because freight containers are exempted.,D
131,"On a manned vessel carrying packaged hazardous cargo, the hazardous materials shall be inspected __________.",prior to entry into a U.S. port,every 24 hours unless equipped with a fire detecting system,after stowage is complete,all of the choices,D
132,"On a tanker vessel, what is the required combined capacity of the inert gas generating system as compared to the total capacity of all the cargo pumps which can be operated simultaneously?",50%,75%,100%,125%,D
133,"On a vessel of 12,000 tons displacement, what is the reduction in metacentric height due to free surface when a tank 60 feet long and 60 feet wide is partially filled with water?",2.30 feet,2.43 feet,2.48 feet,2.57 feet,D
134,Oscillation on the vertical axis is termed __________,heaving,pounding,rolling,yawing,D
135,"Physical data on a Material Safety Data Sheet (MSDS) which describes chemicals that produce health effects requiring medical attention where damage may be permanent but is neither life threatening nor seriously disabling, is called:",moderate exposure level,high toxicity,high exposure level,moderate toxicity,D
136,Present regulations provides a label “White over black” to be pasted on the container containing ___________.,Flammable Substance,Poisonous Substance,Porous Substance,Corrosive Substance,D
137,Pressurized tanks in LPG and LNG are _____________.,rectangular,trapezoidal,spherical,cylindrical,D
138,"RO/RO VEHICLE OPERATIONS PROCEDURES. When moving vehicles on or off the ship, Follow these rules:",You can leave vehicle engines running unattended provided the hand brake is on,Vehicles should not exceed 10 miles per hour while moving about the ship,Operate vehicles in high range and at maximum wheel drive mode.,Take care to avoid the presence of loose paper within the RO/RO areas,D
139,Rope faking is described as _____________,laying out rope on deck in parallel rows,laying rope in a tight spiral flat on the deck,laying rope in an overlapping fashion one after the other,laying a rope on deck in a series of figure eights,D
140,"Sacrificial anodes may be fitted within the hull, and are often fitted in ballast tanks. However, magnesium anodes are not used in the cargo-ballast tanks of oil carriers owing to the _____________.",fiire hazard,tank hazards,hazards,spark hazard,D
141,"Securing cargo by running timbers from an upper support down to the cargo, either vertically or at an angle, is called __________.",braces,dunnage ,shores,toms,D
142,Segregation of cargoes refers to __________.,separating cargoes by destination,listing the cargoes in order of their flammability,classifying cargoes according to their toxicity,separating cargoes so that the inherent characteristics of one cannot damage the other,D
143,Ships carrying timber deck cargoes will ____________.,cause the metacentric height to increase,absorb water causing the timber cargoes to off center,absorb moisture that will cause the M to rise,absorb moisture that will cause the G to rise,D
144,"Squat at the bilge plating , caused by ships overtaking or passing in a river.",river squat,banking squat,shallow water squat causing bilge plating stress,transverse squat,D
145,Tensile stress is a result of two forces acting in ________.,Opposite directions along the parallel line,The same direction along the parallel lines,"Opposite direction on the same line, tending to pull the material apart.","Opposite direction on the same, tending to compress the object",D
146,The advantage(s) of using wire rope lashing on vehicles aboard Ro-Ro vessels is that it ________.,is Lighter than chain,has a good working life,is not affected by temperature,All of the above,D
147,"The angle of heel due to shift of the grain shall not be greater than, or in the case of ship constructed on or after ___________ the angle at which the deck edge is immersed, whichever is lesser.",1-Jan-95,1-Jan-96,1-Jan-93,1-Jan-94,D
148,The angle of repose of a free-flowing bulk cargo in the hold is.,The angle between the vertical plane and the slope down from the cone.,The angle between the vertical plane and the slope up to the cone.,The angle between the horizontal plane and the slope up to the cone.,The angle formed by the cone at the top.,D
149,"The blowers of an inert gas generation system aboard a tanker, will be automatically secured if __________.",normal water supply at the water seal is lost,the temperature of the inert gas being delivered to the cargo tanks is more than 150°F,the cooling water supply to the scrubbers is lost,all of the choices,D
