FUNCTION 3: CONTROLLING OF OPERATION OF THE SHIP ANDCARE FOR PERSONS ON BOARD AT THE DECK MANAGEMENT LEVEL,,,,,,
No.,Questions,Choice A,Choice B,Choice C,Choice D,Answer
55,"A SOLAS approved buoyant smoke signals shall emit smoke of highly visible color at uniform rate, when floating in calm water, for a period of not less than:",4 minutes,2 minutes,1 minute,3 minutes,D
56,A SOLAS approved lifebuoy should weigh not less than:,1.0 kg,2.0 kg,1.5 kg,2.5 kg,D
57,A sprain is:,a fracture in which the bone is chipped but not broken.,a dislocation of the bones of a joint.,an injury to a muscle resulting from overexertion.,a stretching of the ligaments around the joint,D
58,A strong back refers to a:,deep beam,centerline vertical bulkhead,spanner stay,bar securing a cargo port,D
59,A tank which carries liquid is dangerous to the stability of a vessel when it is:,completely empty,low in the vessel,completely full,slack,D
60,A tank which has been sealed for a long time can be dangerous for human entry because:,tank coating gives off toxic fumes,sealed tank usually form a vacuum,moisture displaces oxygen,steel surfaces consumes oxygen by rusting,D
61,A tourniquet should be used to control bleeding ONLY:,when the victim is unconscious,with puncture wounds,to prevent bleeding from minor wounds,when all other means have failed,D
62,A vessel aground may have negative GM since the:,"lost buoyancy method is used to calculate KM, and KB is reduced",virtual rise of G is directly proportional to the remaining draft,decrease in KM is equal to the loss of draft,displacement lost acts at the point where the ship is aground,D
63,"A vessel arrives in a foreign port and the Master is informed that the vessel is being sold to foreign interests. The new owners request that the crew remain on board to complete the voyage. Under these circumstances, the crew:",must remain aboard until the vessel is delivered to the new owners at a mutually agreed upon port,must remain on board,must comply with the decision made by the Master,has the right to an immediate discharge and transportation to original port of engagement,D
64,A vessel continually lists to one side and has a normal rolling period. Which statement is TRUE?,The vessel has negative GM,The center of gravity is on the centerline,The list can be corrected by reducing KM,The vessel has asymmetrical weight distribution,D
65,A vessel has how many degrees of freedom?,Three,Five,Four,Six,D
66,A vessel in an international voyage arrives from a foreign port. What is issued to the vessel before port authorities and agents can board?,Bill of compliance,Entry clearance,Bill of lading,Free pratique,D
67,"A vessel of 14,000 ton-displacement is 160 m long and 20 m wide at the waterline. If she is floating in SW at a draft of 6.1 m. find her block coefficient.",0.56,0.65,0.7,0.83,D
68,A vessel s stability is greatly reduced by liquid free surface. Which of the listed conditions would develop the greatest adverse effect:,Tanks which have been pressed up to full capacity.,Tanks which have been completely emptied.,Tanks which are 95% full.,Tanks which are 40% full.,D
69,A vessel s stability normally increases when tanks are ballasted because the vessels:,center of buoyancy is lowered,reserve buoyancy is increased,freeboard is increased,center of gravity is lowered,D
70,A vessel with a large metacentric height (GM) will:,tend to ship water on deck in heavy weather,have small amplitude of roll in heavy weather,be less likely to have cargo shift,be subject to severe racking stresses,D
71,A vessel would be referred to as tender when the weight of the cargo is:,evenly distributed vertically and the double bottoms are full,concentrated low and the double bottoms are empty,concentrated low and the double bottoms are full,concentrated high and the double bottoms are empty,D
72,A vessels stability is greatly reduced by liquid free surface. Which of the listed conditions would develop the greatest adverse effect?,Tanks which are 95% full.,Tanks which have been pressed up to full capacity.,Tanks which have been completely emptied.,Tanks which are 40% full.,D
73,A victim is coughing and wheezing from a partial obstruction of the airway. An observer should:,perform the Heimlich maneuver,immediately start CPR,give back blows and something to drink,allow the person to continue coughing and dislodge the obstruction on his own,D
74,"Aboard a survival craft, ether can be used to:",aid in helping personnel breathe,prime the air supply,prime the sprinkler system,start the engine in cold weather,D
75,About the proof test applied to cargo gear which statement is not correct?,The cargo boom must be not more than 15° from the vertical,The proof load is in excess of the safe working load,The test must be conducted at least once every 5 years,The load can be applied by using a scale,D
76,Access to the ship covered by Ship Security Arrangement that requires constant surveillance while in port:,gangways,ramps,mooring lines and anchor chains,all of the choices,D
77,"According to 46 CFR part 95, which of the listed fire extinguishers would be considered hand portable and capable of combating a class “B” fire?",2.5 gallons of foam,10 pounds of dry chemical,15 pounds of carbon dioxide,All of the choices,D
78,According to the Chemical Data Guide which extinguishing agent should be used on a petrolatum fire in an open area?,Monoxide powders,CO2,Dry chemical,Foam,D
79,"According to the Code of Safe Practices for Ship's Carrying Timber Deck Cargoes, which of the following is not included in the term "Timber"?",cant,pulp wood,sawn wood,wood pulp,D
80,"According to the IMO Code, what are the minimum number of securing points that should be on each side of a "road vehicle", whose gross vehicle mass is between 20 tons and 30 tons, when carried on Ro-Ro vessels?",None of the above,Two,One,Three,D
81,"According to the IMO Code, what are the minimum number of securing points that should be on each side of a "road vehicle", whose gross vehicle mass is between 3.5 tons and 20 tons, when carried on Ro-Ro vessels?",None of the above,Three,One,Two,D
82,"According to the SOLAS regulations, lifeboat falls must be renewed at intervals of how many years?",2.5,3,4,5,D
83,"Activities undertaken to detect, isolate, and rectify a fault so that the failed equipment, machine, or system can be restored to its required function:",predictive maintenance,reactive maintenance,preventive maintenance,corrective maintenance,D
84,Adverse effects due to free surface will become apparent when:,the vessel is trimmed by the stern,the vessel's draft is decreased exposing more surface area to the wind and current,"the vessel's draft is increased, thus increasing the vessel's wetted surface area",a portion of liquid is removed from a full tank,D
85,"After abandoning a vessel, lookouts should be posted aboard the liferafts and look for ________.",land,ships in the vicinity,food and water,survivors in the water,D
86,"After an IOPP Certificate is issued to an inspected vessel, how many other surveys of the vessel's pollution prevention equipment are conducted during the period of validity of the certificate?",Two,None,One,Three,D
87,"After having activated the emergency position indicating radio beacon, you should:",turn it off for 5 minutes every half-hour,turn it off and on at 5 minute intervals,turn it off during daylight hours,leave it on continuously,D
88,"After ships construction, the reasons why the “plimsoll” mark is welded at the center on both sides of the vessel are to:I. know the maximum draft at full loadII. know maximum draft at different portsIII. know maximum draft in fresh water",I only,II only,I and II,"I, II and III",D
89,All life jackets carried on board small passenger vessels are required to be marked:,with the maximum serviceable life of the life preserver,with the vessel's official number,with the maximum weight to be held by the life preserver,with the vessel's name,D
90,"All lifeboats, rescue boats, and rigid-type liferafts shall be stripped, cleaned, and thoroughly overhauled at least once every:",two years,6 months,18 months,year,D
91,An accommodation ladder or other equally safe and convenient means must be provided for a pilot whenever the distance from the sea level is more than ______________.,15 meters,6 meters,12 meters,9 meters,D
92,An aluminum powder fire is classified as class:,a,b,c,d,D
93,An inclined semisubmersible with a very short rolling period about a constant angle of list is likely to have:,An LCG greater than level vessel LCB,A negative GM,Excessive free surfaces,An off-center TCG,D
94,An inert gas system installed on a tanker is designed to:,aid in the stripping and cleaning of cargo tanks,increase the rate of discharge of cargo,force toxic and explosive fumes from a cargo tank to vent to the outside atmosphere,"lower the oxygen levels inside cargo tanks, making explosion nearly impossible",D
95,An LNG carrier has an approved type of gas detecting system to detect methane leaks in the:,barrier spaces,cargo handling rooms,boiler burner supply piping,all of the choices,D
96,Any organic compound which evaporates readily to the atmosphere and it has a flashing point of below 60oC. ,Volatile Compound,Organic Compound,Organic Volatile Compound,Volatile Organic Compound,D
97,Artificial respiration may be necessary in cases of:,Drowning,Electrocution,Poisoning,all of the choices,D
98,"As defined in the UNCLOS, what is the maximum miles of a coastal state's exclusive economic zone?",100,150,50,200,D
99,"As per Chapter VIII Section A of STCW Code, how many rest hours for the officer in-charge of a watch who are assigned for duty in any 24 hours period?",7,8,9,10,D
100,"As per SOLAS Chapter ll-2, the self-contained breathing apparatus should at least have a volume of:",900 liters,300 liters,500 liters,"1,200 liters",D
101,"As per SOLAS, fire pumps shall have a capacity to deliver at least:",100 m3/hour,50 m3/hour,75 m3/hour,25 m3/hour,D
102,"As senior deck officer, one of the practices of positive confrontation reduction skills essential to conflict resolution involves a type of listening. What type of listening would be most effective in resolving a conflict?",Passive listening,Defensive listening,Reactive listening,Active listening,D
103,"At all angles of inclination, the true measure of a vessels stability is the:",Metacentric Height,Displacement,Inclining Moment,Righting Moment,D
104,"At an angle of loll, the righting moment is:",maximum,negative,positive,zero,D
105,"At night while the ship is tied up to the dock, a fire breaks out in a cargo hatch. After sounding the alarm, what should the person on watch do?",Begin fighting the fire immediately,Await further orders from the master,Let go the lines to let the vessel drift to an anchorage,Send a person to summon the shore authorities,D
106,"Before a vessel enters the drydock, the procedures to be understood by all the crew regarding fire are:",control and testing of equipment,crews fire fighting responsibilities,fire-fighting procedures of drydock ,all of the choices,D
107,"Before hydraulic starting of an engine on a covered lifeboat, what need NOT be checked?",Pressure registered on the accumulator gauge,Fuel supply line valve,Engine stop control,Cold-spark voltage readings test lamp,D
108,"Before using a fixed CO2 system to fight an engine room fire, you must:",secure the engine room ventilation,secure the machinery in the engine room,evacuate all engine room personnel,all of the choices,D
109,Bilge keels are fitted on ships to:,assist in dry dock alignment,improve the vessels stability,protect the vessel from slamming against piers,reduce the rolling of the vessel,D
110,Bleeding from a vein can be characterized as:,dark red and slow,bright red and slow,bright red and spurting,dark red and spurting,D
111,Breathing petroleum vapors is hazardous and may cause:,temporary blindness,permanent deafness,severe internal bleeding,unconsciousness and suffocation,D
112,Bunker C a grade E combustible liquid will:,give off flammable vapors below 80F (26.7C),have a Reid vapor pressure of 14 psi (96.5 kPa) or more,self-ignite at temperatures below 150F (65.5C),have a flash point of 150F (65.5C) or more,D
113,"By definition, this consist of the reference of a dispute to one or more independent persons for settlement, instead of going to a court of law.",Mediation,Reference,Preference,Arbitration,D
114,"By regulation, cargo tank atmosphere must be inert before and during which operation?",Crude oil washing,Loading,Discharging,All of the choices,D
115,"By regulation, life preservers aboard an uninspected towing vessel must be which of the following?",Stored in sealed containers,Securely stowed,Stowed with the emergency provisions,Readily accessible,D
116,Carbon dioxide as a fire fighting agent has which advantage over other agents? ,It is safer for personnel.,It is cheaper.,It is most effective on a per unit basis.,It causes minimal damage.,D
117,Cargoes reference within the IMDG Code may be anticipated to be:,of a high flash point,a spontaneous combustion risk,needing under deck stowage,of a hazardous nature,D
118,"Chapter Vl of STCW that deals with emergency, occupational safety ,medical care and survival trainings Regulations are:",only Vl/1 to Vl/4 are mandatory,not all are mandatory,"only Vl/1, Vl/2 and Vl/3 are mandatory",all mandatory,D
119,CO2 cylinders forming part of a fixed fire extinguishing system must be pressure tested at least every:,year,2 years,6 years,12 years,D
120,Combustible gas indicators detect flammable gases or vapors present in the atmosphere by an intricate system which includes:,weighing the vapor,burning the vapors,metering the vapors,measuring the vapor volume,D
121,Combustible material stored in a compartment adjacent to a compartment where there is a fire may be ignited due to __________.,heat convection through the adjacent bulkheads,combustion gases carried through the ventilation system,direct convection of the heat emitted by the adjacent fire,heat radiated from the deck or bulkhead by the adjacent fire,D
122,Damage stability is the stability:,which exists when the wind speed is less than 50 knots,at the maximum load,before collision,after flooding,D
123,Diesel fuel is relatively safe to handle due to its low volatility but the fumes will self-ignite and continue to burn steadily if the fuel is heated to the:,upper explosive limit,flash point,volatility point,ignition point,D
124,Dry chemical extinguishers extinguish class B fires to the greatest extent by:,cooling,smothering,oxygen dilution,breaking the chain reaction,D
125,"During counter flooding, to correct a severe list or trim aggravated by off-center load, what will be your course of action if a vessel suddenly takes a list or trim to the opposite side?",Deballast from the low side.,Continue counter flooding in the same direction,"Continue counter flooding, but in the opposite direction.",Immediately stop counter flooding.,D
126,Each hand portable fire extinguisher must be marked with:,the name of the vessel on which it is located,the date that it was installed,the names of the individuals qualified to use it,an identification number,D
127,Each person on board should know the reasons why he is on board. Which of the following is one of the reasons?,The need to use their manual skills and to derive satisfaction from them,The need for money,The need for security of their standard of living,Any of the choices,D
128,Each ship shall carry on board a ship security plan approved by:,company,classification society,port state control,administration,D
129,Effective leaders periodically take stock of their personal strengths and shortcomings. What trait of leadership is this?,Inner strength,Thinker,Visionary,Self-assessment,D
130,Effective security measures on board are essential in reducing the risk of:,terrorism,piracy,drugs smuggling,all of the choices,D
131,Effective security measures on board are essential in reducing the risk of:,terrorism,piracy,drugs smuggling,all of these choices,D
132,Efficiency is the ability to______________.,get results to the maximum,work orderly with good output,work without regard to outside forces,get things done right,D
133,"Every life raft shall be so constructed on the following specifications, except:",as to be capable of withstanding exposure for 30 days afloat in all sea conditions. ,"The life raft shall be so constructed that when it is dropped into the water from a height of 18 m, the life raft and its equipment will operate satisfactorily.",The floating life raft shall be capable of withstanding repeated jumps on to it from a height of at least 4.5 m above its floor both with and without the canopy erected. ,The life raft and its fittings shall be so constructed as to enable it to be towed at a speed of 3 knots in rough water when loaded with its full complement of persons and equipment and with one of its sea-anchors streamed.,D
134,"Every time hotworks are to be carried out on deck , what are the necessary equipments to be prepared ?",Fire extinguishers,Fire hose fitted in hydrant,Sand bags,All of the choices,D
135,Fighting a fire in the ballast pumproom with hoses would adversely affect the stability of a vessel most by:,a reduced KG caused by water filling the compartment,reduction of drill water from the storage tanks,increasing the permeability of the pumproom,a list caused by water filling the compartment,D
136,Fighting a fire in the galley poses the additional threat of:,contaminating food with extinguishing agent,spreading through the engineering space,loss of stability,a grease fire in the ventilation system,D
137,"Find the angle of heel for the worst condition if weights are to be shifted and lifted respectively. First, weight is 50 tons, shifted to a distance of 30 feet from the centerline. The other weight is 50 tons to be lifted at a distance of 50 feet from the centerline. GM is 3.7 feet, displacement is 20,000 tons.",none of these,0.054º,5.3º,3.0º,D
138,Fire detecting systems on merchant vessels may be arranged to sense.,Smoke,Rate of temperature rise,Ionized particles,All of the choices,D
139,Firefighting foam is only effective when the foam ______.,penetrates to the bottom of the fire,is kept saturated with low velocity water fog,mixes with burning fuel oil,completely covers the top of the burning liquid,D
140,"Fires occurring in combustible metals, such as sodium or magnesium, are classified as a:",class A, class B, class C,class D,D
141,Flame screens used on ullage openings prevent flames from entering a tank by ______.,reducing the cross-sectional area of the opening,restricting the flow of gases through the opening,creating turbulence in the exiting gas stream,dissipating heat from the flame ,D
142,Flames from small leaks of LFG may be extinguished by:,utilizing carbon dioxide or dry chemical fire extinguishers,utilizing soda and acid fire extinguishers,blowing the flames out,letting it burn itself out,D
143,"For a vessel inclined by the wind, multiplying the buoyant force by the horizontal distance between the lines of action of the buoyant and gravity forces gives the:",Transverse moment,Longitudinal moment,Vertical moment,Righting moment,D
144,For carbon dioxide fire- fighting systems for machinery spaces the fixed piping system shall be such that:,70% of the gas can be discharged into the space within one minute,100% of the gas can be discharged into the space within three minutes,100% of the gas can be discharged into the space within two minutes,85% of the gas can be discharged into the space within two minutes,D
145,"For each person it is certified to carry, a lifeboat on an oceangoing passenger vessel must be provided with all of the following EXCEPT __________.",3 liters of water,1 seasickness kit,1 unit of provisions,1 life preserver,D
146,"For small angles of inclination, if the KG were equal to the KM, then the vessel would have:",Maximum stability,Negative stability,Positive stability,Neutral stability,D
147,Free communication will adversely affect transverse stability only when the flooded space is:,on the centerline,completely flooded,open to the sea above and below the waterline,off-center,D
148,Fusible-link fire dampers are operated by:,a break-glass and pull-cable system,electrical controls on the bridge,a mechanical arm outside the vent duct,the heat of a fire melting the link,D
149,"Generally, when a bulk material is directly involved in a fire, the best action is to:",all of the choices,open the hatch covers and use fire hoses to extinguish the fire,send your emergency squad inside the cargo hold and extinguish the fire,batten down to exclude all air from the cargo spaces,D
150,GM cannot be used as an indicator of stability at all angles of inclination because:,G is not fixed at large angles,There is no G at large angles,There is no M at large angles,M is not fixed at large angles,D
151,Hand flares shall burn uniformly with an average luminous intensity of not less than:,"30,000 cd","25,000 cd ","20,000 cd ","15,000 cd ",D
152,How does an inert gas system on a tanker function to prevent explosions in cargo tanks?,Inert gas filters out the flammable vapors from the cargo tank spaces.,"De-energizes the "charged mist" effect.",Maintains a positive pressure on the vent header to cool the flammable vapors.,Inert gas dilutes the flammable vapor and air concentrations to keep them below the lower explosive limit.,D
153,How long must the records of tests and inspections of fire fighting equipment on board a vessel be retained on board? ,6 months,1 year,3 years,Until the next inspection for certification,D
154,How many crew for each rescue boat shall be trained and drilled regularly?,At least 5 ,At least 3 ,At least 4 ,At least 2 ,D
155,How many hours of laytime comprise sixteen working hours if a weather working day of two 8 hours shift is stipulated in the charter party agreement?,20 hours,18 hours,24 hours,16 hours,D
156,How many years is the expiration of Shipboard Oil Pollution and Prevention Plan?,4 years,2 years,3 years,5 years,D
157,How often is a drill on the use of the line throwing appliance required to be held on a vessel:,Once a week,Once a year,Once a month,Once every three months,D
158,Human memory is affected by all of the following EXCEPT:,vividness of an event ,recency of an event,frequency of an event,irrationality of an event,D
159,Human resource management does NOT deal with:,placement,training,recruitment,production,D
160,Hydrostatic data is being used to find the KM of the vessel and then:,GG,LCG,KB,KG,D
161,"If a crew member suffers a second degree burn on the arm, you should:",drain any blisters,apply antiseptic alcohol on the burn area,scrub the arm thoroughly to prevent infection,immerse the arm in cool water,D
162,"If a person gets something in his eye and you observe that it is not embedded, you can:",get him to rub his eye until the object is gone,remove it with a match or toothpick,remove it with a piece of dry sterilized cotton rag,remove it with a moist cotton-tipped applicator,D
163,"If a person with diabetes has been injured, the symptoms of the onset of a diabetic coma would include: A person with diabetes has received a minor leg injury. What symptoms would indicate the onset of a diabetic coma?",Reduced appetite and thirst,Sneezing and coughing,Only a low grade fever,Slurred speech and loss of coordination ,D
164,"If a seafarer gets something in his eyes and you see that it is not embedded, you can:",remove it with a piece of dry sterile cotton,remove it with a match or toothpick ,get him to rub his eyes until the object is gone,"remove it with a moist, cotton-tipped applicator",D
165,"If a vessel rolls to the starboard side and there are no movable or moving weights on board, the center of gravity will:",move directly down,move to starboard,move to port,stay in the same position,D
166,"If a victim became unconscious, his heart stopped and not breathing, the immediate actions to do to possibly save his life is(are):",start heart compression at once,lay victim on hard flat surface,administer artificial respiration,all of the choices,D
167,"If a victim is unconscious, you should first look for evidence of:",high fever,head injury,broken limbs,irregular breathing,D
168,If during helicopter refueling operations fuel is spilled on clothing the person should first:,see the medic immediately,spray himself with foam or CO2,complete his task and then see the medic,remove the clothing and wash,D
169,"If first aid is not rendered immediately to an accident victim, the causes of a possible death are:",airways obstruction,circulatory arrest,respiratory arrest ,all of the choices,D
170,"If the empty weight of a B-III semi- portable CO2 fire extinguisher is 35 lbs , what is its full charged weight?",47 lbs ,50 lbs ,55 lbs ,70 lbs ,D
171,"If the hydrostatic release mechanism for an inflatable liferaft is not periodically serviced and becomes inoperative, it will NOT __________.",set the water lights on immersion,release the dye-marker from the liferaft,break the seal on the carbon dioxide cylinder,free the liferaft from a sinking vessel,D
172,"If the master of the vessel met an accident, these are the crew who are authorized or supposed to be knowledgeable to administer “first aid”.I. Boatswain II. Second officer III. Chief cook",I only,II only,I and II,"I, II and III",D
