FUNCTION 1: NAVIGATION AT THE DECK MANAGEMENT LEVEL,,,,,,
No.,Questions,Choice A,Choice B,Choice C,Choice D,Answer
52,"A vessel is heading magnetic northwest and its magnetic compass indicates a heading of 312°. What action should be taken to remove this error during compass adjustment?","If the quadrantal spheres are all of the way out, replace them with smaller spheres","If the quadrantal spheres are all of the way out, remove one of the spheres",Move the spheres out,All of the choices,D
53,"A vessel showing a rigid replica of the International Code flag "A" is engaged in:",fishing,dredging,mineclearance operations,diving operations,D
54,A warship indicates that it wishes to communicate with a merchant ship by hoisting:,the merchant ship's identity signal and keeping it hoisted during the entire communication,the national ensign of the merchant vessel at the starboard yard,the flags MV close up until acknowledged and then lowering them to the dip,"the code pennant, and keeping it flying during the entire communication",D
55,A WIG craft must keep out of the way of:,vessels not under command,power driven vessels,sailing vessels,all vessels,D
56,A wobbling tail shaft is an indication of:,shallow water,an engine that is misfiring,a tight tail shaft gland,worn stern bearing or misalignment,D
57,A rescue helicopter's hoist area should have a radius of at least __________.,6 feet of clear deck,10 feet of clear deck,25 feet of clear deck,50 feet of clear deck,D
58,"Additives commonly found in turbine lubricating oil include _____________.",antifoaming agents,oxidation inhibitors,"extreme pressure additives",all of the above,D
59,"After all the adjustments have been made of the sextant, any remaining error is called:",summation error,personal error,instrument error,index error,D
60,"After the deliveration of the IMO's Sub-Committee on Standards of Training and Watchkeeping held on May 4,2012, which of the following recommendations were agreed with regards to the Revised Model Course on the operational use of ECDIS?","the ECDIS is subject to 'anomalies', it was agreed to address how to cope with this inherent weakness within the detailed teaching syllabus","the model course should not be too prescriptive, since it is primarily a technical course designed to teach proper operation of an ECDIS",The training should be delivered by trainers with relevant management level qualifications and experience,All of these,D
61,Air masses near the earth's surface:,move from areas of high pressure to areas of low pressure,are deflected by the earth's rotation in both hemispheres,"are deflected by the "Coriolis effect"",all of the choices,D
62,AIS position information accuracy is only as good as:,the accuracy defined by the ship owner,the accuracy specified by the operator,the accuracy specified by the manufacturer,the information transmitted from each ship,D
63,Always remember that aneroid barometer readings should be corrected for differences in: _______.,latitude ,temperature and pressure  ,wind speed,height above sea level,D
64,"Among the following source of an air mass with a symbol "mTw" is:",Ecuador,Finland,North Sea,Sulu Sea,D
65,AMVER is a system which provides:,satellite communications,navigational information,weather information,position reporting service,D
66,"An "on-load" release system on a survival craft means the cable can be released:",only when the load is taken off the cable,only when there is a load on the cable,only when activated by the controls at the lowering station,at any time,D
67,An advantage of nylon rope over manila rope is that nylon rope:,can be used in conjunction with wire or spring-lay rope,can be stored on decks exposed to sunlight,gives audible warning of overstress whereas manila does not,can hold a load even when a considerable amount of the yarns have been abraided,D
68,An aircraft who wants a vessel to change course and proceed towards a vessel in distress to convey a message will NOT include:,crossing ahead and rocking the wings ,heading in the direction of the distress location ,circling the vessel at least once ,flashing the navigation lights on and off,D
69,"An anchor used when mooring in a narrow channel or harbour having a weight from one-fourth to one-third the weight of the main bower, what is this anchor to prevent the vessels stern from swinging with the current or tide?",Kedge,Sea,Bower,Stream,D
70,An aneroid barometer reading should be corrected for differences in: ,latitude ,temperature ,wind speed,elevation,D
71,An anti-cyclone is an area of:,"low pressure, descending air and light winds","high-pressure, ascending air and strong winds","high pressure, ascending air and light winds","high pressure, descending air and light winds",D
72,An Automatic Identification System (AIS) is used for identifying and monitoring maritime traffic. Which of the AIS applications is applicable pertaining to safety?,Detailed information for collision avoidance and emergency response,Accident and crime prevention through Maritime Domain Awareness,Monitoring marine sanctuaries for environmental protection,All of the choices ,D
73,An ECDIS must be able to perform which of the following?,Geographical coordinates to display coordinates and display coordinates to geographical coordinates,Geographical position from a known position given distance and azimuth,True distance and azimuth between two geographical positions,All of the choices ,D
74,"An ENC scale range of 1:22,000 to 1:89,999 is use for what navigational purpose?",Coastal,General,Overview,Approach,D
75,"An entry in the logbook to describe the state of weather as cloudy and the Beaufort Notation letter "c" is written.  The sky is _________.",3/8 - 5/8 clouded,0 - 2/8 clouded,Overcast,6/8 - 8/8 clouded,D
76,"An icebreaker assisting a vessel through an ice field would display a visual signal consisting of the code letter "M" (Mike) to signify that "__________".",I am altering my course to starboard,I am operating astern propulsion,I am altering my course to port,my vessel is stopped and making no way through the water,D
77,An instrument that indicates wind direction is known as a(n):,hydrometer,hygrometer,sling psychrometer,wind sock,D
78,An occluded front is caused by a(n):,low pressure area,high pressure area,area of calm air,cold front overtaking a warm front,D
79,"An Officer in charge of the loading, discharging and other shipboard operations must be able to operate the remote controls of marine power plants during. Which statement is false?",Normal and emergency conditions,Normal and adverse weather conditions,"Berthing, un-berthing, anchoring and mooring operations",Vetting and chartering operations,D
80,Annex II of the Collision Regulations contains which of the listed?,Technical Details of Sound and Light Signal Appliances,Vertical Positioning and Technical Details of Lights and Shapes,Distress Signals,Additional Signals for Fishing Vessel Fishing in Close Proximity ,D
81,"Applicable legislation, regulations and codes when planning a voyage and the conduct of navigation may include the following: I. IMO STCW Convention and Code related to vessels of 500 gross tonnage or more II. Sections of AMSA Marine Order only especially for vessels engaged in international trade III. Guidelines and Criteria for Ship Reporting Systems","I, II and III are true",I and II are true,II and III are true,I and III are true,D
82,As a licensed Merchant Marine Officer you are expected to:,obtain a weather forecast before setting out from port,listen to weather forecasts on the radio while enroute,understand all broadcast weather warning information,All of the choices ,D
83,"As prescribed in Annex III of the International Collision Regulations, whistles as a sound signal appliance shall operate within the fundamental frequency range of:",50 to 150 Hz,150 to 500 Hz,100 to 300 Hz,70 to 700 Hz,D
84,"As prescribed in Rule 35, a vessel aground shall give the bell signal and if required the __________.",bell signal,whistle signal,light signal,gong signal,D
85,"Aspects about ECDIS such as "Legal Requirement, Types of Electronic Charts, Terms and Definitions (S-52, S-57) or Reference System" are eqully if not more effectively learnt via:",Simulator Based Training,Onboard Based Training,Actual Based Training,Computer Based Training,D
86,"At 0300H, you fix your position and change course to 225 degrees. At 0315H, you again fix your position, and it is 0.5 miles northwest of your DR position. Which statement is true?",Drift = 1.0 knot;  Current Set = 225deg.T,Drift = 2 knots;  Current Set = 135deg.T,Drift = 1 knot;  Current Set = 165deg.T,Drift = 2 knots;  Current Set = 315deg.T,D
87,"At 0800 zone time, on 15 April, your vessel is heading west in position LAT. 15deg. 10' N; LONG. 165deg. 15' W at a speed of 22 knots. The distance to your destination at LAT. 15deg. 10' N; LONG. 135deg. 15' E is 3600 nautical miles. What is your ETA?","0814, 25 April","1439, 21 April","0536, 22 April","2339, 22 April",D
88,Australias experience is that if highly detailed ENCs are compiled ____________________ substantial additional time will need to be allowed.,"from existing charts, rather than from source materials",WGS survey of the locality ,from a Raster Chart Digital Complilation (RCDS),"from source material, rather than from existing paper charts",D
89,Automatic identification systems (AIS) are required to:,"provide safety-related information automatically to shore stations, other vessels and aircraft",receive safety-related information automatically from similarly equipped vessels,exchange safety-related information with shore-based facilities,all of the choices,D
90,Back-up wires on a towed vessel provide __________. ,a factor of safety,a distribution of the towing load,additional strength,all of the choices,D
91,"Before entering an ice area, the ship should be ___________.",either trimmed by the head or the stern,on an even keel,trimmed down by the head,trimmed down by the stern,D
92,"Before IMO adopts a traffic separation scheme in a territorial sea area of any country, the scheme must be approved by the ____________.",Governing Council of IMO,United National General Council,IMO General Manager,IMO Maritime Safety Committee,D
93,"Both the direction of flow and fluid flow rate of a variable displacement radial piston pump are determined by the relative positions of the ____________.","pump shaft and central valve","pump shaft and horizontal ports","floating ring and pump shaft","floating ring and cylinder body",D
94,Buoys are marked with reflective material to assist in their detection by searchlight. Which statement is TRUE?,A safe-water buoy will display red and white vertical stripes of reflective material.,All reflective material is white because it is the most visible at night.,A special-purpose mark will display either red or green reflective material to agree with its shape.,A preferred-channel buoy displays either red or green reflective material to agree with the top band of color.,D
95,"By convention, the Earth's south magnetic pole is colored:",blue,black,white,red,D
96,"By day, the horizontal motion of a white flag, or arms extended horizontally, by a person on the beach would indicate:",""Affirmative"",""Tail block is made fast"",""Haul away"",""Negative"",D
97,"By Mercator sailing, calculate the course and distance when sailing from Lat 43deg. 08' N; Long. 005deg. 56' E to Lat. 39deg. 29' N.; Long. 000deg. 24' W.","270deg. T, 1452 miles","060deg. T, 439 miles","053deg. T, 361 miles","233deg. T, 361 miles",D
98,"By using the formula: I = 3.43 x 10⁶ x T x D² x K⁻₫, find the luminous intensity of the light in candelas for a luminous range of 5 nautical miles.",4.3 candelas,27 candelas, 12 candelas,52 candelas,D
99,"Capacity control of a centrifugal refrigeration compressor can be accomplished by _____________.","varying the speed of the compressor","varying the suction pressure","varying condenser water flow rate",all of the above,D
100,Chart information details to be used in ECDIS should be the latest edition of information originated by a government-authorized hydrographic office and conform to the standards of (the): ,International Maritime Organization,US Coast Guard,NASA,International Hydrographic Organization,D
101,"Clouds with the prefix "nimbo" in their name:",are sheet or layer clouds,have undergone great vertical development,are middle or high altitude clouds,are rain clouds,D
102,Companies should be aware that to be competent in the use of ENC takes time. Training only provides the minimum amount of knowledge necessary to operate the ECDIS equipment but does not take into account the:,human element,environmental effects,extra workload to the navigating officer,experience factor,D
103,Determine the longitude if the GHA of the sun is 173 degrees and LHA is 358 degrees.,5deg. W,175deg. E,5deg. E,175deg. W,D
104,"Deviation which is maximum on intercardinal compass headings may be removed by the:",Flinders bar,Transverse magnets,Fore and aft magnets,Soft iron spheres on the sides of the compass,D
105,"Directional control valves used in hydraulic systems may be positioned ____________.",manually,mechanically,electrically,all of the above,D
106,"Dirt should not be allowed to contaminate a grease lubricant because the ______________.","bearings will leak oil excessively","dirt will cause corrosion of bearing","grease will become inflammable","dirt is very abrasive when mixed with grease",D
107,Distress flares and smoke signals for small passenger vessels __________.,are not required aboard vessels on runs of less than 30 minutes duration,"must be Coast Guard approved and stowed in a portable, watertight container",must be marked with an expiration date not more than 42 months from the date of manufacture,all of the choices,D
108,During a medevac one of the crew members requires assistance to be hoisted to the aircraft. Which of the following would be used to accomplish this task?,A rescue net,A single rescue litter,A rescue basket,A double lift,D
109,During a SAR helicopter evolution the rescue sling is the most widely used method of extraction. Which of the following describes the alternate Double Lift Method used to pick-up incapacitated persons?,A normal rescue sling and a rescue net used to simultaneously extract multiple personnel,A normal rescue sling and a rescue seat used to simultaneously extract multiple personnel,Two normal rescue slings one manned by a helicopter crew member,A normal rescue sling and a seating belt manned by a helicopter crew member,D
110,"ECDIS must be able to perform the following, which is NOT included?",Make navigation safer,Determine true bearing and distance between two geographical points,Make navigation more efficient ,Determine magnetic compass deviation,D
111,ECDIS must give an alarm for which of the following cases?,When the specified limit for deviation from the planned route is exceeded,"If the ship, within a specified time set by the watch officer, is going to cross a safety contour","If the ship within a specified time set by the watch officer, is going to cross the boundary of a prohibited area",All of the choices,D
112,ECDIS must give an alarm for which of the following cases?,When the specified limit for deviation from the planned route is exceedded,"If the ship, within a specified time set by the watch officer, is going to cross a safety contour","If the ship, within a specified time set by the watch officer, is going to cross the boundary of a prohibited area",All of the above,D
113,ECDIS must give an alarm for which of the following cases?,When the specified limit for deviation from the planned route is exceedded,"If the ship, within a specified time set by the watch officer, is going to cross a safety contour","If the ship, within a specified time set by the watch officer, is going to cross the boundary of a prohibited area",All of the above,D
114,Electronic Plotting Aid (EPA) has which built in functions?,Time of closest point of approach (TCPA),Target trails,Plots at least 10 targets at one time,All of the choices,D
115,Electronic Plotting Aid (EPA) has which built in functions?,Time of closest point of approach (TCPA),Targets Trials,Plots at least 10 targets at one time,All of the above,D
116,ENC Chart data format defined by IHO Transfer Standard for Digital Hydrographic Data.,S-58,S-55,S-56,S-57,D
117,Error may be introduced into a magnetic compass by:,making a structural change to the vessel,a short circuit near the compass,belt buckles,All of the choices,D
118,Every RESCUE CRAFT should be equipped with a mast on which a red cross flag can be hoisted. What is the dimension of this flag?,1 x 2 meters,1 x 3 meters,2 x 3 meters,2 x 2 meters,D
119,"Find the compass course to steer(CCTS) on a True course of 225deg. T. Leeway due to a Southerly wind is 10 degrees. The Variation on the locality is 5deg. East, deviation of the compass is 4deg. East.",225deg. psc,214deg. psc,120deg. psc,206deg. psc,D
120,Find the course to steer to make good a true course of 098° given that the winds from SE is causing 3° leeway. Variation 7°W Deviation 4°W?,"True course 085°, Compass error 4°W Compass Course 102°","True course 095°, Compass error 3°W Compass Course 101°","True course 51°, Compass error 12°W Compass Course 102°","True course 101°, Compass error 11°W Compass Course 112°",D
121,"Fix the vessel's position, the navigational officer should do the following except:",Verification of primary position fixing is regularly carried out using appropriate methods,Performance checks and tests of navigation position fixing instruments and systems are carried out in accordance with company procedures and manufacturer's instructions,Position of vessel is recorded as per procedures and regulatory requirements,Potential navigational contingencies and problems that may occur along the planned route are identified and strategies for dealing with them are developed and recorded,D
122,Fog generally clears when the:,wind speed increases,wind direction changes,temperature increases,all of the choices,D
123,Fog is formed when:,the moisture in the air is condensed into small droplets,air is cooled to its dew point,the base of a cloud is on the ground,All of the choices,D
124,"For a racon signal to be visible on a 3-cm Radar, what should be done?",10 cm radar should be placed on standby or turned off,Gain control should be turned to maximum,"Radar should be stabilized, head up","Rain clutter control should be off but, if necessary, may be on low",D
125,"For emergency communications, vessels operating on oceans, coastwise, or Great Lakes routes, on runs of more than 30 minutes shall carry in a portable watertight container at or near the operating station __________. ",one 3-cell flashlight,six red hand flare distress signals,six orange hand smoke distress signals,six red hand flare distress signals and six orange hand smoke distress signals,D
126,"For GMDSS, which statement concerning compulsory vessels is TRUE?","Vessels between 300-500 gross tons need to carry no more than one EPIRB, SART and survival craft transceiver, but vessels larger than 500 gross tons must carry two of each unit.","Passenger vessels between 300-500 gross tons need to carry only one licensed GMDSS Radio Operator, but passenger vessels larger than 500 must carry two licensed Operators.",Vessels over 500 gross tons must carry at least three licensed GMDSS Radio Operators.,Vessels larger than 500 gross tons must carry certain additional GMDSS equipment than what a vessel between 300-500 gross tons must carry.,D
127,"Forecasting the weather, if the clouds cover a wide area and extend to some distance behind slow-moving cold fronts causing the warm air to become conditionally unstable, what weather will you expect?",cumulus- type cloud followed by abrupt heavy rain will occur,cirrus to type cloud followed by thunder and lightning will occur,stratus-type cloud and steady rain will occur,showers and thunderstorms will occur,D
128,"From those listed, which of the statement about the dip of a magnet is TRUE?","At the magnetic poles, the dip is least and the directive force is reduced","At the magnetic equator, the dip is maximum and the directive force the least","At the magnetic poles , the dip is least and the directive force is the greatest","At the magnetic equator, the dip is zero and the directive force greatest",D
129,Gate valves should not be used for throttling as __________.,"the pressure drop will be excessive",air binding will develop,"the installation of an equalizing line will be necessary","cutting of the disc will result",D
130,"Hardening of a metal is accomplished by heating to a little more than its critical temperature, then allowing to cool:",in steel air,by sealing in furnace,by packing,rapidly by quenching,D
131,"Hardness, distortion, and internal stresses of a metal are the results of the:",post-heating methods,type of preheating,tempering process,cooling rate,D
132,How can a dangerous target be detected from a relative motion display?,No change in target range,No change in target bearing,Both target bearing and range change,The target is closing in with no bearing change,D
133,How can you estimate the position of a tropical storm's center?,With a radio weather bulletin or weather fax,using shipboard radar,observe the wind direction and apply Buys Ballot's law,All of the above,D
134,"How is "radio silence" imposed?",By the Coast Earth Station (CES) controlling the distress communications on that frequency or channel,"By the Public Correspondence Station (PCS), controlling the distress communications on that frequency or channel",By the High Seas Service (HSS) controlling the distress communications on that frequency or channel.,By the Rescue Coordination Center (RCC) controlling the distress communications on that frequency or channel,D
135,How long must GMDSS Radio Logs be retained by the licensee when they relate to a distress situation or disaster?,2 years,6 months,1 year,3 years,D
136,How many meters is the length of Emergency Towing wires as per SOLAS Regulations?,500 meters,150 meters,600 meters,200 meters,D
137,How many miles range is the range of shore-based MF coast station?,75 miles,200 miles,300 miles,100 miles,D
138,How many points are there in a compass card?,4,8,24,32,D
139,How should longitude 119°56.3'W be written when preparing an AMVER report?,V19.9,120°W,119.9W,11956W,D
140,"How should the letter "D" be pronounced when spoken on the radiotelephone?",DUKE ,DA VID,DOG,DELL TAH ,D
141,"How would you workaround an ECDIS anomaly where instead of displaying the correct symbol, it either shows a question mark or nothing at all?","use Mode "All" or "Other"",operate display mode function only,advice ENC providers immediately,"interrogate any "?" symbol displayed using the "pick report" ",D
142,Identify which of the following primary information should always appear on ECDIS display during route monitoring mode?,Next waypoint course ,Vessels cross tack error,Ships ETA,Selected route,D
143,"If a ship has permanent magnetism with a red pole forward, the deviation caused will be:","zero on east and west, west on northerly, east on southerly courses","zero on north and south, east on easterly, west on westerly courses","zero on east and west, east on northerly, west on southerly courses","zero on north and south, west on easterly, east on westerly courses",D
144,"If a sound signal is emitted from the oscillator of a fathometer, and two seconds elapse before the returning signal is picked up, with depth of water is indicated?",1648 fathoms,1248 fathoms,1048 fathoms,824 fathoms,D
145,"If an aircraft has UNDERSTOOD THE MESSAGE from a survivor, how would the aircraft send its reply?",Drop a message,Rock the wings by day or flash the landing or navigation lights twice during darkness,"Flash Morse Code signal "T" or "R" by light ",Any of the choices,D
146,If the compass heading and the magnetic heading are the same then:,the deviation has been offset by the variation,there is something wrong with the compass,the compass is being influenced by nearby metals,there is no deviation on that heading,D
147,"If the vessel has suffered damage but is not in immediate danger of foundering but such that a voyage to the nearest repair facility is an unacceptable risk, beaching maybe the best option. What is true about beaching procedure?",study a large scale chart of the available sites that should be ideally sandy or shingle with steep shelving.,check the details of tide and beach approximately 10 hours after high water to ensure sufficient water to refloat,use anchors when making the approach,"when firmly aground, anchors should be laid out from the after part of the vessel",D
148,"If the warm air above the warm front is moist and stable, what weather will you expect?",Scattered showers and thunderstorms form just ahead of the front,Steady precipitation with cumulus clouds prevailing in the western horizon,Relative humidity decreases as soon as the front approaches,Precipitation is steady and increases gradually with the approach of the front  ,D
149,"If you are on the beach and are signaling to a small boat in distress that your present location is dangerous and they should land to the left, you would:",fire a green star to the left,send the letter K by light and point to the left,place an orange signal to your left as you signal with a white light,send the code signal S followed by L,D
150,"If you must abandon a rig in very heavy seas, in a survival craft, when should you remove the safety pin and pull the hook release? ",Upon first wave contact,Only when waterborne,One to three feet before first wave contact,Immediately upon launching,D
151,"If you receive the signal over radiotelephone of "Romeo Papa Tango" while using the international code of signals, you should __________.",end the transmission,report to the caller,continue since he received your last transmission,repeat your last transmission,D
152,"If you see an individual fall overboard, you should:",throw him/her a life buoy,"hail "man overboard"",pass the word to the bridge,all of the choices,D
153,"If you take a bearing of 086deg. to a lighthouse, which other bearing of another prominent object will NOT give a good fix?",246 deg,176 deg,356 deg,266 deg,D
154,"If you wished to transmit a message by voice concerning the safety of navigation, you would preface it by the word __________. ",Safety,Pan-pan,Mayday,Securite,D
155,"If your liferaft is to leeward of a fire on the water, you should FIRST __________. ",paddle away from the fire,get out of the raft and swim to safety,splash water over the liferaft to cool it,cut the line to the sea anchor,D
156,"If your vessel burns 4 tons of fuel per hour at 21 knots, how many tons per hour will it burn at 16 knots?",3.0 tons,5.3 tons,2.3 tons,1.8 tons,D
157,"If your weather bulletin shows the center of a low pressure area to be 100 miles due east of your position, what winds can you expect in the Northern Hemisphere?",Farther away to the west,East to southeast,East to northeast,North to northwest,D
158,"If, during helicopter refueling operations, fuel is spilled on clothing, the person should first:",see the medic immediately,spray himself with foam or CO2,complete his task and then see the medic,remove the clothing and wash,D
159,"If, for any reason, it is necessary to abandon ship while far out at sea, it is important that the crew members should:",separate from each other as this will increase the chances of being rescued,get away from the area because sharks will be attracted to the vessel,immediately head for the nearest land,remain together in the area because rescuers will start searching at the vessel's last known position,D
160,"In a charted water with a depth of 35 meters, a 380-meter long vessel dropped her anchor during a normal weather condition. If you want to achieve a reading in the Variable Range Marker (VRM) of 0.355 n. miles on the ARPA, representing the maximum swing of the ship. What scope of the anchor should you use?",5,10,6,8,D
161,"In a crossing situation, what action should the stand-on vessel normally take?",take action to cross ahead of the other vessel,take action to pass astern of the other vessel,change course and increase speed,maintain course and speed,D
